,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4429,170,5000,2004,,,,,PCI,010111
10955,170,5001,2004,,,,,PCI,010119
17481,170,5002,2004,,,,,PCI,010120
24007,170,5003,2004,,,,,PCI,010210
30533,170,5004,2004,,,,,PCI,010290
37059,170,5005,2004,,,,,PCI,010310
43585,170,5006,2004,,,,,PCI,010391
50111,170,5007,2004,,,,,PCI,010392
56637,170,5008,2004,,,,,PCI,010410
63163,170,5009,2004,,,,,PCI,010420
69689,170,5010,2004,,,,,PCI,010511
76215,170,5011,2004,,,,,PCI,010519
82741,170,5012,2004,,,,,PCI,010591
89267,170,5013,2004,,,,,PCI,010599
95793,170,5014,2004,,,,,PCI,010600
102319,170,5015,2004,,,,,PCI,020110
108845,170,5016,2004,,,,,PCI,020120
115371,170,5017,2004,,,,,PCI,020130
121897,170,5018,2004,,,,,PCI,020210
128423,170,5019,2004,,,,,PCI,020220
134949,170,5020,2004,,,,,PCI,020230
141475,170,5021,2004,,,,,PCI,020311
148001,170,5022,2004,,,,,PCI,020312
154527,170,5023,2004,,,,,PCI,020319
161053,170,5024,2004,,,,,PCI,020321
167579,170,5025,2004,,,,,PCI,020322
174105,170,5026,2004,,,,,PCI,020329
180631,170,5027,2004,,,,,PCI,020410
187157,170,5028,2004,,,,,PCI,020421
193683,170,5029,2004,,,,,PCI,020422
200209,170,5030,2004,,,,,PCI,020423
206735,170,5031,2004,,,,,PCI,020430
213261,170,5032,2004,,,,,PCI,020441
219787,170,5033,2004,,,,,PCI,020442
226313,170,5034,2004,,,,,PCI,020443
232839,170,5035,2004,,,,,PCI,020450
239365,170,5036,2004,,,,,PCI,020500
245891,170,5037,2004,,,,,PCI,020610
252417,170,5038,2004,,,,,PCI,020621
258943,170,5039,2004,,,,,PCI,020622
265469,170,5040,2004,,,,,PCI,020629
271995,170,5041,2004,,,,,PCI,020630
278521,170,5042,2004,,,,,PCI,020641
285047,170,5043,2004,,,,,PCI,020649
291573,170,5044,2004,,,,,PCI,020680
298099,170,5045,2004,,,,,PCI,020690
304625,170,5046,2004,,,,,PCI,020710
311151,170,5047,2004,,,,,PCI,020721
317677,170,5048,2004,,,,,PCI,020722
324203,170,5049,2004,,,,,PCI,020723
330729,170,5050,2004,,,,,PCI,020731
337255,170,5051,2004,,,,,PCI,020739
343781,170,5052,2004,,,,,PCI,020741
350307,170,5053,2004,,,,,PCI,020742
356833,170,5054,2004,,,,,PCI,020743
363359,170,5055,2004,,,,,PCI,020750
369885,170,5056,2004,,,,,PCI,020810
376411,170,5057,2004,,,,,PCI,020820
382937,170,5058,2004,,,,,PCI,020890
389463,170,5059,2004,,,,,PCI,020900
395989,170,5060,2004,,,,,PCI,021011
402515,170,5061,2004,,,,,PCI,021012
409041,170,5062,2004,,,,,PCI,021019
415567,170,5063,2004,,,,,PCI,021020
422093,170,5064,2004,,,,,PCI,021090
428619,170,5065,2004,,,,,PCI,030110
435145,170,5066,2004,,,,,PCI,030191
441671,170,5067,2004,,,,,PCI,030192
448197,170,5068,2004,,,,,PCI,030193
454723,170,5069,2004,,,,,PCI,030199
461249,170,5070,2004,,,,,PCI,030211
467775,170,5071,2004,,,,,PCI,030212
474301,170,5072,2004,,,,,PCI,030219
480827,170,5073,2004,,,,,PCI,030221
487353,170,5074,2004,,,,,PCI,030222
493879,170,5075,2004,,,,,PCI,030223
500405,170,5076,2004,,,,,PCI,030229
506931,170,5077,2004,,,,,PCI,030231
513457,170,5078,2004,,,,,PCI,030232
519983,170,5079,2004,,,,,PCI,030233
