,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4514,173,5000,2011,2.4407148575497267e-07,1.5630314096614256e-07,-0.455977,0.442543,PER,010111
11040,173,5001,2011,1.278913275791485e-07,8.330005073906909e-07,-0.455977,0.442543,PER,010119
17566,173,5002,2011,0.0,0.0,-0.455977,0.442543,PER,010120
24092,173,5003,2011,0.0,1.515079682904778e-08,-0.455977,0.442543,PER,010210
30618,173,5004,2011,0.0,9.708236070208012e-08,-0.455977,0.442543,PER,010290
37144,173,5005,2011,6.820515240762337e-08,4.998805112209442e-08,-0.455977,0.442543,PER,010310
43670,173,5006,2011,0.0,0.0,-0.455977,0.442543,PER,010391
50196,173,5007,2011,4.837219641501901e-07,0.0,-0.455977,0.442543,PER,010392
56722,173,5008,2011,3.018854981004941e-09,2.861493110995774e-08,-0.455977,0.442543,PER,010410
63248,173,5009,2011,0.0,3.36603357022749e-09,-0.455977,0.442543,PER,010420
69774,173,5010,2011,9.306055337098478e-07,3.0433467535336386e-06,-0.455977,0.442543,PER,010511
76300,173,5011,2011,5.729245529795995e-07,0.0,-0.455977,0.442543,PER,010519
82826,173,5012,2011,0.0,0.0,-0.455977,0.442543,PER,010591
89352,173,5013,2011,0.0,0.0,-0.455977,0.442543,PER,010599
95878,173,5014,2011,1.392667319434291e-07,1.0339715369277965e-08,-0.455977,0.442543,PER,010600
102404,173,5015,2011,7.691080045965207e-09,8.1830808240367e-10,-0.455977,0.442543,PER,020110
108930,173,5016,2011,1.0039617097038115e-09,9.560416951231894e-08,-0.455977,0.442543,PER,020120
115456,173,5017,2011,3.945481638394713e-08,3.08276872054596e-06,-0.455977,0.442543,PER,020130
121982,173,5018,2011,0.0,1.147089620574768e-08,-0.455977,0.442543,PER,020210
128508,173,5019,2011,0.0,1.4700975958477401e-07,-0.455977,0.442543,PER,020220
135034,173,5020,2011,0.0,2.415499628734671e-06,-0.455977,0.442543,PER,020230
141560,173,5021,2011,1.878223566780629e-09,0.0,-0.455977,0.442543,PER,020311
148086,173,5022,2011,0.0,1.2183477160453184e-09,-0.455977,0.442543,PER,020312
154612,173,5023,2011,4.084939283672616e-10,0.0,-0.455977,0.442543,PER,020319
161138,173,5024,2011,0.0,2.2152319000282096e-08,-0.455977,0.442543,PER,020321
167664,173,5025,2011,0.0,1.4475767233490243e-07,-0.455977,0.442543,PER,020322
174190,173,5026,2011,0.0,2.096725710064658e-06,-0.455977,0.442543,PER,020329
180716,173,5027,2011,0.0,0.0,-0.455977,0.442543,PER,020410
187242,173,5028,2011,0.0,0.0,-0.455977,0.442543,PER,020421
193768,173,5029,2011,0.0,0.0,-0.455977,0.442543,PER,020422
