,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4537,174,5000,2008,0.009508070316099,0.999954797277789,0.276488,-0.02957,PHL,010111
11063,174,5001,2008,0.0,1.0,0.276488,-0.02957,PHL,010119
17589,174,5002,2008,0.0,0.0,0.276488,-0.02957,PHL,010120
24115,174,5003,2008,0.0,0.0,0.276488,-0.02957,PHL,010210
30641,174,5004,2008,0.0,1.0,0.276488,-0.02957,PHL,010290
37167,174,5005,2008,0.0,1.0,0.276488,-0.02957,PHL,010310
43693,174,5006,2008,0.0,0.0,0.276488,-0.02957,PHL,010391
50219,174,5007,2008,0.0,1.0,0.276488,-0.02957,PHL,010392
56745,174,5008,2008,0.0,1.0,0.276488,-0.02957,PHL,010410
63271,174,5009,2008,0.0,1.0,0.276488,-0.02957,PHL,010420
69797,174,5010,2008,0.09323087608377523,0.995644516755178,0.276488,-0.02957,PHL,010511
76323,174,5011,2008,1.0,0.0,0.276488,-0.02957,PHL,010519
82849,174,5012,2008,0.0004178998242547963,0.9999999126798645,0.276488,-0.02957,PHL,010591
89375,174,5013,2008,0.48124762624981887,0.8765846919886946,0.276488,-0.02957,PHL,010599
95901,174,5014,2008,0.9542363917293268,0.29905335426875695,0.276488,-0.02957,PHL,010600
102427,174,5015,2008,0.037348866021028555,0.9993022877022465,0.276488,-0.02957,PHL,020110
108953,174,5016,2008,0.0,1.0,0.276488,-0.02957,PHL,020120
115479,174,5017,2008,0.0,1.0,0.276488,-0.02957,PHL,020130
122005,174,5018,2008,0.0,1.0,0.276488,-0.02957,PHL,020210
128531,174,5019,2008,0.0,1.0,0.276488,-0.02957,PHL,020220
135057,174,5020,2008,0.0006842489813360996,0.9999997659016383,0.276488,-0.02957,PHL,020230
141583,174,5021,2008,0.0,1.0,0.276488,-0.02957,PHL,020311
148109,174,5022,2008,0.0,1.0,0.276488,-0.02957,PHL,020312
154635,174,5023,2008,0.0,1.0,0.276488,-0.02957,PHL,020319
161161,174,5024,2008,0.0,1.0,0.276488,-0.02957,PHL,020321
167687,174,5025,2008,0.002316834758643054,0.9999973161347491,0.276488,-0.02957,PHL,020322
174213,174,5026,2008,0.0013753589502259588,0.9999990541934317,0.276488,-0.02957,PHL,020329
180739,174,5027,2008,0.0,1.0,0.276488,-0.02957,PHL,020410
187265,174,5028,2008,0.0,1.0,0.276488,-0.02957,PHL,020421
193791,174,5029,2008,0.0,1.0,0.276488,-0.02957,PHL,020422
200317,174,5030,2008,0.0,1.0,0.276488,-0.02957,PHL,020423
206843,174,5031,2008,0.0,1.0,0.276488,-0.02957,PHL,020430
213369,174,5032,2008,0.0,1.0,0.276488,-0.02957,PHL,020441
219895,174,5033,2008,0.0,1.0,0.276488,-0.02957,PHL,020442
226421,174,5034,2008,0.0,1.0,0.276488,-0.02957,PHL,020443
232947,174,5035,2008,0.0,0.0,0.276488,-0.02957,PHL,020450
239473,174,5036,2008,0.0,1.0,0.276488,-0.02957,PHL,020500
245999,174,5037,2008,0.0,0.0,0.276488,-0.02957,PHL,020610
252525,174,5038,2008,0.0,1.0,0.276488,-0.02957,PHL,020621
259051,174,5039,2008,0.0,1.0,0.276488,-0.02957,PHL,020622
265577,174,5040,2008,0.0,1.0,0.276488,-0.02957,PHL,020629
272103,174,5041,2008,0.0,1.0,0.276488,-0.02957,PHL,020630
278629,174,5042,2008,0.0,1.0,0.276488,-0.02957,PHL,020641
285155,174,5043,2008,0.0016791475587521962,0.9999985902307442,0.276488,-0.02957,PHL,020649
291681,174,5044,2008,1.0,0.0,0.276488,-0.02957,PHL,020680
