,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4553,175,5000,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010111
11079,175,5001,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010119
17605,175,5002,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010120
24131,175,5003,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010210
30657,175,5004,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010290
37183,175,5005,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010310
43709,175,5006,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010391
50235,175,5007,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010392
56761,175,5008,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010410
63287,175,5009,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010420
69813,175,5010,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010511
76339,175,5011,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010519
82865,175,5012,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010591
89391,175,5013,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010599
95917,175,5014,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,010600
102443,175,5015,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020110
108969,175,5016,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020120
115495,175,5017,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020130
122021,175,5018,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020210
128547,175,5019,1998,0.0,2.5113672874837297e-08,-0.959525,-0.9131739999999999,PLW,020220
135073,175,5020,1998,0.0,1.1403217586700766e-07,-0.959525,-0.9131739999999999,PLW,020230
141599,175,5021,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020311
148125,175,5022,1998,0.0,1.907827790498277e-08,-0.959525,-0.9131739999999999,PLW,020312
154651,175,5023,1998,0.0,3.819765350223693e-09,-0.959525,-0.9131739999999999,PLW,020319
161177,175,5024,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020321
167703,175,5025,1998,0.0,6.519950019054272e-09,-0.959525,-0.9131739999999999,PLW,020322
174229,175,5026,1998,0.0,3.79248841414357e-08,-0.959525,-0.9131739999999999,PLW,020329
180755,175,5027,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020410
187281,175,5028,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020421
193807,175,5029,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020422
200333,175,5030,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020423
206859,175,5031,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020430
213385,175,5032,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020441
219911,175,5033,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020442
226437,175,5034,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020443
232963,175,5035,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020450
239489,175,5036,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020500
246015,175,5037,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020610
252541,175,5038,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020621
259067,175,5039,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020622
265593,175,5040,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020629
272119,175,5041,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020630
278645,175,5042,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020641
285171,175,5043,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020649
291697,175,5044,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020680
298223,175,5045,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020690
304749,175,5046,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020710
311275,175,5047,1998,0.0,7.852410117753127e-08,-0.959525,-0.9131739999999999,PLW,020721
317801,175,5048,1998,0.0,3.4800465229803706e-09,-0.959525,-0.9131739999999999,PLW,020722
324327,175,5049,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020723
330853,175,5050,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020731
337379,175,5051,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020739
343905,175,5052,1998,6.234987074300006e-09,7.28506310460667e-08,-0.959525,-0.9131739999999999,PLW,020741
350431,175,5053,1998,0.0,4.92178008250081e-09,-0.959525,-0.9131739999999999,PLW,020742
356957,175,5054,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020743
363483,175,5055,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020750
370009,175,5056,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020810
376535,175,5057,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020820
383061,175,5058,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020890
389587,175,5059,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,020900
396113,175,5060,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,021011
402639,175,5061,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,021012
409165,175,5062,1998,0.0,3.0624409402227263e-09,-0.959525,-0.9131739999999999,PLW,021019
415691,175,5063,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,021020
422217,175,5064,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,021090
428743,175,5065,1998,7.009246708556945e-10,0.0,-0.959525,-0.9131739999999999,PLW,030110
435269,175,5066,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030191
441795,175,5067,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030192
448321,175,5068,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030193
454847,175,5069,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030199
461373,175,5070,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030211
467899,175,5071,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030212
474425,175,5072,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030219
480951,175,5073,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030221
487477,175,5074,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030222
494003,175,5075,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030223
500529,175,5076,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030229
507055,175,5077,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030231
513581,175,5078,1998,8.63684046198785e-07,2.225638896296932e-08,-0.959525,-0.9131739999999999,PLW,030232
520107,175,5079,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030233
526633,175,5080,1998,1.5664669401766962e-06,4.8113466061715666e-08,-0.959525,-0.9131739999999999,PLW,030239
533159,175,5081,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030240
539685,175,5082,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030250
546211,175,5083,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030261
552737,175,5084,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030262
559263,175,5085,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030263
565789,175,5086,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030264
572315,175,5087,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030265
578841,175,5088,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030266
585367,175,5089,1998,2.0523789530066417e-08,2.095319439836372e-08,-0.959525,-0.9131739999999999,PLW,030269
591893,175,5090,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030270
598419,175,5091,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030310
604945,175,5092,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030321
611471,175,5093,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030322
617997,175,5094,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030329
624523,175,5095,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030331
631049,175,5096,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030332
637575,175,5097,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030333
644101,175,5098,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030339
650627,175,5099,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030341
657153,175,5100,1998,8.943895771971093e-08,0.0,-0.959525,-0.9131739999999999,PLW,030342
663679,175,5101,1998,1.0046899077081634e-06,0.0,-0.959525,-0.9131739999999999,PLW,030343
670205,175,5102,1998,3.2258595822420894e-08,0.0,-0.959525,-0.9131739999999999,PLW,030349
676731,175,5103,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030350
683257,175,5104,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030360
689783,175,5105,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030371
696309,175,5106,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030372
702835,175,5107,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030373
709361,175,5108,1998,0.0,4.5074888297650515e-10,-0.959525,-0.9131739999999999,PLW,030374
715887,175,5109,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030375
722413,175,5110,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030376
728939,175,5111,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030377
735465,175,5112,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030378
741991,175,5113,1998,2.147320457277757e-09,9.463737944493476e-09,-0.959525,-0.9131739999999999,PLW,030379
748517,175,5114,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030380
755043,175,5115,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030410
761569,175,5116,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030420
768095,175,5117,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030490
774621,175,5118,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030510
781147,175,5119,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030520
787673,175,5120,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030530
794199,175,5121,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030541
800725,175,5122,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030542
807251,175,5123,1998,0.0,1.1971360039052475e-09,-0.959525,-0.9131739999999999,PLW,030549
813777,175,5124,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030551
820303,175,5125,1998,0.0,2.095319439836372e-09,-0.959525,-0.9131739999999999,PLW,030559
826829,175,5126,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030561
833355,175,5127,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030562
839881,175,5128,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030563
846407,175,5129,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030569
852933,175,5130,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030611
859459,175,5131,1998,0.0,4.8912882462994585e-09,-0.959525,-0.9131739999999999,PLW,030612
865985,175,5132,1998,0.0,5.569662000849077e-07,-0.959525,-0.9131739999999999,PLW,030613
872511,175,5133,1998,0.0,1.4664253181834905e-08,-0.959525,-0.9131739999999999,PLW,030614
879037,175,5134,1998,0.0,1.3413093598572915e-09,-0.959525,-0.9131739999999999,PLW,030619
885563,175,5135,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030621
892089,175,5136,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030622
898615,175,5137,1998,0.0,1.799084622480195e-08,-0.959525,-0.9131739999999999,PLW,030623
905141,175,5138,1998,0.0,5.752682618987647e-09,-0.959525,-0.9131739999999999,PLW,030624
911667,175,5139,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030629
918193,175,5140,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030710
924719,175,5141,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030721
931245,175,5142,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030729
937771,175,5143,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030731
944297,175,5144,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030739
950823,175,5145,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030741
957349,175,5146,1998,0.0,6.502715502940464e-09,-0.959525,-0.9131739999999999,PLW,030749
963875,175,5147,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030751
970401,175,5148,1998,0.0,3.292322870540744e-08,-0.959525,-0.9131739999999999,PLW,030759
976927,175,5149,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030760
983453,175,5150,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030791
989979,175,5151,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,030799
996505,175,5152,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040110
1003031,175,5153,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040120
1009557,175,5154,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040130
1016083,175,5155,1998,0.0,2.6709854213377627e-08,-0.959525,-0.9131739999999999,PLW,040210
1022609,175,5156,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040221
1029135,175,5157,1998,0.0,2.197069371508274e-09,-0.959525,-0.9131739999999999,PLW,040229
1035661,175,5158,1998,0.0,5.7368732647832506e-08,-0.959525,-0.9131739999999999,PLW,040291
1042187,175,5159,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040299
1048713,175,5160,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040310
1055239,175,5161,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040390
1061765,175,5162,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040410
1068291,175,5163,1998,0.0,2.231869836738078e-09,-0.959525,-0.9131739999999999,PLW,040490
1074817,175,5164,1998,0.0,1.0582655759882212e-09,-0.959525,-0.9131739999999999,PLW,040500
1081343,175,5165,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040610
1087869,175,5166,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040620
1094395,175,5167,1998,0.0,6.731404274450603e-10,-0.959525,-0.9131739999999999,PLW,040630
1100921,175,5168,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040640
1107447,175,5169,1998,0.0,7.626273380359841e-09,-0.959525,-0.9131739999999999,PLW,040690
1113973,175,5170,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040700
1120499,175,5171,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040811
1127025,175,5172,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040819
1133551,175,5173,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040891
1140077,175,5174,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040899
1146603,175,5175,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,040900
1153129,175,5176,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,041000
1159655,175,5177,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050100
1166181,175,5178,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050210
1172707,175,5179,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050290
1179233,175,5180,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050300
1185759,175,5181,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050400
1192285,175,5182,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050510
1198811,175,5183,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050590
1205337,175,5184,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050610
1211863,175,5185,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050690
1218389,175,5186,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050710
1224915,175,5187,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050790
1231441,175,5188,1998,5.979708672774352e-08,0.0,-0.959525,-0.9131739999999999,PLW,050800
1237967,175,5189,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,050900
1244493,175,5190,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,051000
1251019,175,5191,1998,0.0,1.008882058662119e-09,-0.959525,-0.9131739999999999,PLW,051110
1257545,175,5192,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,051191
1264071,175,5193,1998,0.0,8.282510724693282e-10,-0.959525,-0.9131739999999999,PLW,051199
1270597,175,5194,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,060110
1277123,175,5195,1998,0.0,0.0,-0.959525,-0.9131739999999999,PLW,060120
