,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4587,176,5000,2006,0.0,0.0,-1.89409,-1.234731,PNG,010111
11113,176,5001,2006,0.0,0.0,-1.89409,-1.234731,PNG,010119
17639,176,5002,2006,0.0,0.0,-1.89409,-1.234731,PNG,010120
24165,176,5003,2006,0.0,0.0,-1.89409,-1.234731,PNG,010210
30691,176,5004,2006,0.0,0.0,-1.89409,-1.234731,PNG,010290
37217,176,5005,2006,0.0,0.0,-1.89409,-1.234731,PNG,010310
43743,176,5006,2006,0.0,0.0,-1.89409,-1.234731,PNG,010391
50269,176,5007,2006,0.0,0.0,-1.89409,-1.234731,PNG,010392
56795,176,5008,2006,0.0,0.0,-1.89409,-1.234731,PNG,010410
63321,176,5009,2006,0.0,0.0,-1.89409,-1.234731,PNG,010420
69847,176,5010,2006,0.0,1.0,-1.89409,-1.234731,PNG,010511
76373,176,5011,2006,0.0,0.0,-1.89409,-1.234731,PNG,010519
82899,176,5012,2006,0.0,0.0,-1.89409,-1.234731,PNG,010591
89425,176,5013,2006,0.0,0.0,-1.89409,-1.234731,PNG,010599
95951,176,5014,2006,0.9956875347154711,0.09277032506263848,-1.89409,-1.234731,PNG,010600
102477,176,5015,2006,0.0,0.0,-1.89409,-1.234731,PNG,020110
109003,176,5016,2006,0.0,1.0,-1.89409,-1.234731,PNG,020120
115529,176,5017,2006,0.0,1.0,-1.89409,-1.234731,PNG,020130
122055,176,5018,2006,0.0,1.0,-1.89409,-1.234731,PNG,020210
128581,176,5019,2006,0.0,1.0,-1.89409,-1.234731,PNG,020220
135107,176,5020,2006,0.0,1.0,-1.89409,-1.234731,PNG,020230
141633,176,5021,2006,0.0,0.0,-1.89409,-1.234731,PNG,020311
148159,176,5022,2006,0.0,1.0,-1.89409,-1.234731,PNG,020312
154685,176,5023,2006,0.0,1.0,-1.89409,-1.234731,PNG,020319
161211,176,5024,2006,0.0,0.0,-1.89409,-1.234731,PNG,020321
167737,176,5025,2006,0.0,1.0,-1.89409,-1.234731,PNG,020322
174263,176,5026,2006,0.0,1.0,-1.89409,-1.234731,PNG,020329
180789,176,5027,2006,0.0,0.0,-1.89409,-1.234731,PNG,020410
187315,176,5028,2006,0.0,0.0,-1.89409,-1.234731,PNG,020421
193841,176,5029,2006,0.0,1.0,-1.89409,-1.234731,PNG,020422
200367,176,5030,2006,0.0,1.0,-1.89409,-1.234731,PNG,020423
206893,176,5031,2006,0.0,1.0,-1.89409,-1.234731,PNG,020430
213419,176,5032,2006,0.0,0.0,-1.89409,-1.234731,PNG,020441
219945,176,5033,2006,0.0,1.0,-1.89409,-1.234731,PNG,020442
226471,176,5034,2006,0.0,1.0,-1.89409,-1.234731,PNG,020443
232997,176,5035,2006,0.0,1.0,-1.89409,-1.234731,PNG,020450
239523,176,5036,2006,0.0,1.0,-1.89409,-1.234731,PNG,020500
246049,176,5037,2006,0.0,1.0,-1.89409,-1.234731,PNG,020610
252575,176,5038,2006,0.0,1.0,-1.89409,-1.234731,PNG,020621
259101,176,5039,2006,0.0,1.0,-1.89409,-1.234731,PNG,020622
265627,176,5040,2006,0.0,1.0,-1.89409,-1.234731,PNG,020629
272153,176,5041,2006,0.0,1.0,-1.89409,-1.234731,PNG,020630
278679,176,5042,2006,0.0,0.0,-1.89409,-1.234731,PNG,020641
285205,176,5043,2006,0.0,1.0,-1.89409,-1.234731,PNG,020649
291731,176,5044,2006,0.0,0.0,-1.89409,-1.234731,PNG,020680
298257,176,5045,2006,0.0,1.0,-1.89409,-1.234731,PNG,020690
304783,176,5046,2006,0.0,0.0,-1.89409,-1.234731,PNG,020710
311309,176,5047,2006,0.0,1.0,-1.89409,-1.234731,PNG,020721
317835,176,5048,2006,0.0,0.0,-1.89409,-1.234731,PNG,020722
324361,176,5049,2006,0.0,1.0,-1.89409,-1.234731,PNG,020723
330887,176,5050,2006,0.0,0.0,-1.89409,-1.234731,PNG,020731
337413,176,5051,2006,0.0,0.0,-1.89409,-1.234731,PNG,020739
343939,176,5052,2006,0.0,1.0,-1.89409,-1.234731,PNG,020741
350465,176,5053,2006,0.0,0.0,-1.89409,-1.234731,PNG,020742
356991,176,5054,2006,0.0,0.0,-1.89409,-1.234731,PNG,020743
363517,176,5055,2006,0.0,0.0,-1.89409,-1.234731,PNG,020750
370043,176,5056,2006,0.0,0.0,-1.89409,-1.234731,PNG,020810
376569,176,5057,2006,0.0,0.0,-1.89409,-1.234731,PNG,020820
383095,176,5058,2006,0.23179643345286394,0.9727643154631712,-1.89409,-1.234731,PNG,020890
389621,176,5059,2006,0.0,0.0,-1.89409,-1.234731,PNG,020900
396147,176,5060,2006,0.0,0.0,-1.89409,-1.234731,PNG,021011
402673,176,5061,2006,0.0,0.0,-1.89409,-1.234731,PNG,021012
409199,176,5062,2006,0.0,0.0,-1.89409,-1.234731,PNG,021019
415725,176,5063,2006,0.0,0.0,-1.89409,-1.234731,PNG,021020
422251,176,5064,2006,0.0,0.0,-1.89409,-1.234731,PNG,021090
428777,176,5065,2006,1.0,0.0,-1.89409,-1.234731,PNG,030110
435303,176,5066,2006,0.0,0.0,-1.89409,-1.234731,PNG,030191
441829,176,5067,2006,0.0,0.0,-1.89409,-1.234731,PNG,030192
448355,176,5068,2006,0.0,0.0,-1.89409,-1.234731,PNG,030193
454881,176,5069,2006,1.0,0.0,-1.89409,-1.234731,PNG,030199
461407,176,5070,2006,0.0,0.0,-1.89409,-1.234731,PNG,030211
467933,176,5071,2006,0.0,0.0,-1.89409,-1.234731,PNG,030212
474459,176,5072,2006,0.0,0.0,-1.89409,-1.234731,PNG,030219
480985,176,5073,2006,0.0,0.0,-1.89409,-1.234731,PNG,030221
487511,176,5074,2006,0.0,0.0,-1.89409,-1.234731,PNG,030222
494037,176,5075,2006,0.0,0.0,-1.89409,-1.234731,PNG,030223
500563,176,5076,2006,0.0,0.0,-1.89409,-1.234731,PNG,030229
507089,176,5077,2006,0.016364614870315455,0.999866090724226,-1.89409,-1.234731,PNG,030231
513615,176,5078,2006,0.993884183991368,0.11042748214014657,-1.89409,-1.234731,PNG,030232
