,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4624,177,5000,2017,0.25057740664191336,0.9680965671257249,1.197417,1.092716,POL,010111
11150,177,5001,2017,0.9949217885655581,0.10065105383209379,1.197417,1.092716,POL,010119
17676,177,5002,2017,0.0,0.0,1.197417,1.092716,POL,010120
24202,177,5003,2017,0.10312107517102702,0.9946688111404576,1.197417,1.092716,POL,010210
30728,177,5004,2017,0.4085445094134225,0.91273839835308,1.197417,1.092716,POL,010290
37254,177,5005,2017,0.023378752512805374,0.9997266796134556,1.197417,1.092716,POL,010310
43780,177,5006,2017,0.0037610680851323914,0.9999929271584168,1.197417,1.092716,POL,010391
50306,177,5007,2017,0.3574029224887077,0.9339502936433668,1.197417,1.092716,POL,010392
56832,177,5008,2017,0.9999994481317716,0.0010505884791071828,1.197417,1.092716,POL,010410
63358,177,5009,2017,1.0,0.0,1.197417,1.092716,POL,010420
69884,177,5010,2017,0.2580932130679391,0.9661200201674053,1.197417,1.092716,POL,010511
76410,177,5011,2017,0.11265948912674914,0.9936336545778328,1.197417,1.092716,POL,010519
82936,177,5012,2017,0.15079147262490888,0.9885655930607797,1.197417,1.092716,POL,010591
89462,177,5013,2017,0.7071201577099326,0.7070934044101104,1.197417,1.092716,POL,010599
95988,177,5014,2017,0.5222629418789075,0.8527845094395118,1.197417,1.092716,POL,010600
102514,177,5015,2017,0.9868299055057429,0.1617613600323835,1.197417,1.092716,POL,020110
109040,177,5016,2017,0.9995351269828637,0.030488193245096218,1.197417,1.092716,POL,020120
115566,177,5017,2017,0.995840016615395,0.09111894044297296,1.197417,1.092716,POL,020130
122092,177,5018,2017,0.6607769460861759,0.750582325611939,1.197417,1.092716,POL,020210
128618,177,5019,2017,0.9999794657659131,0.00640843557500682,1.197417,1.092716,POL,020220
135144,177,5020,2017,0.9973945656458372,0.07213931258441593,1.197417,1.092716,POL,020230
141670,177,5021,2017,0.3154906104930486,0.9489286984229759,1.197417,1.092716,POL,020311
148196,177,5022,2017,0.3636957928732055,0.9315177777403556,1.197417,1.092716,POL,020312
154722,177,5023,2017,0.41789764162486565,0.908494117275602,1.197417,1.092716,POL,020319
161248,177,5024,2017,0.4540648908837688,0.8909686160952647,1.197417,1.092716,POL,020321
167774,177,5025,2017,0.8596892394495186,0.5108173955286844,1.197417,1.092716,POL,020322
