,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4640,178,5000,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,010111
11166,178,5001,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,010119
17692,178,5002,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,010120
24218,178,5003,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,010210
30744,178,5004,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,010290
37270,178,5005,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,010310
43796,178,5006,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,010391
50322,178,5007,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,010392
56848,178,5008,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,010410
63374,178,5009,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,010420
69900,178,5010,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,010511
76426,178,5011,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,010519
82952,178,5012,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,010591
89478,178,5013,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,010599
96004,178,5014,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,010600
102530,178,5015,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020110
109056,178,5016,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020120
115582,178,5017,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020130
122108,178,5018,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020210
128634,178,5019,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,020220
135160,178,5020,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,020230
141686,178,5021,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020311
148212,178,5022,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020312
154738,178,5023,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,020319
161264,178,5024,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,020321
167790,178,5025,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,020322
174316,178,5026,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,020329
180842,178,5027,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020410
187368,178,5028,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020421
193894,178,5029,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020422
200420,178,5030,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020423
206946,178,5031,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020430
213472,178,5032,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020441
219998,178,5033,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020442
226524,178,5034,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,020443
233050,178,5035,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020450
239576,178,5036,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020500
246102,178,5037,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020610
252628,178,5038,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020621
259154,178,5039,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020622
265680,178,5040,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020629
272206,178,5041,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020630
278732,178,5042,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020641
285258,178,5043,2007,0.0,1.0,0.799712,0.8789370000000001,PRK,020649
291784,178,5044,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020680
298310,178,5045,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020690
304836,178,5046,2007,0.0,0.0,0.799712,0.8789370000000001,PRK,020710
