,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4689,180,5000,2004,1.0,0.0,-0.64574,-0.978875,PRY,010111
11215,180,5001,2004,0.0,1.0,-0.64574,-0.978875,PRY,010119
17741,180,5002,2004,0.0,0.0,-0.64574,-0.978875,PRY,010120
24267,180,5003,2004,0.049034690206536766,0.998797076065178,-0.64574,-0.978875,PRY,010210
30793,180,5004,2004,0.08893183971401442,0.9960377140877151,-0.64574,-0.978875,PRY,010290
37319,180,5005,2004,0.0,1.0,-0.64574,-0.978875,PRY,010310
43845,180,5006,2004,0.0,0.0,-0.64574,-0.978875,PRY,010391
50371,180,5007,2004,0.0,0.0,-0.64574,-0.978875,PRY,010392
56897,180,5008,2004,0.0,1.0,-0.64574,-0.978875,PRY,010410
63423,180,5009,2004,0.0,0.0,-0.64574,-0.978875,PRY,010420
69949,180,5010,2004,0.0,1.0,-0.64574,-0.978875,PRY,010511
76475,180,5011,2004,0.0,0.0,-0.64574,-0.978875,PRY,010519
83001,180,5012,2004,0.0,0.0,-0.64574,-0.978875,PRY,010591
89527,180,5013,2004,1.0,0.0,-0.64574,-0.978875,PRY,010599
96053,180,5014,2004,1.0,0.0,-0.64574,-0.978875,PRY,010600
102579,180,5015,2004,0.0,0.0,-0.64574,-0.978875,PRY,020110
109105,180,5016,2004,1.0,0.0,-0.64574,-0.978875,PRY,020120
115631,180,5017,2004,1.0,0.0,-0.64574,-0.978875,PRY,020130
122157,180,5018,2004,1.0,0.0,-0.64574,-0.978875,PRY,020210
128683,180,5019,2004,1.0,0.0,-0.64574,-0.978875,PRY,020220
135209,180,5020,2004,1.0,0.0,-0.64574,-0.978875,PRY,020230
141735,180,5021,2004,0.0,0.0,-0.64574,-0.978875,PRY,020311
148261,180,5022,2004,0.0,0.0,-0.64574,-0.978875,PRY,020312
154787,180,5023,2004,0.0,0.0,-0.64574,-0.978875,PRY,020319
161313,180,5024,2004,1.0,0.0,-0.64574,-0.978875,PRY,020321
167839,180,5025,2004,0.0,0.0,-0.64574,-0.978875,PRY,020322
174365,180,5026,2004,1.0,0.0,-0.64574,-0.978875,PRY,020329
180891,180,5027,2004,0.0,0.0,-0.64574,-0.978875,PRY,020410
187417,180,5028,2004,0.0,0.0,-0.64574,-0.978875,PRY,020421
193943,180,5029,2004,0.0,0.0,-0.64574,-0.978875,PRY,020422
200469,180,5030,2004,0.0,0.0,-0.64574,-0.978875,PRY,020423
206995,180,5031,2004,0.0,0.0,-0.64574,-0.978875,PRY,020430
213521,180,5032,2004,0.0,0.0,-0.64574,-0.978875,PRY,020441
220047,180,5033,2004,1.0,0.0,-0.64574,-0.978875,PRY,020442
226573,180,5034,2004,0.9942667028091603,0.10692859152257088,-0.64574,-0.978875,PRY,020443
233099,180,5035,2004,1.0,0.0,-0.64574,-0.978875,PRY,020450
239625,180,5036,2004,1.0,0.0,-0.64574,-0.978875,PRY,020500
246151,180,5037,2004,1.0,0.0,-0.64574,-0.978875,PRY,020610
252677,180,5038,2004,1.0,0.0,-0.64574,-0.978875,PRY,020621
259203,180,5039,2004,1.0,0.0,-0.64574,-0.978875,PRY,020622
265729,180,5040,2004,0.9834750836104303,0.18104353044905322,-0.64574,-0.978875,PRY,020629
272255,180,5041,2004,0.0,0.0,-0.64574,-0.978875,PRY,020630
278781,180,5042,2004,0.0,0.0,-0.64574,-0.978875,PRY,020641
285307,180,5043,2004,1.0,0.0,-0.64574,-0.978875,PRY,020649
291833,180,5044,2004,1.0,0.0,-0.64574,-0.978875,PRY,020680
298359,180,5045,2004,1.0,0.0,-0.64574,-0.978875,PRY,020690
304885,180,5046,2004,0.0,0.0,-0.64574,-0.978875,PRY,020710
311411,180,5047,2004,0.9996229416019226,0.027458598345861625,-0.64574,-0.978875,PRY,020721
317937,180,5048,2004,0.0,1.0,-0.64574,-0.978875,PRY,020722
324463,180,5049,2004,0.0,0.0,-0.64574,-0.978875,PRY,020723
330989,180,5050,2004,0.0,0.0,-0.64574,-0.978875,PRY,020731
337515,180,5051,2004,0.0,0.0,-0.64574,-0.978875,PRY,020739
344041,180,5052,2004,0.9864111037888407,0.16429587433067466,-0.64574,-0.978875,PRY,020741
350567,180,5053,2004,0.0,1.0,-0.64574,-0.978875,PRY,020742
357093,180,5054,2004,0.0,0.0,-0.64574,-0.978875,PRY,020743
363619,180,5055,2004,0.0,0.0,-0.64574,-0.978875,PRY,020750
370145,180,5056,2004,0.0,0.0,-0.64574,-0.978875,PRY,020810
376671,180,5057,2004,0.0,0.0,-0.64574,-0.978875,PRY,020820
383197,180,5058,2004,1.0,0.0,-0.64574,-0.978875,PRY,020890
389723,180,5059,2004,1.0,0.0,-0.64574,-0.978875,PRY,020900
396249,180,5060,2004,0.0,0.0,-0.64574,-0.978875,PRY,021011
402775,180,5061,2004,0.0,1.0,-0.64574,-0.978875,PRY,021012
409301,180,5062,2004,0.0,1.0,-0.64574,-0.978875,PRY,021019
415827,180,5063,2004,1.0,0.0,-0.64574,-0.978875,PRY,021020
422353,180,5064,2004,0.0,0.0,-0.64574,-0.978875,PRY,021090
428879,180,5065,2004,1.0,0.0,-0.64574,-0.978875,PRY,030110
435405,180,5066,2004,0.0,0.0,-0.64574,-0.978875,PRY,030191
441931,180,5067,2004,0.0,0.0,-0.64574,-0.978875,PRY,030192
448457,180,5068,2004,0.0,0.0,-0.64574,-0.978875,PRY,030193
454983,180,5069,2004,0.0,0.0,-0.64574,-0.978875,PRY,030199
461509,180,5070,2004,0.0,0.0,-0.64574,-0.978875,PRY,030211
468035,180,5071,2004,0.0,1.0,-0.64574,-0.978875,PRY,030212
474561,180,5072,2004,0.0,0.0,-0.64574,-0.978875,PRY,030219
481087,180,5073,2004,0.0,0.0,-0.64574,-0.978875,PRY,030221
487613,180,5074,2004,0.0,0.0,-0.64574,-0.978875,PRY,030222
494139,180,5075,2004,0.0,0.0,-0.64574,-0.978875,PRY,030223
500665,180,5076,2004,0.0,0.0,-0.64574,-0.978875,PRY,030229
507191,180,5077,2004,0.0,0.0,-0.64574,-0.978875,PRY,030231
513717,180,5078,2004,0.0,0.0,-0.64574,-0.978875,PRY,030232
520243,180,5079,2004,0.0,0.0,-0.64574,-0.978875,PRY,030233
526769,180,5080,2004,0.0,0.0,-0.64574,-0.978875,PRY,030239
533295,180,5081,2004,0.0,0.0,-0.64574,-0.978875,PRY,030240
539821,180,5082,2004,0.0,0.0,-0.64574,-0.978875,PRY,030250
546347,180,5083,2004,0.0,1.0,-0.64574,-0.978875,PRY,030261
552873,180,5084,2004,0.0,0.0,-0.64574,-0.978875,PRY,030262
559399,180,5085,2004,0.0,0.0,-0.64574,-0.978875,PRY,030263
565925,180,5086,2004,0.0,0.0,-0.64574,-0.978875,PRY,030264
572451,180,5087,2004,0.0,0.0,-0.64574,-0.978875,PRY,030265
578977,180,5088,2004,0.0,0.0,-0.64574,-0.978875,PRY,030266
585503,180,5089,2004,0.0,0.0,-0.64574,-0.978875,PRY,030269
592029,180,5090,2004,0.0,0.0,-0.64574,-0.978875,PRY,030270
598555,180,5091,2004,0.0,0.0,-0.64574,-0.978875,PRY,030310
605081,180,5092,2004,0.0,0.0,-0.64574,-0.978875,PRY,030321
611607,180,5093,2004,0.0,1.0,-0.64574,-0.978875,PRY,030322
618133,180,5094,2004,0.0,0.0,-0.64574,-0.978875,PRY,030329
624659,180,5095,2004,0.0,0.0,-0.64574,-0.978875,PRY,030331
631185,180,5096,2004,0.0,0.0,-0.64574,-0.978875,PRY,030332
637711,180,5097,2004,0.0,0.0,-0.64574,-0.978875,PRY,030333
644237,180,5098,2004,0.0,0.0,-0.64574,-0.978875,PRY,030339
650763,180,5099,2004,0.0,0.0,-0.64574,-0.978875,PRY,030341
657289,180,5100,2004,0.0,0.0,-0.64574,-0.978875,PRY,030342
663815,180,5101,2004,0.0,0.0,-0.64574,-0.978875,PRY,030343
670341,180,5102,2004,0.0,0.0,-0.64574,-0.978875,PRY,030349
676867,180,5103,2004,0.0,0.0,-0.64574,-0.978875,PRY,030350
683393,180,5104,2004,0.0,0.0,-0.64574,-0.978875,PRY,030360
689919,180,5105,2004,0.0,0.0,-0.64574,-0.978875,PRY,030371
696445,180,5106,2004,0.0,0.0,-0.64574,-0.978875,PRY,030372
702971,180,5107,2004,0.0,0.0,-0.64574,-0.978875,PRY,030373
709497,180,5108,2004,0.0,1.0,-0.64574,-0.978875,PRY,030374
716023,180,5109,2004,0.0,0.0,-0.64574,-0.978875,PRY,030375
722549,180,5110,2004,0.0,0.0,-0.64574,-0.978875,PRY,030376
729075,180,5111,2004,0.0,0.0,-0.64574,-0.978875,PRY,030377
735601,180,5112,2004,0.0,1.0,-0.64574,-0.978875,PRY,030378
742127,180,5113,2004,0.9859454941546256,0.16706729948194915,-0.64574,-0.978875,PRY,030379
748653,180,5114,2004,0.0,1.0,-0.64574,-0.978875,PRY,030380
755179,180,5115,2004,0.0,1.0,-0.64574,-0.978875,PRY,030410
761705,180,5116,2004,0.0062898876614479685,0.9999802184609485,-0.64574,-0.978875,PRY,030420
768231,180,5117,2004,0.0,1.0,-0.64574,-0.978875,PRY,030490
774757,180,5118,2004,0.0,0.0,-0.64574,-0.978875,PRY,030510
781283,180,5119,2004,0.0,0.0,-0.64574,-0.978875,PRY,030520
787809,180,5120,2004,0.0,0.0,-0.64574,-0.978875,PRY,030530
794335,180,5121,2004,0.0,1.0,-0.64574,-0.978875,PRY,030541
800861,180,5122,2004,0.0,0.0,-0.64574,-0.978875,PRY,030542
807387,180,5123,2004,0.0,0.0,-0.64574,-0.978875,PRY,030549
813913,180,5124,2004,0.0,0.0,-0.64574,-0.978875,PRY,030551
820439,180,5125,2004,0.0,0.0,-0.64574,-0.978875,PRY,030559
826965,180,5126,2004,0.0,0.0,-0.64574,-0.978875,PRY,030561
833491,180,5127,2004,0.0,0.0,-0.64574,-0.978875,PRY,030562
840017,180,5128,2004,0.0,0.0,-0.64574,-0.978875,PRY,030563
846543,180,5129,2004,0.0,0.0,-0.64574,-0.978875,PRY,030569
853069,180,5130,2004,0.0,0.0,-0.64574,-0.978875,PRY,030611
859595,180,5131,2004,0.0,0.0,-0.64574,-0.978875,PRY,030612
866121,180,5132,2004,0.0,1.0,-0.64574,-0.978875,PRY,030613
872647,180,5133,2004,0.0,0.0,-0.64574,-0.978875,PRY,030614
879173,180,5134,2004,0.0,0.0,-0.64574,-0.978875,PRY,030619
885699,180,5135,2004,0.0,0.0,-0.64574,-0.978875,PRY,030621
892225,180,5136,2004,0.0,0.0,-0.64574,-0.978875,PRY,030622
898751,180,5137,2004,0.0,1.0,-0.64574,-0.978875,PRY,030623
905277,180,5138,2004,0.0,0.0,-0.64574,-0.978875,PRY,030624
911803,180,5139,2004,0.0,0.0,-0.64574,-0.978875,PRY,030629
918329,180,5140,2004,0.0,0.0,-0.64574,-0.978875,PRY,030710
924855,180,5141,2004,0.0,0.0,-0.64574,-0.978875,PRY,030721
931381,180,5142,2004,0.0,1.0,-0.64574,-0.978875,PRY,030729
937907,180,5143,2004,0.0,0.0,-0.64574,-0.978875,PRY,030731
944433,180,5144,2004,0.0,1.0,-0.64574,-0.978875,PRY,030739
950959,180,5145,2004,0.0,0.0,-0.64574,-0.978875,PRY,030741
957485,180,5146,2004,0.0,1.0,-0.64574,-0.978875,PRY,030749
