,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4715,181,5000,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010111
11241,181,5001,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010119
17767,181,5002,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010120
24293,181,5003,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010210
30819,181,5004,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010290
37345,181,5005,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010310
43871,181,5006,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010391
50397,181,5007,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010392
56923,181,5008,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010410
63449,181,5009,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010420
69975,181,5010,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010511
76501,181,5011,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010519
83027,181,5012,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010591
89553,181,5013,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010599
96079,181,5014,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,010600
102605,181,5015,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020110
109131,181,5016,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020120
115657,181,5017,2004,0.0,1.0,-0.20239100000000002,-0.6123460000000001,PSE,020130
122183,181,5018,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020210
128709,181,5019,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020220
135235,181,5020,2004,0.0,1.0,-0.20239100000000002,-0.6123460000000001,PSE,020230
141761,181,5021,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020311
148287,181,5022,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020312
154813,181,5023,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020319
161339,181,5024,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020321
167865,181,5025,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020322
174391,181,5026,2004,1.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020329
180917,181,5027,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020410
187443,181,5028,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020421
193969,181,5029,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020422
200495,181,5030,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020423
207021,181,5031,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020430
213547,181,5032,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020441
220073,181,5033,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020442
226599,181,5034,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020443
233125,181,5035,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020450
239651,181,5036,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020500
246177,181,5037,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020610
252703,181,5038,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020621
259229,181,5039,2004,0.0,1.0,-0.20239100000000002,-0.6123460000000001,PSE,020622
265755,181,5040,2004,0.0,1.0,-0.20239100000000002,-0.6123460000000001,PSE,020629
272281,181,5041,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020630
278807,181,5042,2004,0.0,0.0,-0.20239100000000002,-0.6123460000000001,PSE,020641
