,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4777,183,5000,2014,0.028553970365765735,0.9995922522590653,-0.37535599999999997,-1.0196370000000001,QAT,010111
11303,183,5001,2014,0.013709004573046722,0.9999060271813628,-0.37535599999999997,-1.0196370000000001,QAT,010119
17829,183,5002,2014,0.9994952751711302,0.031767828232137106,-0.37535599999999997,-1.0196370000000001,QAT,010120
24355,183,5003,2014,0.27039431493711785,0.9627496634378464,-0.37535599999999997,-1.0196370000000001,QAT,010210
30881,183,5004,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,010290
37407,183,5005,2014,0.0,0.0,-0.37535599999999997,-1.0196370000000001,QAT,010310
43933,183,5006,2014,0.0,0.0,-0.37535599999999997,-1.0196370000000001,QAT,010391
50459,183,5007,2014,0.0,0.0,-0.37535599999999997,-1.0196370000000001,QAT,010392
56985,183,5008,2014,0.06742732906347472,0.9977241879875248,-0.37535599999999997,-1.0196370000000001,QAT,010410
63511,183,5009,2014,0.0017649437062689105,0.9999984424856438,-0.37535599999999997,-1.0196370000000001,QAT,010420
70037,183,5010,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,010511
76563,183,5011,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,010519
83089,183,5012,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,010591
89615,183,5013,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,010599
96141,183,5014,2014,0.022950724152394287,0.9997365974399861,-0.37535599999999997,-1.0196370000000001,QAT,010600
102667,183,5015,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020110
109193,183,5016,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020120
115719,183,5017,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020130
122245,183,5018,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020210
128771,183,5019,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020220
135297,183,5020,2014,0.0007125885273717952,0.9999997461087632,-0.37535599999999997,-1.0196370000000001,QAT,020230
141823,183,5021,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020311
148349,183,5022,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020312
154875,183,5023,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020319
161401,183,5024,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020321
167927,183,5025,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020322
174453,183,5026,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020329
180979,183,5027,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020410
187505,183,5028,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020421
194031,183,5029,2014,0.0031441653121091454,0.999995057100029,-0.37535599999999997,-1.0196370000000001,QAT,020422
200557,183,5030,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020423
207083,183,5031,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020430
213609,183,5032,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020441
220135,183,5033,2014,0.0,1.0,-0.37535599999999997,-1.0196370000000001,QAT,020442
226661,183,5034,2014,0.002185227013000068,0.9999976123886005,-0.37535599999999997,-1.0196370000000001,QAT,020443
