,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4841,186,5000,2000,467299.0,116843.0,0.976274,0.42859200000000003,RUS,010111
11367,186,5001,2000,996041.0,104473.0,0.976274,0.42859200000000003,RUS,010119
17893,186,5002,2000,,,0.976274,0.42859200000000003,RUS,010120
24419,186,5003,2000,91130.0,2028060.0,0.976274,0.42859200000000003,RUS,010210
30945,186,5004,2000,1270595.0,319511.0,0.976274,0.42859200000000003,RUS,010290
37471,186,5005,2000,27185.0,198015.0,0.976274,0.42859200000000003,RUS,010310
43997,186,5006,2000,50577.0,244225.0,0.976274,0.42859200000000003,RUS,010391
50523,186,5007,2000,28643.0,313783.0,0.976274,0.42859200000000003,RUS,010392
57049,186,5008,2000,151485.0,106306.0,0.976274,0.42859200000000003,RUS,010410
63575,186,5009,2000,0.0,41925.0,0.976274,0.42859200000000003,RUS,010420
70101,186,5010,2000,197949.0,4766638.0,0.976274,0.42859200000000003,RUS,010511
76627,186,5011,2000,3984.0,1497.0,0.976274,0.42859200000000003,RUS,010519
83153,186,5012,2000,34562.0,9741.0,0.976274,0.42859200000000003,RUS,010591
89679,186,5013,2000,0.0,8658.0,0.976274,0.42859200000000003,RUS,010599
96205,186,5014,2000,1150327.0,1290149.0,0.976274,0.42859200000000003,RUS,010600
102731,186,5015,2000,3052.0,1328664.0,0.976274,0.42859200000000003,RUS,020110
109257,186,5016,2000,9374.0,16162211.0,0.976274,0.42859200000000003,RUS,020120
115783,186,5017,2000,0.0,10214730.0,0.976274,0.42859200000000003,RUS,020130
122309,186,5018,2000,62307.0,148340110.0,0.976274,0.42859200000000003,RUS,020210
128835,186,5019,2000,15568.0,43193563.0,0.976274,0.42859200000000003,RUS,020220
135361,186,5020,2000,1928797.0,214881665.0,0.976274,0.42859200000000003,RUS,020230
141887,186,5021,2000,1552.0,18072939.0,0.976274,0.42859200000000003,RUS,020311
148413,186,5022,2000,0.0,684092.0,0.976274,0.42859200000000003,RUS,020312
154939,186,5023,2000,0.0,3941029.0,0.976274,0.42859200000000003,RUS,020319
161465,186,5024,2000,119849.0,111816745.0,0.976274,0.42859200000000003,RUS,020321
167991,186,5025,2000,17071.0,73283552.0,0.976274,0.42859200000000003,RUS,020322
174517,186,5026,2000,140911.0,189280487.0,0.976274,0.42859200000000003,RUS,020329
181043,186,5027,2000,0.0,12194.0,0.976274,0.42859200000000003,RUS,020410
187569,186,5028,2000,7781.0,120992.0,0.976274,0.42859200000000003,RUS,020421
194095,186,5029,2000,0.0,550490.0,0.976274,0.42859200000000003,RUS,020422
200621,186,5030,2000,0.0,93649.0,0.976274,0.42859200000000003,RUS,020423
207147,186,5031,2000,0.0,23691.0,0.976274,0.42859200000000003,RUS,020430
213673,186,5032,2000,0.0,1826737.0,0.976274,0.42859200000000003,RUS,020441
220199,186,5033,2000,0.0,1328091.0,0.976274,0.42859200000000003,RUS,020442
226725,186,5034,2000,0.0,431658.0,0.976274,0.42859200000000003,RUS,020443
233251,186,5035,2000,0.0,40742.0,0.976274,0.42859200000000003,RUS,020450
239777,186,5036,2000,10906.0,6374583.0,0.976274,0.42859200000000003,RUS,020500
246303,186,5037,2000,77927.0,348252.0,0.976274,0.42859200000000003,RUS,020610
252829,186,5038,2000,0.0,1335250.0,0.976274,0.42859200000000003,RUS,020621
259355,186,5039,2000,13629.0,26517481.0,0.976274,0.42859200000000003,RUS,020622
265881,186,5040,2000,18551.0,9382768.0,0.976274,0.42859200000000003,RUS,020629
272407,186,5041,2000,0.0,347653.0,0.976274,0.42859200000000003,RUS,020630
278933,186,5042,2000,48070.0,8284299.0,0.976274,0.42859200000000003,RUS,020641
285459,186,5043,2000,42070.0,25418848.0,0.976274,0.42859200000000003,RUS,020649
291985,186,5044,2000,,,0.976274,0.42859200000000003,RUS,020680
298511,186,5045,2000,0.0,149839.0,0.976274,0.42859200000000003,RUS,020690
305037,186,5046,2000,261636.0,5650961.0,0.976274,0.42859200000000003,RUS,020710
311563,186,5047,2000,1118541.0,24362738.0,0.976274,0.42859200000000003,RUS,020721
318089,186,5048,2000,0.0,852640.0,0.976274,0.42859200000000003,RUS,020722
324615,186,5049,2000,0.0,1705927.0,0.976274,0.42859200000000003,RUS,020723
331141,186,5050,2000,0.0,22115.0,0.976274,0.42859200000000003,RUS,020731
337667,186,5051,2000,223990.0,2818679.0,0.976274,0.42859200000000003,RUS,020739
344193,186,5052,2000,764245.0,368242916.0,0.976274,0.42859200000000003,RUS,020741
350719,186,5053,2000,27803.0,66325377.0,0.976274,0.42859200000000003,RUS,020742
357245,186,5054,2000,0.0,697732.0,0.976274,0.42859200000000003,RUS,020743
363771,186,5055,2000,,,0.976274,0.42859200000000003,RUS,020750
370297,186,5056,2000,0.0,84025.0,0.976274,0.42859200000000003,RUS,020810
376823,186,5057,2000,0.0,68927.0,0.976274,0.42859200000000003,RUS,020820
383349,186,5058,2000,1065069.0,646266.0,0.976274,0.42859200000000003,RUS,020890
389875,186,5059,2000,616274.0,34830566.0,0.976274,0.42859200000000003,RUS,020900
396401,186,5060,2000,5942.0,419058.0,0.976274,0.42859200000000003,RUS,021011
402927,186,5061,2000,0.0,10809545.0,0.976274,0.42859200000000003,RUS,021012
409453,186,5062,2000,4015.0,3158440.0,0.976274,0.42859200000000003,RUS,021019
415979,186,5063,2000,0.0,77512.0,0.976274,0.42859200000000003,RUS,021020
422505,186,5064,2000,64587.0,751672.0,0.976274,0.42859200000000003,RUS,021090
429031,186,5065,2000,77204.0,206835.0,0.976274,0.42859200000000003,RUS,030110
435557,186,5066,2000,0.0,96490.0,0.976274,0.42859200000000003,RUS,030191
442083,186,5067,2000,,,0.976274,0.42859200000000003,RUS,030192
448609,186,5068,2000,,,0.976274,0.42859200000000003,RUS,030193
455135,186,5069,2000,84210.0,21643.0,0.976274,0.42859200000000003,RUS,030199
461661,186,5070,2000,22283.0,167141.0,0.976274,0.42859200000000003,RUS,030211
468187,186,5071,2000,451073.0,4748035.0,0.976274,0.42859200000000003,RUS,030212
474713,186,5072,2000,1141146.0,193405.0,0.976274,0.42859200000000003,RUS,030219
481239,186,5073,2000,417392.0,10364.0,0.976274,0.42859200000000003,RUS,030221
487765,186,5074,2000,350810.0,73994.0,0.976274,0.42859200000000003,RUS,030222
