,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4894,188,5000,2001,7.764415009366453e-09,2.3003047858959856e-06,0.5370550000000001,-0.793469,SAU,010111
11420,188,5001,2001,1.207935940552479e-08,7.519469095404562e-07,0.5370550000000001,-0.793469,SAU,010119
17946,188,5002,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,010120
24472,188,5003,2001,1.8021612700297514e-09,1.0090487694622197e-06,0.5370550000000001,-0.793469,SAU,010210
30998,188,5004,2001,0.0,2.178317223677445e-06,0.5370550000000001,-0.793469,SAU,010290
37524,188,5005,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,010310
44050,188,5006,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,010391
50576,188,5007,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,010392
57102,188,5008,2001,5.327382051838731e-07,3.986109618567441e-05,0.5370550000000001,-0.793469,SAU,010410
63628,188,5009,2001,8.653828718385675e-09,2.1729808209092062e-07,0.5370550000000001,-0.793469,SAU,010420
70154,188,5010,2001,3.4597132651211814e-07,2.189970076601394e-06,0.5370550000000001,-0.793469,SAU,010511
76680,188,5011,2001,4.9918685335372605e-08,5.082256627830511e-07,0.5370550000000001,-0.793469,SAU,010519
83206,188,5012,2001,2.1215623089756667e-09,1.8063131762579285e-07,0.5370550000000001,-0.793469,SAU,010591
89732,188,5013,2001,2.3595372955830928e-08,8.496583300806903e-08,0.5370550000000001,-0.793469,SAU,010599
96258,188,5014,2001,5.690559821416644e-07,9.354212594590229e-07,0.5370550000000001,-0.793469,SAU,010600
102784,188,5015,2001,2.9324591212293427e-08,4.443237227960768e-07,0.5370550000000001,-0.793469,SAU,020110
109310,188,5016,2001,1.2375941755445442e-07,4.245696529996315e-07,0.5370550000000001,-0.793469,SAU,020120
115836,188,5017,2001,5.61157927798166e-08,3.4750488447403685e-06,0.5370550000000001,-0.793469,SAU,020130
122362,188,5018,2001,9.01283669830904e-08,4.0442946375563644e-07,0.5370550000000001,-0.793469,SAU,020210
128888,188,5019,2001,3.533302779635058e-07,8.925682980080449e-07,0.5370550000000001,-0.793469,SAU,020220
135414,188,5020,2001,4.5970233933997185e-07,1.41301087954147e-05,0.5370550000000001,-0.793469,SAU,020230
141940,188,5021,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,020311
148466,188,5022,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,020312
154992,188,5023,2001,0.0,2.9379215613004666e-08,0.5370550000000001,-0.793469,SAU,020319
161518,188,5024,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,020321
168044,188,5025,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,020322
174570,188,5026,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,020329
181096,188,5027,2001,1.650487292604764e-06,1.1754824915732593e-06,0.5370550000000001,-0.793469,SAU,020410
187622,188,5028,2001,7.487742192898121e-07,1.3057088153602045e-06,0.5370550000000001,-0.793469,SAU,020421
194148,188,5029,2001,1.695371017539675e-08,2.71617332828916e-06,0.5370550000000001,-0.793469,SAU,020422
200674,188,5030,2001,9.630214057554308e-09,3.6104521520215e-07,0.5370550000000001,-0.793469,SAU,020423
207200,188,5031,2001,2.824971883549916e-08,4.9989350339463e-06,0.5370550000000001,-0.793469,SAU,020430
213726,188,5032,2001,4.812955465801333e-08,1.4462748545164276e-06,0.5370550000000001,-0.793469,SAU,020441
220252,188,5033,2001,1.1680865699439515e-07,9.162139878295885e-06,0.5370550000000001,-0.793469,SAU,020442
226778,188,5034,2001,8.710799681689121e-09,5.305851936963016e-06,0.5370550000000001,-0.793469,SAU,020443
233304,188,5035,2001,5.2847538315839656e-08,6.24858924851235e-07,0.5370550000000001,-0.793469,SAU,020450
239830,188,5036,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,020500
246356,188,5037,2001,0.0,2.1699250086290272e-08,0.5370550000000001,-0.793469,SAU,020610
252882,188,5038,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,020621
259408,188,5039,2001,6.737119447671336e-09,1.1603104830320715e-07,0.5370550000000001,-0.793469,SAU,020622
265934,188,5040,2001,3.196131648731089e-08,3.304768179772926e-07,0.5370550000000001,-0.793469,SAU,020629
272460,188,5041,2001,0.0,2.2359796059652164e-08,0.5370550000000001,-0.793469,SAU,020630
278986,188,5042,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,020641
285512,188,5043,2001,0.0,4.047459822727265e-09,0.5370550000000001,-0.793469,SAU,020649
292038,188,5044,2001,0.0,4.815390088798267e-09,0.5370550000000001,-0.793469,SAU,020680
298564,188,5045,2001,4.02248334996602e-08,1.2477517891334872e-06,0.5370550000000001,-0.793469,SAU,020690
305090,188,5046,2001,4.83179527850652e-07,1.704442072680426e-05,0.5370550000000001,-0.793469,SAU,020710
311616,188,5047,2001,7.831412256137227e-06,9.360199036905661e-05,0.5370550000000001,-0.793469,SAU,020721
318142,188,5048,2001,1.7250353132725172e-07,2.9073501811785897e-07,0.5370550000000001,-0.793469,SAU,020722
324668,188,5049,2001,4.052332498292559e-08,8.668795888744103e-08,0.5370550000000001,-0.793469,SAU,020723
331194,188,5050,2001,0.0,6.295901309574773e-09,0.5370550000000001,-0.793469,SAU,020731
337720,188,5051,2001,9.193143736423669e-08,6.441188280414172e-07,0.5370550000000001,-0.793469,SAU,020739
344246,188,5052,2001,1.51860648240918e-07,1.615446511515247e-05,0.5370550000000001,-0.793469,SAU,020741
350772,188,5053,2001,8.2693050197913e-08,4.979959831704998e-07,0.5370550000000001,-0.793469,SAU,020742
357298,188,5054,2001,5.269835318161473e-07,4.362817992876722e-06,0.5370550000000001,-0.793469,SAU,020743
363824,188,5055,2001,8.560493310420456e-09,0.0,0.5370550000000001,-0.793469,SAU,020750
370350,188,5056,2001,3.368468812724014e-08,1.2054218289599627e-09,0.5370550000000001,-0.793469,SAU,020810
376876,188,5057,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,020820
383402,188,5058,2001,8.635228304941178e-07,3.8370562099478724e-07,0.5370550000000001,-0.793469,SAU,020890
389928,188,5059,2001,0.0,7.893739813126047e-09,0.5370550000000001,-0.793469,SAU,020900
396454,188,5060,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,021011
402980,188,5061,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,021012
409506,188,5062,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,021019
416032,188,5063,2001,1.7920398329322243e-08,7.182120014126889e-08,0.5370550000000001,-0.793469,SAU,021020
422558,188,5064,2001,4.2012358080713584e-07,2.1076951481380944e-07,0.5370550000000001,-0.793469,SAU,021090
429084,188,5065,2001,1.2374184140620122e-07,1.0005862906173381e-07,0.5370550000000001,-0.793469,SAU,030110
435610,188,5066,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030191
442136,188,5067,2001,3.700315582855421e-07,0.0,0.5370550000000001,-0.793469,SAU,030192
448662,188,5068,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030193
455188,188,5069,2001,0.0,6.247512091255237e-10,0.5370550000000001,-0.793469,SAU,030199
461714,188,5070,2001,7.456529377896765e-09,7.202946269685415e-06,0.5370550000000001,-0.793469,SAU,030211
468240,188,5071,2001,0.0,4.308131878948605e-08,0.5370550000000001,-0.793469,SAU,030212
474766,188,5072,2001,0.0,4.372695027774945e-08,0.5370550000000001,-0.793469,SAU,030219
481292,188,5073,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030221
487818,188,5074,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030222
494344,188,5075,2001,0.0,7.558992480915555e-09,0.5370550000000001,-0.793469,SAU,030223
500870,188,5076,2001,6.547478868760185e-08,3.964606543675147e-06,0.5370550000000001,-0.793469,SAU,030229
507396,188,5077,2001,0.0,1.2361751658000414e-06,0.5370550000000001,-0.793469,SAU,030231
513922,188,5078,2001,9.218386721759718e-10,4.545007045612802e-08,0.5370550000000001,-0.793469,SAU,030232
520448,188,5079,2001,0.0,4.939776894519651e-08,0.5370550000000001,-0.793469,SAU,030233
526974,188,5080,2001,0.0,1.1752978833910402e-06,0.5370550000000001,-0.793469,SAU,030239
533500,188,5081,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030240
540026,188,5082,2001,0.0,8.096908243467662e-10,0.5370550000000001,-0.793469,SAU,030250
546552,188,5083,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030261
553078,188,5084,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030262
559604,188,5085,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030263
566130,188,5086,2001,0.0,4.871567982669236e-08,0.5370550000000001,-0.793469,SAU,030264
572656,188,5087,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030265
579182,188,5088,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030266
585708,188,5089,2001,8.417096183637527e-08,1.0043609810792642e-06,0.5370550000000001,-0.793469,SAU,030269
592234,188,5090,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030270
598760,188,5091,2001,0.0,3.81687856877463e-07,0.5370550000000001,-0.793469,SAU,030310
605286,188,5092,2001,0.0,9.907029584920738e-08,0.5370550000000001,-0.793469,SAU,030321
611812,188,5093,2001,0.0,2.537424550115798e-07,0.5370550000000001,-0.793469,SAU,030322
618338,188,5094,2001,0.0,1.7177483122790935e-06,0.5370550000000001,-0.793469,SAU,030329
624864,188,5095,2001,0.0,8.825729415280409e-09,0.5370550000000001,-0.793469,SAU,030331
631390,188,5096,2001,0.0,5.929336409154174e-10,0.5370550000000001,-0.793469,SAU,030332
637916,188,5097,2001,0.0,4.556209481086777e-09,0.5370550000000001,-0.793469,SAU,030333
644442,188,5098,2001,1.6900375656559483e-08,8.976425372715524e-07,0.5370550000000001,-0.793469,SAU,030339
650968,188,5099,2001,7.301677451045378e-09,3.312536969344227e-07,0.5370550000000001,-0.793469,SAU,030341
657494,188,5100,2001,0.0,1.5936259900934558e-07,0.5370550000000001,-0.793469,SAU,030342
664020,188,5101,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030343
670546,188,5102,2001,0.0,1.2361125249626278e-07,0.5370550000000001,-0.793469,SAU,030349
677072,188,5103,2001,0.0,1.270515270589805e-08,0.5370550000000001,-0.793469,SAU,030350
683598,188,5104,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030360
690124,188,5105,2001,2.7529096757118334e-08,1.2400234343884533e-08,0.5370550000000001,-0.793469,SAU,030371
696650,188,5106,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030372
703176,188,5107,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030373
709702,188,5108,2001,1.2478762222726608e-08,1.0292353593265212e-07,0.5370550000000001,-0.793469,SAU,030374
716228,188,5109,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030375
722754,188,5110,2001,0.0,0.0,0.5370550000000001,-0.793469,SAU,030376
