,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4919,189,5000,2000,1.953982826492658e-09,5.421083900297946e-08,0.609133,2.278384,SCG,010111
11445,189,5001,2000,8.646455827230501e-07,1.828383299873668e-08,0.609133,2.278384,SCG,010119
17971,189,5002,2000,1.797918751485878e-09,0.0,0.609133,2.278384,SCG,010120
24497,189,5003,2000,6.925305448796017e-09,7.58896396730347e-07,0.609133,2.278384,SCG,010210
31023,189,5004,2000,8.640955704975407e-07,4.3118870148634015e-07,0.609133,2.278384,SCG,010290
37549,189,5005,2000,0.0,1.924465727208145e-08,0.609133,2.278384,SCG,010310
44075,189,5006,2000,0.0,6.402291303277316e-09,0.609133,2.278384,SCG,010391
50601,189,5007,2000,0.0,6.844091495194729e-09,0.609133,2.278384,SCG,010392
57127,189,5008,2000,1.4960938607931533e-09,5.4033522346808554e-08,0.609133,2.278384,SCG,010410
63653,189,5009,2000,5.851645220157138e-10,0.0,0.609133,2.278384,SCG,010420
70179,189,5010,2000,6.761483625594725e-08,4.3717637010387955e-07,0.609133,2.278384,SCG,010511
76705,189,5011,2000,0.0,1.126872207441263e-09,0.609133,2.278384,SCG,010519
83231,189,5012,2000,8.211667375002388e-08,2.3790194610497753e-07,0.609133,2.278384,SCG,010591
89757,189,5013,2000,6.811666559227973e-09,0.0,0.609133,2.278384,SCG,010599
96283,189,5014,2000,5.219873601566584e-08,1.5958432768780976e-07,0.609133,2.278384,SCG,010600
102809,189,5015,2000,0.0,2.3912891107907978e-09,0.609133,2.278384,SCG,020110
109335,189,5016,2000,2.1920559971006712e-06,2.5921010524868523e-07,0.609133,2.278384,SCG,020120
115861,189,5017,2000,0.0,6.169393332639383e-08,0.609133,2.278384,SCG,020130
122387,189,5018,2000,1.94404321161844e-08,1.5938944508252286e-08,0.609133,2.278384,SCG,020210
128913,189,5019,2000,1.2728161705698608e-08,1.5811210229208796e-07,0.609133,2.278384,SCG,020220
135439,189,5020,2000,5.772855590056628e-08,3.7169879762450056e-07,0.609133,2.278384,SCG,020230
141965,189,5021,2000,3.186040515337447e-07,5.354323350667095e-07,0.609133,2.278384,SCG,020311
148491,189,5022,2000,5.93101062063146e-08,5.051496330897387e-07,0.609133,2.278384,SCG,020312
155017,189,5023,2000,3.0849170554738305e-09,7.090730678103403e-07,0.609133,2.278384,SCG,020319
161543,189,5024,2000,1.9830137748143075e-08,1.4006690105492709e-08,0.609133,2.278384,SCG,020321
168069,189,5025,2000,2.4209629033576063e-09,4.822151322042915e-08,0.609133,2.278384,SCG,020322
174595,189,5026,2000,7.669685631022531e-08,5.325962628669816e-07,0.609133,2.278384,SCG,020329
181121,189,5027,2000,0.0,2.280855634461554e-08,0.609133,2.278384,SCG,020410
187647,189,5028,2000,9.700215613528223e-10,0.0,0.609133,2.278384,SCG,020421
194173,189,5029,2000,0.0,0.0,0.609133,2.278384,SCG,020422
200699,189,5030,2000,0.0,0.0,0.609133,2.278384,SCG,020423
207225,189,5031,2000,0.0,4.484288519611849e-10,0.609133,2.278384,SCG,020430
213751,189,5032,2000,0.0,0.0,0.609133,2.278384,SCG,020441
220277,189,5033,2000,0.0,1.2021074989380766e-09,0.609133,2.278384,SCG,020442
226803,189,5034,2000,0.0,9.200580140755723e-10,0.609133,2.278384,SCG,020443
233329,189,5035,2000,0.0,0.0,0.609133,2.278384,SCG,020450
239855,189,5036,2000,0.0,0.0,0.609133,2.278384,SCG,020500
246381,189,5037,2000,2.7479398682747245e-09,1.1558394518325472e-08,0.609133,2.278384,SCG,020610
252907,189,5038,2000,0.0,7.013122326310919e-10,0.609133,2.278384,SCG,020621
259433,189,5039,2000,0.0,8.300408106811468e-09,0.609133,2.278384,SCG,020622
265959,189,5040,2000,1.3615454155445895e-09,8.33554000504346e-08,0.609133,2.278384,SCG,020629
272485,189,5041,2000,0.0,0.0,0.609133,2.278384,SCG,020630
279011,189,5042,2000,0.0,3.638438354726306e-08,0.609133,2.278384,SCG,020641
285537,189,5043,2000,0.0,5.8800523217287286e-08,0.609133,2.278384,SCG,020649
292063,189,5044,2000,0.0,0.0,0.609133,2.278384,SCG,020680
298589,189,5045,2000,4.56070743466416e-10,3.95890092454247e-08,0.609133,2.278384,SCG,020690
305115,189,5046,2000,0.0,5.418001573377592e-08,0.609133,2.278384,SCG,020710
311641,189,5047,2000,6.509690150015824e-08,6.230430034322436e-07,0.609133,2.278384,SCG,020721
318167,189,5048,2000,0.0,1.5796096884308997e-09,0.609133,2.278384,SCG,020722
324693,189,5049,2000,0.0,3.049183620135182e-10,0.609133,2.278384,SCG,020723
331219,189,5050,2000,0.0,0.0,0.609133,2.278384,SCG,020731
337745,189,5051,2000,3.681900022004621e-09,4.222854167485476e-08,0.609133,2.278384,SCG,020739
344271,189,5052,2000,6.628359454428747e-08,1.9158332232331406e-06,0.609133,2.278384,SCG,020741
350797,189,5053,2000,0.0,1.7516267308968085e-07,0.609133,2.278384,SCG,020742
357323,189,5054,2000,0.0,3.049183620135182e-10,0.609133,2.278384,SCG,020743
363849,189,5055,2000,0.0,0.0,0.609133,2.278384,SCG,020750
370375,189,5056,2000,2.656119645503745e-09,0.0,0.609133,2.278384,SCG,020810
376901,189,5057,2000,4.2793678477975685e-08,0.0,0.609133,2.278384,SCG,020820
383427,189,5058,2000,2.7982743204273967e-08,3.928143941939367e-09,0.609133,2.278384,SCG,020890
389953,189,5059,2000,3.026339995864489e-08,8.252018888491931e-08,0.609133,2.278384,SCG,020900
396479,189,5060,2000,1.5173064535125214e-08,1.934236372112665e-07,0.609133,2.278384,SCG,021011
403005,189,5061,2000,3.6452325403039988e-09,5.3096892682623555e-08,0.609133,2.278384,SCG,021012
409531,189,5062,2000,1.1269674741426506e-07,2.647506707462722e-07,0.609133,2.278384,SCG,021019
416057,189,5063,2000,3.6925063183643048e-09,2.4255592832170994e-08,0.609133,2.278384,SCG,021020
422583,189,5064,2000,2.967641721439609e-09,8.073045067310084e-09,0.609133,2.278384,SCG,021090
429109,189,5065,2000,2.842487424395337e-10,5.4524043190047695e-09,0.609133,2.278384,SCG,030110
435635,189,5066,2000,0.0,4.6116250790527116e-08,0.609133,2.278384,SCG,030191
442161,189,5067,2000,0.0,0.0,0.609133,2.278384,SCG,030192
448687,189,5068,2000,1.3010895262943901e-08,2.5715853496513775e-07,0.609133,2.278384,SCG,030193
455213,189,5069,2000,1.8713749297026612e-08,1.826460988460974e-08,0.609133,2.278384,SCG,030199
461739,189,5070,2000,0.0,1.4182018163650482e-09,0.609133,2.278384,SCG,030211
468265,189,5071,2000,0.0,4.4478308893711024e-10,0.609133,2.278384,SCG,030212
474791,189,5072,2000,0.0,1.038379595856905e-09,0.609133,2.278384,SCG,030219
481317,189,5073,2000,0.0,0.0,0.609133,2.278384,SCG,030221
487843,189,5074,2000,0.0,0.0,0.609133,2.278384,SCG,030222
494369,189,5075,2000,0.0,6.293912711561642e-10,0.609133,2.278384,SCG,030223
500895,189,5076,2000,0.0,0.0,0.609133,2.278384,SCG,030229
507421,189,5077,2000,0.0,0.0,0.609133,2.278384,SCG,030231
513947,189,5078,2000,0.0,0.0,0.609133,2.278384,SCG,030232
520473,189,5079,2000,0.0,0.0,0.609133,2.278384,SCG,030233
526999,189,5080,2000,0.0,0.0,0.609133,2.278384,SCG,030239
533525,189,5081,2000,0.0,1.4549908796079835e-09,0.609133,2.278384,SCG,030240
540051,189,5082,2000,0.0,0.0,0.609133,2.278384,SCG,030250
546577,189,5083,2000,0.0,8.395197945437409e-09,0.609133,2.278384,SCG,030261
553103,189,5084,2000,0.0,0.0,0.609133,2.278384,SCG,030262
559629,189,5085,2000,0.0,0.0,0.609133,2.278384,SCG,030263
566155,189,5086,2000,0.0,6.847405825216615e-10,0.609133,2.278384,SCG,030264
572681,189,5087,2000,0.0,0.0,0.609133,2.278384,SCG,030265
579207,189,5088,2000,0.0,0.0,0.609133,2.278384,SCG,030266
585733,189,5089,2000,6.382869149257887e-09,3.71569538753647e-08,0.609133,2.278384,SCG,030269
592259,189,5090,2000,0.0,9.01829198955199e-10,0.609133,2.278384,SCG,030270
598785,189,5091,2000,0.0,5.595583375950248e-09,0.609133,2.278384,SCG,030310
605311,189,5092,2000,0.0,5.998937339613782e-10,0.609133,2.278384,SCG,030321
611837,189,5093,2000,0.0,0.0,0.609133,2.278384,SCG,030322
618363,189,5094,2000,0.0,3.457177645829357e-09,0.609133,2.278384,SCG,030329
624889,189,5095,2000,0.0,0.0,0.609133,2.278384,SCG,030331
631415,189,5096,2000,0.0,4.6002900703778614e-10,0.609133,2.278384,SCG,030332
637941,189,5097,2000,0.0,8.743202597735446e-10,0.609133,2.278384,SCG,030333
644467,189,5098,2000,0.0,2.4980105374955288e-09,0.609133,2.278384,SCG,030339
650993,189,5099,2000,0.0,1.745326189525203e-09,0.609133,2.278384,SCG,030341
657519,189,5100,2000,0.0,0.0,0.609133,2.278384,SCG,030342
664045,189,5101,2000,0.0,0.0,0.609133,2.278384,SCG,030343
670571,189,5102,2000,0.0,3.187391182047831e-09,0.609133,2.278384,SCG,030349
677097,189,5103,2000,0.0,1.3130381247706034e-08,0.609133,2.278384,SCG,030350
683623,189,5104,2000,0.0,5.7357795358760284e-09,0.609133,2.278384,SCG,030360
690149,189,5105,2000,0.0,2.154311199895922e-07,0.609133,2.278384,SCG,030371
696675,189,5106,2000,0.0,0.0,0.609133,2.278384,SCG,030372
703201,189,5107,2000,0.0,1.8496944419143953e-08,0.609133,2.278384,SCG,030373
709727,189,5108,2000,0.0,1.5220530332708264e-07,0.609133,2.278384,SCG,030374
716253,189,5109,2000,0.0,2.52154228065092e-09,0.609133,2.278384,SCG,030375
722779,189,5110,2000,0.0,0.0,0.609133,2.278384,SCG,030376
729305,189,5111,2000,0.0,0.0,0.609133,2.278384,SCG,030377
735831,189,5112,2000,0.0,3.0114068865457247e-07,0.609133,2.278384,SCG,030378
742357,189,5113,2000,0.0,3.338242912993975e-07,0.609133,2.278384,SCG,030379
748883,189,5114,2000,0.0,0.0,0.609133,2.278384,SCG,030380
755409,189,5115,2000,0.0,0.0,0.609133,2.278384,SCG,030410
761935,189,5116,2000,0.0,8.90540590900655e-08,0.609133,2.278384,SCG,030420
768461,189,5117,2000,0.0,2.026779094983768e-08,0.609133,2.278384,SCG,030490
774987,189,5118,2000,0.0,0.0,0.609133,2.278384,SCG,030510
781513,189,5119,2000,0.0,0.0,0.609133,2.278384,SCG,030520
788039,189,5120,2000,0.0,3.0700638992730642e-09,0.609133,2.278384,SCG,030530
794565,189,5121,2000,0.0,3.0531608161614454e-09,0.609133,2.278384,SCG,030541
801091,189,5122,2000,0.0,0.0,0.609133,2.278384,SCG,030542
807617,189,5123,2000,0.0,0.0,0.609133,2.278384,SCG,030549
814143,189,5124,2000,0.0,7.198724807536538e-09,0.609133,2.278384,SCG,030551
820669,189,5125,2000,0.0,2.5347996007384645e-09,0.609133,2.278384,SCG,030559
827195,189,5126,2000,0.0,0.0,0.609133,2.278384,SCG,030561
833721,189,5127,2000,0.0,0.0,0.609133,2.278384,SCG,030562
840247,189,5128,2000,0.0,0.0,0.609133,2.278384,SCG,030563
846773,189,5129,2000,0.0,0.0,0.609133,2.278384,SCG,030569
853299,189,5130,2000,0.0,0.0,0.609133,2.278384,SCG,030611
859825,189,5131,2000,0.0,0.0,0.609133,2.278384,SCG,030612
866351,189,5132,2000,0.0,1.7532805815777295e-08,0.609133,2.278384,SCG,030613
872877,189,5133,2000,0.0,6.019486185749476e-09,0.609133,2.278384,SCG,030614
879403,189,5134,2000,0.0,7.23998821630902e-08,0.609133,2.278384,SCG,030619
885929,189,5135,2000,0.0,0.0,0.609133,2.278384,SCG,030621
892455,189,5136,2000,0.0,0.0,0.609133,2.278384,SCG,030622
898981,189,5137,2000,0.0,0.0,0.609133,2.278384,SCG,030623
905507,189,5138,2000,1.409091926939859e-08,0.0,0.609133,2.278384,SCG,030624
912033,189,5139,2000,1.0954788954359428e-08,0.0,0.609133,2.278384,SCG,030629
918559,189,5140,2000,1.0533567470360545e-09,0.0,0.609133,2.278384,SCG,030710
925085,189,5141,2000,0.0,0.0,0.609133,2.278384,SCG,030721
931611,189,5142,2000,0.0,0.0,0.609133,2.278384,SCG,030729
938137,189,5143,2000,0.0,0.0,0.609133,2.278384,SCG,030731
