,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4953,190,5000,2008,1.7839487439949798e-08,2.765377540361078e-08,-2.095439,-1.263511,SDN,010111
11479,190,5001,2008,0.0,8.132040141699655e-09,-2.095439,-1.263511,SDN,010119
18005,190,5002,2008,0.0,0.0,-2.095439,-1.263511,SDN,010120
24531,190,5003,2008,4.3510967148929175e-08,6.777804894757008e-10,-2.095439,-1.263511,SDN,010210
31057,190,5004,2008,3.1644976122457346e-07,3.198437844010777e-07,-2.095439,-1.263511,SDN,010290
37583,190,5005,2008,0.0,0.0,-2.095439,-1.263511,SDN,010310
44109,190,5006,2008,0.0,6.28728405151787e-10,-2.095439,-1.263511,SDN,010391
50635,190,5007,2008,0.0,0.0,-2.095439,-1.263511,SDN,010392
57161,190,5008,2008,1.2866022042744742e-05,0.0,-2.095439,-1.263511,SDN,010410
63687,190,5009,2008,1.8287224664847889e-07,3.1991570536255263e-08,-2.095439,-1.263511,SDN,010420
70213,190,5010,2008,6.504993075913678e-09,1.0421532920198243e-06,-2.095439,-1.263511,SDN,010511
76739,190,5011,2008,2.894003720999517e-09,0.0,-2.095439,-1.263511,SDN,010519
83265,190,5012,2008,0.0,0.0,-2.095439,-1.263511,SDN,010591
89791,190,5013,2008,0.0,2.0929994088210515e-09,-2.095439,-1.263511,SDN,010599
96317,190,5014,2008,4.383046819009791e-06,4.985289274380191e-07,-2.095439,-1.263511,SDN,010600
102843,190,5015,2008,1.8907693001889407e-08,4.259908377130162e-09,-2.095439,-1.263511,SDN,020110
109369,190,5016,2008,0.0,1.4549577363077647e-08,-2.095439,-1.263511,SDN,020120
115895,190,5017,2008,8.206243012007007e-10,1.3246382798472045e-08,-2.095439,-1.263511,SDN,020130
122421,190,5018,2008,0.0,0.0,-2.095439,-1.263511,SDN,020210
128947,190,5019,2008,0.0,1.0461682714083371e-08,-2.095439,-1.263511,SDN,020220
135473,190,5020,2008,0.0,2.3836098081300875e-07,-2.095439,-1.263511,SDN,020230
141999,190,5021,2008,0.0,0.0,-2.095439,-1.263511,SDN,020311
148525,190,5022,2008,0.0,2.336934098431866e-09,-2.095439,-1.263511,SDN,020312
155051,190,5023,2008,0.0,6.858343114288839e-09,-2.095439,-1.263511,SDN,020319
161577,190,5024,2008,0.0,0.0,-2.095439,-1.263511,SDN,020321
168103,190,5025,2008,0.0,0.0,-2.095439,-1.263511,SDN,020322
174629,190,5026,2008,0.0,1.8877760938658663e-08,-2.095439,-1.263511,SDN,020329
181155,190,5027,2008,3.763629111381958e-08,1.7131771883129082e-09,-2.095439,-1.263511,SDN,020410
187681,190,5028,2008,8.554674999274572e-08,2.1808291544010322e-10,-2.095439,-1.263511,SDN,020421
194207,190,5029,2008,0.0,2.331962603399037e-09,-2.095439,-1.263511,SDN,020422
200733,190,5030,2008,0.0,5.344688593293472e-09,-2.095439,-1.263511,SDN,020423
207259,190,5031,2008,0.0,2.1301199050661757e-09,-2.095439,-1.263511,SDN,020430
213785,190,5032,2008,0.0,7.797856245592882e-08,-2.095439,-1.263511,SDN,020441
220311,190,5033,2008,0.0,1.4359666252823576e-08,-2.095439,-1.263511,SDN,020442
226837,190,5034,2008,0.0,6.883863455457362e-10,-2.095439,-1.263511,SDN,020443
233363,190,5035,2008,7.575925971202924e-10,5.271640759611103e-08,-2.095439,-1.263511,SDN,020450
239889,190,5036,2008,0.0,0.0,-2.095439,-1.263511,SDN,020500
246415,190,5037,2008,0.0,0.0,-2.095439,-1.263511,SDN,020610
252941,190,5038,2008,0.0,0.0,-2.095439,-1.263511,SDN,020621
259467,190,5039,2008,6.572873372615657e-10,3.92748107593499e-10,-2.095439,-1.263511,SDN,020622
265993,190,5040,2008,0.0,6.573642165408826e-09,-2.095439,-1.263511,SDN,020629
272519,190,5041,2008,0.0,3.672277664249763e-10,-2.095439,-1.263511,SDN,020630
279045,190,5042,2008,0.0,0.0,-2.095439,-1.263511,SDN,020641
285571,190,5043,2008,0.0,0.0,-2.095439,-1.263511,SDN,020649
292097,190,5044,2008,0.0,0.0,-2.095439,-1.263511,SDN,020680
298623,190,5045,2008,0.0,9.495555512703583e-10,-2.095439,-1.263511,SDN,020690
305149,190,5046,2008,0.0,9.130349487591958e-08,-2.095439,-1.263511,SDN,020710
311675,190,5047,2008,0.0,1.8709293543646194e-07,-2.095439,-1.263511,SDN,020721
318201,190,5048,2008,0.0,8.709396431512207e-09,-2.095439,-1.263511,SDN,020722
324727,190,5049,2008,0.0,3.92748107593499e-10,-2.095439,-1.263511,SDN,020723
331253,190,5050,2008,0.0,0.0,-2.095439,-1.263511,SDN,020731
337779,190,5051,2008,0.0,3.975870294254526e-09,-2.095439,-1.263511,SDN,020739
344305,190,5052,2008,0.0,5.607514964029037e-08,-2.095439,-1.263511,SDN,020741
350831,190,5053,2008,0.0,1.3065420379277066e-08,-2.095439,-1.263511,SDN,020742
357357,190,5054,2008,0.0,4.350389586727652e-09,-2.095439,-1.263511,SDN,020743
363883,190,5055,2008,0.0,0.0,-2.095439,-1.263511,SDN,020750
