,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4990,191,5000,2019,6.354686704645013e-10,6.570659268389129e-09,-0.721992,-0.385479,SEN,010111
11516,191,5001,2019,0.0,5.882902645547551e-08,-0.721992,-0.385479,SEN,010119
18042,191,5002,2019,0.0,0.0,-0.721992,-0.385479,SEN,010120
24568,191,5003,2019,2.9061252025534414e-10,7.721633283749546e-07,-0.721992,-0.385479,SEN,010210
31094,191,5004,2019,3.204919722857685e-09,4.485944358890784e-06,-0.721992,-0.385479,SEN,010290
37620,191,5005,2019,0.0,0.0,-0.721992,-0.385479,SEN,010310
44146,191,5006,2019,0.0,0.0,-0.721992,-0.385479,SEN,010391
50672,191,5007,2019,0.0,0.0,-0.721992,-0.385479,SEN,010392
57198,191,5008,2019,2.309445273061499e-09,2.3837625987440964e-06,-0.721992,-0.385479,SEN,010410
63724,191,5009,2019,1.0063860060145963e-09,5.337363923945104e-08,-0.721992,-0.385479,SEN,010420
70250,191,5010,2019,9.16808257331093e-09,3.2801095644100936e-07,-0.721992,-0.385479,SEN,010511
76776,191,5011,2019,0.0,3.3951996744200876e-09,-0.721992,-0.385479,SEN,010519
83302,191,5012,2019,0.0,1.321423379725975e-09,-0.721992,-0.385479,SEN,010591
89828,191,5013,2019,7.3353145623575185e-09,1.3051831626187333e-09,-0.721992,-0.385479,SEN,010599
96354,191,5014,2019,5.977041946832488e-08,1.9739685604150354e-07,-0.721992,-0.385479,SEN,010600
102880,191,5015,2019,0.0,2.5562433159800673e-08,-0.721992,-0.385479,SEN,020110
109406,191,5016,2019,0.0,1.0525980716507962e-07,-0.721992,-0.385479,SEN,020120
115932,191,5017,2019,1.2348759333060766e-08,8.44226143174819e-09,-0.721992,-0.385479,SEN,020130
122458,191,5018,2019,0.0,4.0013906354230495e-09,-0.721992,-0.385479,SEN,020210
128984,191,5019,2019,1.2421488222384314e-09,5.0015228628273885e-08,-0.721992,-0.385479,SEN,020220
135510,191,5020,2019,1.6094206222111837e-07,3.4106282121049693e-06,-0.721992,-0.385479,SEN,020230
142036,191,5021,2019,0.0,1.4235378877002848e-08,-0.721992,-0.385479,SEN,020311
148562,191,5022,2019,0.0,2.147354421179983e-09,-0.721992,-0.385479,SEN,020312
155088,191,5023,2019,5.533456329366615e-10,1.3887705657707e-08,-0.721992,-0.385479,SEN,020319
161614,191,5024,2019,0.0,4.1495411874013563e-10,-0.721992,-0.385479,SEN,020321
168140,191,5025,2019,0.0,1.1439078637537573e-08,-0.721992,-0.385479,SEN,020322
174666,191,5026,2019,4.045544468622361e-10,6.267563787887648e-08,-0.721992,-0.385479,SEN,020329
181192,191,5027,2019,0.0,4.650336453708341e-09,-0.721992,-0.385479,SEN,020410
187718,191,5028,2019,0.0,5.088822315603868e-09,-0.721992,-0.385479,SEN,020421
194244,191,5029,2019,0.0,4.249766527263191e-08,-0.721992,-0.385479,SEN,020422
200770,191,5030,2019,0.0,5.259841744733189e-09,-0.721992,-0.385479,SEN,020423
207296,191,5031,2019,0.0,6.958767313951987e-09,-0.721992,-0.385479,SEN,020430
213822,191,5032,2019,0.0,1.8798879884137775e-09,-0.721992,-0.385479,SEN,020441
220348,191,5033,2019,9.846885540330711e-09,1.8677376545535432e-07,-0.721992,-0.385479,SEN,020442
226874,191,5034,2019,4.083424098478376e-09,9.028566412619836e-09,-0.721992,-0.385479,SEN,020443
233400,191,5035,2019,0.0,0.0,-0.721992,-0.385479,SEN,020450
239926,191,5036,2019,0.0,0.0,-0.721992,-0.385479,SEN,020500
246452,191,5037,2019,0.0,0.0,-0.721992,-0.385479,SEN,020610
252978,191,5038,2019,0.0,0.0,-0.721992,-0.385479,SEN,020621
259504,191,5039,2019,3.1628248477912926e-07,2.335912953352123e-06,-0.721992,-0.385479,SEN,020622
266030,191,5040,2019,0.0,8.633266270909485e-08,-0.721992,-0.385479,SEN,020629
272556,191,5041,2019,0.0,0.0,-0.721992,-0.385479,SEN,020630
279082,191,5042,2019,0.0,5.640492547746804e-08,-0.721992,-0.385479,SEN,020641
285608,191,5043,2019,0.0,6.443720428550892e-09,-0.721992,-0.385479,SEN,020649
292134,191,5044,2019,0.0,8.288807951734866e-09,-0.721992,-0.385479,SEN,020680
298660,191,5045,2019,0.0,6.3131358256885814e-09,-0.721992,-0.385479,SEN,020690
305186,191,5046,2019,0.0,0.0,-0.721992,-0.385479,SEN,020710
311712,191,5047,2019,7.282283080559098e-09,3.537715865361188e-09,-0.721992,-0.385479,SEN,020721
318238,191,5048,2019,0.0,0.0,-0.721992,-0.385479,SEN,020722
324764,191,5049,2019,0.0,8.471427535940789e-10,-0.721992,-0.385479,SEN,020723
331290,191,5050,2019,0.0,7.284897388105576e-10,-0.721992,-0.385479,SEN,020731
337816,191,5051,2019,0.0,4.081265988950503e-09,-0.721992,-0.385479,SEN,020739
344342,191,5052,2019,3.235617374892999e-08,1.2822314272171724e-07,-0.721992,-0.385479,SEN,020741
350868,191,5053,2019,0.0,6.038709299876415e-10,-0.721992,-0.385479,SEN,020742
357394,191,5054,2019,0.0,3.0564751461833315e-09,-0.721992,-0.385479,SEN,020743
363920,191,5055,2019,0.0,0.0,-0.721992,-0.385479,SEN,020750
370446,191,5056,2019,0.0,2.2524186828737713e-09,-0.721992,-0.385479,SEN,020810
376972,191,5057,2019,0.0,0.0,-0.721992,-0.385479,SEN,020820
383498,191,5058,2019,0.0,3.9020933079673425e-08,-0.721992,-0.385479,SEN,020890
390024,191,5059,2019,0.0,0.0,-0.721992,-0.385479,SEN,020900
396550,191,5060,2019,0.0,1.2098298878890711e-08,-0.721992,-0.385479,SEN,021011
403076,191,5061,2019,4.228275803047776e-09,6.590545248520445e-09,-0.721992,-0.385479,SEN,021012
409602,191,5062,2019,0.0,2.3361718025268323e-08,-0.721992,-0.385479,SEN,021019
416128,191,5063,2019,3.0727955739199057e-10,9.540630401001233e-09,-0.721992,-0.385479,SEN,021020
422654,191,5064,2019,3.830388171040198e-10,4.25881464822294e-08,-0.721992,-0.385479,SEN,021090
429180,191,5065,2019,0.0,3.425691510621439e-09,-0.721992,-0.385479,SEN,030110
435706,191,5066,2019,0.0,3.2646150715577765e-10,-0.721992,-0.385479,SEN,030191
442232,191,5067,2019,0.0,0.0,-0.721992,-0.385479,SEN,030192
448758,191,5068,2019,0.0,0.0,-0.721992,-0.385479,SEN,030193
455284,191,5069,2019,0.0,1.047659719918186e-09,-0.721992,-0.385479,SEN,030199
461810,191,5070,2019,0.0,0.0,-0.721992,-0.385479,SEN,030211
468336,191,5071,2019,0.0,0.0,-0.721992,-0.385479,SEN,030212
474862,191,5072,2019,1.0537203914826722e-08,0.0,-0.721992,-0.385479,SEN,030219
481388,191,5073,2019,0.0,0.0,-0.721992,-0.385479,SEN,030221
487914,191,5074,2019,0.0,0.0,-0.721992,-0.385479,SEN,030222
494440,191,5075,2019,4.354057386762464e-07,0.0,-0.721992,-0.385479,SEN,030223
500966,191,5076,2019,2.971041797015485e-07,0.0,-0.721992,-0.385479,SEN,030229
507492,191,5077,2019,0.0,0.0,-0.721992,-0.385479,SEN,030231
514018,191,5078,2019,1.923739730015616e-08,0.0,-0.721992,-0.385479,SEN,030232
520544,191,5079,2019,0.0,0.0,-0.721992,-0.385479,SEN,030233
527070,191,5080,2019,4.618890546122998e-09,0.0,-0.721992,-0.385479,SEN,030239
533596,191,5081,2019,0.0,0.0,-0.721992,-0.385479,SEN,030240
540122,191,5082,2019,0.0,0.0,-0.721992,-0.385479,SEN,030250
