,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4996,192,5000,1999,14200.0,1951553.0,1.355833,0.594305,SGP,010111
11522,192,5001,1999,920482.0,4430141.0,1.355833,0.594305,SGP,010119
18048,192,5002,1999,0.0,6003.0,1.355833,0.594305,SGP,010120
24574,192,5003,1999,4450.0,4762.0,1.355833,0.594305,SGP,010210
31100,192,5004,1999,325890.0,17687.0,1.355833,0.594305,SGP,010290
37626,192,5005,1999,0.0,10201.0,1.355833,0.594305,SGP,010310
44152,192,5006,1999,,,1.355833,0.594305,SGP,010391
50678,192,5007,1999,0.0,45345568.0,1.355833,0.594305,SGP,010392
57204,192,5008,1999,509971.0,629491.0,1.355833,0.594305,SGP,010410
63730,192,5009,1999,648856.0,604418.0,1.355833,0.594305,SGP,010420
70256,192,5010,1999,1152352.0,511374.0,1.355833,0.594305,SGP,010511
76782,192,5011,1999,747973.0,178696.0,1.355833,0.594305,SGP,010519
83308,192,5012,1999,134698.0,65314272.0,1.355833,0.594305,SGP,010591
89834,192,5013,1999,0.0,29592195.0,1.355833,0.594305,SGP,010599
96360,192,5014,1999,1564683.0,2542701.0,1.355833,0.594305,SGP,010600
102886,192,5015,1999,1808.0,6180.0,1.355833,0.594305,SGP,020110
109412,192,5016,1999,59932.0,571104.0,1.355833,0.594305,SGP,020120
115938,192,5017,1999,26232.0,11028136.0,1.355833,0.594305,SGP,020130
122464,192,5018,1999,0.0,72339.0,1.355833,0.594305,SGP,020210
128990,192,5019,1999,210629.0,2239809.0,1.355833,0.594305,SGP,020220
135516,192,5020,1999,1104635.0,27730635.0,1.355833,0.594305,SGP,020230
142042,192,5021,1999,0.0,32840344.0,1.355833,0.594305,SGP,020311
148568,192,5022,1999,40045.0,162433.0,1.355833,0.594305,SGP,020312
155094,192,5023,1999,6835.0,2242244.0,1.355833,0.594305,SGP,020319
161620,192,5024,1999,33399.0,2817293.0,1.355833,0.594305,SGP,020321
168146,192,5025,1999,41796.0,821567.0,1.355833,0.594305,SGP,020322
174672,192,5026,1999,520836.0,16816910.0,1.355833,0.594305,SGP,020329
181198,192,5027,1999,27551.0,208111.0,1.355833,0.594305,SGP,020410
187724,192,5028,1999,0.0,2343518.0,1.355833,0.594305,SGP,020421
194250,192,5029,1999,243668.0,1573338.0,1.355833,0.594305,SGP,020422
200776,192,5030,1999,57713.0,857433.0,1.355833,0.594305,SGP,020423
207302,192,5031,1999,8711.0,245362.0,1.355833,0.594305,SGP,020430
213828,192,5032,1999,1098.0,2090483.0,1.355833,0.594305,SGP,020441
220354,192,5033,1999,240068.0,3313944.0,1.355833,0.594305,SGP,020442
226880,192,5034,1999,231095.0,6135302.0,1.355833,0.594305,SGP,020443
233406,192,5035,1999,41156.0,26550.0,1.355833,0.594305,SGP,020450
239932,192,5036,1999,,,1.355833,0.594305,SGP,020500
246458,192,5037,1999,19053.0,192668.0,1.355833,0.594305,SGP,020610
252984,192,5038,1999,2250.0,293654.0,1.355833,0.594305,SGP,020621
259510,192,5039,1999,8897.0,585891.0,1.355833,0.594305,SGP,020622
266036,192,5040,1999,107753.0,2483046.0,1.355833,0.594305,SGP,020629
272562,192,5041,1999,0.0,158101.0,1.355833,0.594305,SGP,020630
279088,192,5042,1999,0.0,231195.0,1.355833,0.594305,SGP,020641
285614,192,5043,1999,139226.0,792298.0,1.355833,0.594305,SGP,020649
292140,192,5044,1999,129008.0,15511.0,1.355833,0.594305,SGP,020680
298666,192,5045,1999,32783.0,437171.0,1.355833,0.594305,SGP,020690
305192,192,5046,1999,118391.0,463804.0,1.355833,0.594305,SGP,020710
311718,192,5047,1999,1446889.0,10557948.0,1.355833,0.594305,SGP,020721
318244,192,5048,1999,69855.0,213496.0,1.355833,0.594305,SGP,020722
324770,192,5049,1999,65814.0,2690091.0,1.355833,0.594305,SGP,020723
331296,192,5050,1999,0.0,42522.0,1.355833,0.594305,SGP,020731
337822,192,5051,1999,31418.0,3776794.0,1.355833,0.594305,SGP,020739
344348,192,5052,1999,2416243.0,58608330.0,1.355833,0.594305,SGP,020741
350874,192,5053,1999,72130.0,241874.0,1.355833,0.594305,SGP,020742
357400,192,5054,1999,36333.0,1730905.0,1.355833,0.594305,SGP,020743
363926,192,5055,1999,,,1.355833,0.594305,SGP,020750
370452,192,5056,1999,,,1.355833,0.594305,SGP,020810
376978,192,5057,1999,95118.0,1491269.0,1.355833,0.594305,SGP,020820
383504,192,5058,1999,36658.0,1096140.0,1.355833,0.594305,SGP,020890
390030,192,5059,1999,25349.0,120009.0,1.355833,0.594305,SGP,020900
396556,192,5060,1999,9455.0,665604.0,1.355833,0.594305,SGP,021011
403082,192,5061,1999,27581.0,920535.0,1.355833,0.594305,SGP,021012
409608,192,5062,1999,176736.0,781250.0,1.355833,0.594305,SGP,021019
416134,192,5063,1999,28241.0,132374.0,1.355833,0.594305,SGP,021020
422660,192,5064,1999,195519.0,1166233.0,1.355833,0.594305,SGP,021090
429186,192,5065,1999,45097242.0,7201859.0,1.355833,0.594305,SGP,030110
435712,192,5066,1999,0.0,60823.0,1.355833,0.594305,SGP,030191
442238,192,5067,1999,0.0,116282.0,1.355833,0.594305,SGP,030192
448764,192,5068,1999,7521.0,435753.0,1.355833,0.594305,SGP,030193
455290,192,5069,1999,1150733.0,7723629.0,1.355833,0.594305,SGP,030199
461816,192,5070,1999,22930.0,167360.0,1.355833,0.594305,SGP,030211
468342,192,5071,1999,189801.0,4055276.0,1.355833,0.594305,SGP,030212
474868,192,5072,1999,35864.0,4765505.0,1.355833,0.594305,SGP,030219
481394,192,5073,1999,0.0,11978.0,1.355833,0.594305,SGP,030221
487920,192,5074,1999,0.0,117403.0,1.355833,0.594305,SGP,030222
494446,192,5075,1999,0.0,55147.0,1.355833,0.594305,SGP,030223
500972,192,5076,1999,38197.0,1026493.0,1.355833,0.594305,SGP,030229
507498,192,5077,1999,0.0,13792.0,1.355833,0.594305,SGP,030231
514024,192,5078,1999,28973253.0,10025907.0,1.355833,0.594305,SGP,030232
520550,192,5079,1999,0.0,146799.0,1.355833,0.594305,SGP,030233
527076,192,5080,1999,22059337.0,1957202.0,1.355833,0.594305,SGP,030239
533602,192,5081,1999,7971.0,65404.0,1.355833,0.594305,SGP,030240
540128,192,5082,1999,0.0,111655.0,1.355833,0.594305,SGP,030250
546654,192,5083,1999,8561.0,212214.0,1.355833,0.594305,SGP,030261
553180,192,5084,1999,0.0,2050.0,1.355833,0.594305,SGP,030262
559706,192,5085,1999,0.0,54536.0,1.355833,0.594305,SGP,030263
566232,192,5086,1999,34025.0,1347406.0,1.355833,0.594305,SGP,030264
572758,192,5087,1999,204813.0,153870.0,1.355833,0.594305,SGP,030265
579284,192,5088,1999,3998.0,251637.0,1.355833,0.594305,SGP,030266
585810,192,5089,1999,3268845.0,31304115.0,1.355833,0.594305,SGP,030269
592336,192,5090,1999,28133.0,27321.0,1.355833,0.594305,SGP,030270
598862,192,5091,1999,132099.0,181884.0,1.355833,0.594305,SGP,030310
605388,192,5092,1999,31475.0,976820.0,1.355833,0.594305,SGP,030321
611914,192,5093,1999,178707.0,2552550.0,1.355833,0.594305,SGP,030322
618440,192,5094,1999,556621.0,1464790.0,1.355833,0.594305,SGP,030329
624966,192,5095,1999,75131.0,366610.0,1.355833,0.594305,SGP,030331
631492,192,5096,1999,0.0,287319.0,1.355833,0.594305,SGP,030332
638018,192,5097,1999,131740.0,142873.0,1.355833,0.594305,SGP,030333
644544,192,5098,1999,184444.0,1218427.0,1.355833,0.594305,SGP,030339
651070,192,5099,1999,10613438.0,6731158.0,1.355833,0.594305,SGP,030341
657596,192,5100,1999,9026639.0,5499017.0,1.355833,0.594305,SGP,030342
664122,192,5101,1999,9548551.0,304330.0,1.355833,0.594305,SGP,030343
670648,192,5102,1999,23660044.0,32570350.0,1.355833,0.594305,SGP,030349
677174,192,5103,1999,46002.0,111042.0,1.355833,0.594305,SGP,030350
683700,192,5104,1999,294881.0,691393.0,1.355833,0.594305,SGP,030360
