,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5054,194,5000,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010111
11580,194,5001,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010119
18106,194,5002,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010120
24632,194,5003,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010210
31158,194,5004,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010290
37684,194,5005,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010310
44210,194,5006,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010391
50736,194,5007,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010392
57262,194,5008,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010410
63788,194,5009,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010420
70314,194,5010,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010511
76840,194,5011,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,010519
83366,194,5012,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010591
89892,194,5013,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,010599
96418,194,5014,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,010600
102944,194,5015,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020110
109470,194,5016,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020120
115996,194,5017,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020130
122522,194,5018,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020210
129048,194,5019,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020220
135574,194,5020,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020230
142100,194,5021,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020311
148626,194,5022,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020312
155152,194,5023,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020319
161678,194,5024,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020321
168204,194,5025,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020322
174730,194,5026,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020329
181256,194,5027,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020410
187782,194,5028,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020421
194308,194,5029,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020422
200834,194,5030,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020423
207360,194,5031,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020430
213886,194,5032,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020441
220412,194,5033,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020442
226938,194,5034,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020443
233464,194,5035,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020450
239990,194,5036,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020500
246516,194,5037,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020610
253042,194,5038,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020621
259568,194,5039,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020622
266094,194,5040,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020629
272620,194,5041,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020630
279146,194,5042,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020641
285672,194,5043,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020649
292198,194,5044,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020680
298724,194,5045,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020690
305250,194,5046,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020710
311776,194,5047,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020721
318302,194,5048,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020722
324828,194,5049,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020723
331354,194,5050,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020731
337880,194,5051,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020739
344406,194,5052,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020741
350932,194,5053,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020742
357458,194,5054,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020743
363984,194,5055,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020750
370510,194,5056,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020810
377036,194,5057,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020820
383562,194,5058,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,020890
390088,194,5059,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,020900
396614,194,5060,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,021011
403140,194,5061,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,021012
409666,194,5062,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,021019
416192,194,5063,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,021020
422718,194,5064,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,021090
429244,194,5065,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030110
435770,194,5066,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030191
442296,194,5067,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030192
448822,194,5068,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030193
455348,194,5069,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030199
461874,194,5070,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030211
468400,194,5071,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030212
474926,194,5072,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,030219
481452,194,5073,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030221
487978,194,5074,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030222
494504,194,5075,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030223
501030,194,5076,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,030229
507556,194,5077,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030231
514082,194,5078,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030232
520608,194,5079,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030233
527134,194,5080,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030239
533660,194,5081,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030240
540186,194,5082,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030250
546712,194,5083,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030261
553238,194,5084,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030262
559764,194,5085,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030263
566290,194,5086,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030264
572816,194,5087,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030265
579342,194,5088,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030266
585868,194,5089,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030269
592394,194,5090,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030270
598920,194,5091,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030310
605446,194,5092,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030321
611972,194,5093,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030322
618498,194,5094,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030329
625024,194,5095,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030331
631550,194,5096,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030332
638076,194,5097,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030333
644602,194,5098,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030339
651128,194,5099,2005,1.0,0.0,1.225797,-0.014991999999999998,SHN,030341
657654,194,5100,2005,1.0,0.0,1.225797,-0.014991999999999998,SHN,030342
664180,194,5101,2005,1.0,0.0,1.225797,-0.014991999999999998,SHN,030343
670706,194,5102,2005,1.0,0.0,1.225797,-0.014991999999999998,SHN,030349
677232,194,5103,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030350
683758,194,5104,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030360
690284,194,5105,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030371
696810,194,5106,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030372
703336,194,5107,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030373
709862,194,5108,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030374
716388,194,5109,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030375
722914,194,5110,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030376
729440,194,5111,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030377
735966,194,5112,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030378
742492,194,5113,2005,1.0,0.0,1.225797,-0.014991999999999998,SHN,030379
749018,194,5114,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030380
755544,194,5115,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,030410
762070,194,5116,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,030420
768596,194,5117,2005,0.2922013899749743,0.9563568098239762,1.225797,-0.014991999999999998,SHN,030490
775122,194,5118,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030510
781648,194,5119,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030520
788174,194,5120,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030530
794700,194,5121,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030541
801226,194,5122,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030542
807752,194,5123,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030549
814278,194,5124,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030551
820804,194,5125,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030559
827330,194,5126,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030561
833856,194,5127,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030562
840382,194,5128,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030563
846908,194,5129,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030569
853434,194,5130,2005,1.0,0.0,1.225797,-0.014991999999999998,SHN,030611
859960,194,5131,2005,1.0,0.0,1.225797,-0.014991999999999998,SHN,030612
866486,194,5132,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030613
873012,194,5133,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030614
879538,194,5134,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030619
886064,194,5135,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030621
892590,194,5136,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030622
899116,194,5137,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030623
905642,194,5138,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030624
912168,194,5139,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030629
918694,194,5140,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030710
925220,194,5141,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030721
931746,194,5142,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030729
938272,194,5143,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030731
944798,194,5144,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030739
951324,194,5145,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030741
957850,194,5146,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030749
964376,194,5147,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030751
970902,194,5148,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,030759
977428,194,5149,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030760
983954,194,5150,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030791
990480,194,5151,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,030799
997006,194,5152,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040110
1003532,194,5153,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040120
1010058,194,5154,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040130
1016584,194,5155,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040210
1023110,194,5156,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040221
1029636,194,5157,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040229
1036162,194,5158,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040291
1042688,194,5159,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040299
1049214,194,5160,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040310
1055740,194,5161,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040390
1062266,194,5162,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,040410
1068792,194,5163,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,040490
1075318,194,5164,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040500
1081844,194,5165,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,040610
1088370,194,5166,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040620
1094896,194,5167,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040630
1101422,194,5168,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,040640
1107948,194,5169,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,040690
1114474,194,5170,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,040700
1121000,194,5171,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,040811
1127526,194,5172,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,040819
1134052,194,5173,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,040891
1140578,194,5174,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,040899
1147104,194,5175,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,040900
1153630,194,5176,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,041000
1160156,194,5177,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,050100
1166682,194,5178,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,050210
1173208,194,5179,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,050290
1179734,194,5180,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,050300
1186260,194,5181,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,050400
1192786,194,5182,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,050510
1199312,194,5183,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,050590
1205838,194,5184,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,050610
1212364,194,5185,2005,0.0,1.0,1.225797,-0.014991999999999998,SHN,050690
1218890,194,5186,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,050710
1225416,194,5187,2005,0.0,0.0,1.225797,-0.014991999999999998,SHN,050790
