,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5113,196,5000,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010111
11639,196,5001,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010119
18165,196,5002,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010120
24691,196,5003,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010210
31217,196,5004,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010290
37743,196,5005,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010310
44269,196,5006,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010391
50795,196,5007,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010392
57321,196,5008,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010410
63847,196,5009,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010420
70373,196,5010,2012,0.0,1.5409314570754894e-08,-0.6198279999999999,-0.627216,SLE,010511
76899,196,5011,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010519
83425,196,5012,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010591
89951,196,5013,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,010599
96477,196,5014,2012,0.0,5.9398428353235534e-08,-0.6198279999999999,-0.627216,SLE,010600
103003,196,5015,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020110
109529,196,5016,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020120
116055,196,5017,2012,8.548674865905379e-10,0.0,-0.6198279999999999,-0.627216,SLE,020130
122581,196,5018,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020210
129107,196,5019,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020220
135633,196,5020,2012,0.0,6.335563896946684e-07,-0.6198279999999999,-0.627216,SLE,020230
142159,196,5021,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020311
148685,196,5022,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020312
155211,196,5023,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020319
161737,196,5024,2012,0.0,3.5609161755143907e-09,-0.6198279999999999,-0.627216,SLE,020321
168263,196,5025,2012,0.0,1.0356287019387395e-08,-0.6198279999999999,-0.627216,SLE,020322
174789,196,5026,2012,0.0,6.822879783054659e-08,-0.6198279999999999,-0.627216,SLE,020329
181315,196,5027,2012,0.0,2.828217237576038e-08,-0.6198279999999999,-0.627216,SLE,020410
187841,196,5028,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020421
194367,196,5029,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020422
200893,196,5030,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020423
207419,196,5031,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020430
213945,196,5032,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020441
220471,196,5033,2012,0.0,6.456513742435373e-08,-0.6198279999999999,-0.627216,SLE,020442
226997,196,5034,2012,0.0,3.599461833668926e-08,-0.6198279999999999,-0.627216,SLE,020443
233523,196,5035,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020450
240049,196,5036,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020500
246575,196,5037,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020610
253101,196,5038,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020621
259627,196,5039,2012,0.0,3.8592058774841366e-09,-0.6198279999999999,-0.627216,SLE,020622
266153,196,5040,2012,0.0,2.7042745520775865e-07,-0.6198279999999999,-0.627216,SLE,020629
272679,196,5041,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020630
279205,196,5042,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020641
285731,196,5043,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020649
292257,196,5044,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020680
298783,196,5045,2012,0.0,2.6787078102887575e-08,-0.6198279999999999,-0.627216,SLE,020690
305309,196,5046,2012,0.0,4.282114388276799e-10,-0.6198279999999999,-0.627216,SLE,020710
311835,196,5047,2012,0.0,2.723133089902118e-07,-0.6198279999999999,-0.627216,SLE,020721
318361,196,5048,2012,0.0,3.5410301953830742e-09,-0.6198279999999999,-0.627216,SLE,020722
324887,196,5049,2012,0.0,6.744661594538147e-10,-0.6198279999999999,-0.627216,SLE,020723
331413,196,5050,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020731
337939,196,5051,2012,0.0,2.601682780580125e-08,-0.6198279999999999,-0.627216,SLE,020739
344465,196,5052,2012,4.373521455767678e-08,6.633249396553441e-06,-0.6198279999999999,-0.627216,SLE,020741
350991,196,5053,2012,0.0,3.082525780155356e-08,-0.6198279999999999,-0.627216,SLE,020742
357517,196,5054,2012,1.6802100744861037e-07,9.942990065658202e-10,-0.6198279999999999,-0.627216,SLE,020743
364043,196,5055,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020750
370569,196,5056,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020810
377095,196,5057,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020820
383621,196,5058,2012,8.654434792463371e-09,0.0,-0.6198279999999999,-0.627216,SLE,020890
390147,196,5059,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,020900
396673,196,5060,2012,0.0,2.260373074926298e-09,-0.6198279999999999,-0.627216,SLE,021011
403199,196,5061,2012,0.0,2.200184841728847e-08,-0.6198279999999999,-0.627216,SLE,021012
409725,196,5062,2012,0.0,7.382139830947713e-08,-0.6198279999999999,-0.627216,SLE,021019
416251,196,5063,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,021020
422777,196,5064,2012,0.0,1.2640158694168864e-07,-0.6198279999999999,-0.627216,SLE,021090
429303,196,5065,2012,4.878896325454683e-10,6.035394969854529e-10,-0.6198279999999999,-0.627216,SLE,030110
435829,196,5066,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030191
442355,196,5067,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030192
448881,196,5068,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030193
455407,196,5069,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030199
461933,196,5070,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030211
468459,196,5071,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030212
474985,196,5072,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030219
481511,196,5073,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030221
488037,196,5074,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030222
494563,196,5075,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030223
501089,196,5076,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030229
507615,196,5077,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030231
514141,196,5078,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030232
520667,196,5079,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030233
527193,196,5080,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030239
533719,196,5081,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030240
540245,196,5082,2012,0.0,0.0,-0.6198279999999999,-0.627216,SLE,030250
