,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5127,197,5000,2000,1.0766905990273596e-09,1.1562040281349546e-08,-0.265907,-0.141049,SLV,010111
11653,197,5001,2000,5.975890406084866e-09,1.0383133092564672e-08,-0.265907,-0.141049,SLV,010119
18179,197,5002,2000,0.0,0.0,-0.265907,-0.141049,SLV,010120
24705,197,5003,2000,0.0,1.814628830282841e-08,-0.265907,-0.141049,SLV,010210
31231,197,5004,2000,7.912297084324333e-10,3.838163527608184e-06,-0.265907,-0.141049,SLV,010290
37757,197,5005,2000,3.0152185365387636e-10,9.301667206423249e-09,-0.265907,-0.141049,SLV,010310
44283,197,5006,2000,0.0,0.0,-0.265907,-0.141049,SLV,010391
50809,197,5007,2000,0.0,1.2286221391131653e-09,-0.265907,-0.141049,SLV,010392
57335,197,5008,2000,4.260094692126828e-09,6.824205515063413e-10,-0.265907,-0.141049,SLV,010410
63861,197,5009,2000,0.0,6.383399622152566e-10,-0.265907,-0.141049,SLV,010420
70387,197,5010,2000,9.604122568509485e-07,6.28197780915283e-07,-0.265907,-0.141049,SLV,010511
76913,197,5011,2000,2.7476368312358765e-09,2.5191228197349432e-08,-0.265907,-0.141049,SLV,010519
83439,197,5012,2000,4.785560917489463e-09,1.6369475978095286e-09,-0.265907,-0.141049,SLV,010591
89965,197,5013,2000,0.0,0.0,-0.265907,-0.141049,SLV,010599
96491,197,5014,2000,2.2454771845310502e-07,6.0986986732725524e-09,-0.265907,-0.141049,SLV,010600
103017,197,5015,2000,1.7794334921161426e-09,1.8271560034665636e-06,-0.265907,-0.141049,SLV,020110
109543,197,5016,2000,0.0,2.1006223678713894e-09,-0.265907,-0.141049,SLV,020120
116069,197,5017,2000,0.0,5.716540844397986e-06,-0.265907,-0.141049,SLV,020130
122595,197,5018,2000,0.0,1.7916605232311704e-08,-0.265907,-0.141049,SLV,020210
129121,197,5019,2000,0.0,3.5281043082977188e-09,-0.265907,-0.141049,SLV,020220
135647,197,5020,2000,1.4960635570892686e-08,1.2787835296954043e-06,-0.265907,-0.141049,SLV,020230
142173,197,5021,2000,0.0,9.217151790865153e-10,-0.265907,-0.141049,SLV,020311
