,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5162,198,5000,2009,0.0,0.0,1.221869,0.351498,SMR,010111
11688,198,5001,2009,0.0,0.0,1.221869,0.351498,SMR,010119
18214,198,5002,2009,0.0,0.0,1.221869,0.351498,SMR,010120
24740,198,5003,2009,0.0,0.0,1.221869,0.351498,SMR,010210
31266,198,5004,2009,0.0,0.0,1.221869,0.351498,SMR,010290
37792,198,5005,2009,0.0,0.0,1.221869,0.351498,SMR,010310
44318,198,5006,2009,0.0,0.0,1.221869,0.351498,SMR,010391
50844,198,5007,2009,0.0,0.0,1.221869,0.351498,SMR,010392
57370,198,5008,2009,0.0,0.0,1.221869,0.351498,SMR,010410
63896,198,5009,2009,0.0,0.0,1.221869,0.351498,SMR,010420
70422,198,5010,2009,0.0,0.0,1.221869,0.351498,SMR,010511
76948,198,5011,2009,0.0,0.0,1.221869,0.351498,SMR,010519
83474,198,5012,2009,0.0,0.0,1.221869,0.351498,SMR,010591
90000,198,5013,2009,0.0,0.0,1.221869,0.351498,SMR,010599
96526,198,5014,2009,1.0,0.0,1.221869,0.351498,SMR,010600
103052,198,5015,2009,0.0,0.0,1.221869,0.351498,SMR,020110
109578,198,5016,2009,0.0,0.0,1.221869,0.351498,SMR,020120
116104,198,5017,2009,0.0,0.0,1.221869,0.351498,SMR,020130
122630,198,5018,2009,0.0,0.0,1.221869,0.351498,SMR,020210
129156,198,5019,2009,0.0,0.0,1.221869,0.351498,SMR,020220
135682,198,5020,2009,0.0,1.0,1.221869,0.351498,SMR,020230
142208,198,5021,2009,0.0,0.0,1.221869,0.351498,SMR,020311
148734,198,5022,2009,0.0,0.0,1.221869,0.351498,SMR,020312
155260,198,5023,2009,0.0,0.0,1.221869,0.351498,SMR,020319
161786,198,5024,2009,0.0,0.0,1.221869,0.351498,SMR,020321
168312,198,5025,2009,0.0,0.0,1.221869,0.351498,SMR,020322
174838,198,5026,2009,0.0,0.0,1.221869,0.351498,SMR,020329
181364,198,5027,2009,0.0,0.0,1.221869,0.351498,SMR,020410
187890,198,5028,2009,0.0,0.0,1.221869,0.351498,SMR,020421
194416,198,5029,2009,0.0,0.0,1.221869,0.351498,SMR,020422
200942,198,5030,2009,0.0,0.0,1.221869,0.351498,SMR,020423
207468,198,5031,2009,0.0,0.0,1.221869,0.351498,SMR,020430
213994,198,5032,2009,0.0,0.0,1.221869,0.351498,SMR,020441
220520,198,5033,2009,0.0,0.0,1.221869,0.351498,SMR,020442
227046,198,5034,2009,0.0,0.0,1.221869,0.351498,SMR,020443
233572,198,5035,2009,0.0,0.0,1.221869,0.351498,SMR,020450
240098,198,5036,2009,0.0,0.0,1.221869,0.351498,SMR,020500
246624,198,5037,2009,0.0,0.0,1.221869,0.351498,SMR,020610
253150,198,5038,2009,0.0,0.0,1.221869,0.351498,SMR,020621
259676,198,5039,2009,0.0,0.0,1.221869,0.351498,SMR,020622
266202,198,5040,2009,0.0,0.0,1.221869,0.351498,SMR,020629
272728,198,5041,2009,1.0,0.0,1.221869,0.351498,SMR,020630
279254,198,5042,2009,0.0,0.0,1.221869,0.351498,SMR,020641
285780,198,5043,2009,0.0,0.0,1.221869,0.351498,SMR,020649
292306,198,5044,2009,0.0,0.0,1.221869,0.351498,SMR,020680
