,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5238,201,5000,2007,0.08979144022074471,0.99596059021584,0.579288,1.464123,SRB,010111
11764,201,5001,2007,0.28939605812850494,0.9572094449699516,0.579288,1.464123,SRB,010119
18290,201,5002,2007,0.0,0.0,0.579288,1.464123,SRB,010120
24816,201,5003,2007,0.017391013088963733,0.9998487648958414,0.579288,1.464123,SRB,010210
31342,201,5004,2007,0.9922123077729024,0.12455816434088617,0.579288,1.464123,SRB,010290
37868,201,5005,2007,0.0,1.0,0.579288,1.464123,SRB,010310
44394,201,5006,2007,1.0,0.0,0.579288,1.464123,SRB,010391
50920,201,5007,2007,0.867851137283218,0.4968243185636397,0.579288,1.464123,SRB,010392
57446,201,5008,2007,0.6824026165613988,0.7309765173452268,0.579288,1.464123,SRB,010410
63972,201,5009,2007,0.04488502623537949,0.9989921593385253,0.579288,1.464123,SRB,010420
70498,201,5010,2007,0.16082269674974622,0.9869833130353012,0.579288,1.464123,SRB,010511
77024,201,5011,2007,0.010502938658680634,0.9999448426185976,0.579288,1.464123,SRB,010519
83550,201,5012,2007,0.555153725270125,0.8317477630379914,0.579288,1.464123,SRB,010591
90076,201,5013,2007,1.0,0.0,0.579288,1.464123,SRB,010599
96602,201,5014,2007,0.7784103011024378,0.6277558467570112,0.579288,1.464123,SRB,010600
103128,201,5015,2007,1.0,0.0,0.579288,1.464123,SRB,020110
109654,201,5016,2007,0.9973154199403178,0.07322535864895068,0.579288,1.464123,SRB,020120
116180,201,5017,2007,0.9955922637687458,0.09378722900173646,0.579288,1.464123,SRB,020130
122706,201,5018,2007,0.9946625709718133,0.10318124784931819,0.579288,1.464123,SRB,020210
129232,201,5019,2007,1.0,0.0,0.579288,1.464123,SRB,020220
135758,201,5020,2007,0.0762176759538576,0.9970912023843118,0.579288,1.464123,SRB,020230
142284,201,5021,2007,0.9999945283694973,0.003308055481222385,0.579288,1.464123,SRB,020311
148810,201,5022,2007,0.3743829346403476,0.9272741872014346,0.579288,1.464123,SRB,020312
155336,201,5023,2007,0.6824294878240151,0.7309514307724231,0.579288,1.464123,SRB,020319
161862,201,5024,2007,1.0,0.0,0.579288,1.464123,SRB,020321
168388,201,5025,2007,0.08190934437654501,0.9966397841265441,0.579288,1.464123,SRB,020322
174914,201,5026,2007,0.058044830115616196,0.9983139775125105,0.579288,1.464123,SRB,020329
