,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5285,203,5000,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,010111
11811,203,5001,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,010119
18337,203,5002,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,010120
24863,203,5003,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,010210
31389,203,5004,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,010290
37915,203,5005,2002,0.0,1.0,0.47539499999999996,-0.297348,STP,010310
44441,203,5006,2002,0.0,1.0,0.47539499999999996,-0.297348,STP,010391
50967,203,5007,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,010392
57493,203,5008,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,010410
64019,203,5009,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,010420
70545,203,5010,2002,0.0,1.0,0.47539499999999996,-0.297348,STP,010511
77071,203,5011,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,010519
83597,203,5012,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,010591
90123,203,5013,2002,0.0,1.0,0.47539499999999996,-0.297348,STP,010599
96649,203,5014,2002,0.0,1.0,0.47539499999999996,-0.297348,STP,010600
103175,203,5015,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020110
109701,203,5016,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020120
116227,203,5017,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020130
122753,203,5018,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020210
129279,203,5019,2002,0.0,1.0,0.47539499999999996,-0.297348,STP,020220
135805,203,5020,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020230
142331,203,5021,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020311
148857,203,5022,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020312
155383,203,5023,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020319
161909,203,5024,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020321
168435,203,5025,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020322
174961,203,5026,2002,0.0,1.0,0.47539499999999996,-0.297348,STP,020329
181487,203,5027,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020410
188013,203,5028,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020421
194539,203,5029,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020422
201065,203,5030,2002,0.0,0.0,0.47539499999999996,-0.297348,STP,020423
