,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5305,204,5000,1996,0.0,0.0,,,SUN,010111
11831,204,5001,1996,0.0,0.0,,,SUN,010119
18357,204,5002,1996,0.0,0.0,,,SUN,010120
24883,204,5003,1996,0.0,0.0,,,SUN,010210
31409,204,5004,1996,0.0,0.0,,,SUN,010290
37935,204,5005,1996,0.0,0.0,,,SUN,010310
44461,204,5006,1996,0.0,0.0,,,SUN,010391
50987,204,5007,1996,0.0,0.0,,,SUN,010392
57513,204,5008,1996,0.0,0.0,,,SUN,010410
64039,204,5009,1996,0.0,0.0,,,SUN,010420
70565,204,5010,1996,0.0,0.0,,,SUN,010511
77091,204,5011,1996,0.0,0.0,,,SUN,010519
83617,204,5012,1996,0.0,0.0,,,SUN,010591
90143,204,5013,1996,0.0,0.0,,,SUN,010599
96669,204,5014,1996,0.0,0.0,,,SUN,010600
103195,204,5015,1996,0.0,0.0,,,SUN,020110
109721,204,5016,1996,0.0,0.0,,,SUN,020120
116247,204,5017,1996,0.0,0.0,,,SUN,020130
122773,204,5018,1996,0.0,0.0,,,SUN,020210
129299,204,5019,1996,0.0,0.0,,,SUN,020220
135825,204,5020,1996,0.0,0.0,,,SUN,020230
142351,204,5021,1996,0.0,0.0,,,SUN,020311
148877,204,5022,1996,0.0,0.0,,,SUN,020312
155403,204,5023,1996,0.0,0.0,,,SUN,020319
161929,204,5024,1996,0.0,0.0,,,SUN,020321
168455,204,5025,1996,0.0,0.0,,,SUN,020322
174981,204,5026,1996,0.0,0.0,,,SUN,020329
181507,204,5027,1996,0.0,0.0,,,SUN,020410
188033,204,5028,1996,0.0,0.0,,,SUN,020421
194559,204,5029,1996,0.0,0.0,,,SUN,020422
201085,204,5030,1996,0.0,0.0,,,SUN,020423
207611,204,5031,1996,0.0,0.0,,,SUN,020430
214137,204,5032,1996,0.0,0.0,,,SUN,020441
220663,204,5033,1996,0.0,0.0,,,SUN,020442
227189,204,5034,1996,0.0,0.0,,,SUN,020443
233715,204,5035,1996,0.0,0.0,,,SUN,020450
240241,204,5036,1996,0.0,0.0,,,SUN,020500
246767,204,5037,1996,0.0,0.0,,,SUN,020610
253293,204,5038,1996,0.0,0.0,,,SUN,020621
259819,204,5039,1996,0.0,0.0,,,SUN,020622
266345,204,5040,1996,0.0,0.0,,,SUN,020629
272871,204,5041,1996,0.0,0.0,,,SUN,020630
279397,204,5042,1996,0.0,0.0,,,SUN,020641
285923,204,5043,1996,0.0,0.0,,,SUN,020649
292449,204,5044,1996,0.0,0.0,,,SUN,020680
298975,204,5045,1996,0.0,0.0,,,SUN,020690
305501,204,5046,1996,0.0,0.0,,,SUN,020710
312027,204,5047,1996,0.0,0.0,,,SUN,020721
318553,204,5048,1996,0.0,0.0,,,SUN,020722
