,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5362,206,5000,2001,6.130015044043019e-08,7.333750612628177e-08,1.1732770000000001,1.088576,SVK,010111
11888,206,5001,2001,8.979623838851286e-08,3.400535745755324e-08,1.1732770000000001,1.088576,SVK,010119
18414,206,5002,2001,0.0,0.0,1.1732770000000001,1.088576,SVK,010120
24940,206,5003,2001,4.715862398554396e-09,2.2860061033155647e-07,1.1732770000000001,1.088576,SVK,010210
31466,206,5004,2001,2.0521759181906134e-06,3.9256250511227335e-08,1.1732770000000001,1.088576,SVK,010290
37992,206,5005,2001,0.0,1.220276656118056e-07,1.1732770000000001,1.088576,SVK,010310
44518,206,5006,2001,0.0,5.981371390497786e-09,1.1732770000000001,1.088576,SVK,010391
51044,206,5007,2001,0.0,9.063622081261325e-07,1.1732770000000001,1.088576,SVK,010392
57570,206,5008,2001,3.744440806082095e-07,1.218414002645756e-08,1.1732770000000001,1.088576,SVK,010410
64096,206,5009,2001,1.1333585252919574e-09,0.0,1.1732770000000001,1.088576,SVK,010420
70622,206,5010,2001,2.2526015853143695e-07,2.4134477270181215e-06,1.1732770000000001,1.088576,SVK,010511
77148,206,5011,2001,3.2187715459034323e-07,3.04621066610555e-07,1.1732770000000001,1.088576,SVK,010519
83674,206,5012,2001,0.0,2.4117219553757253e-07,1.1732770000000001,1.088576,SVK,010591
90200,206,5013,2001,2.2671716061421868e-08,2.5433671438450397e-07,1.1732770000000001,1.088576,SVK,010599
96726,206,5014,2001,1.5766292872744678e-06,1.1727392206141442e-07,1.1732770000000001,1.088576,SVK,010600
103252,206,5015,2001,0.0,0.0,1.1732770000000001,1.088576,SVK,020110
109778,206,5016,2001,7.391073377505572e-09,1.2664088156926882e-07,1.1732770000000001,1.088576,SVK,020120
116304,206,5017,2001,0.0,1.4511131134823768e-08,1.1732770000000001,1.088576,SVK,020130
122830,206,5018,2001,0.0,0.0,1.1732770000000001,1.088576,SVK,020210
129356,206,5019,2001,0.0,9.064692609858394e-10,1.1732770000000001,1.088576,SVK,020220
135882,206,5020,2001,4.300428921997513e-08,7.556559762679489e-07,1.1732770000000001,1.088576,SVK,020230
142408,206,5021,2001,2.5993850510906006e-07,2.04207141370475e-07,1.1732770000000001,1.088576,SVK,020311
148934,206,5022,2001,0.0,1.0526444722711025e-07,1.1732770000000001,1.088576,SVK,020312
155460,206,5023,2001,2.2167159391739752e-09,1.5994098274146492e-06,1.1732770000000001,1.088576,SVK,020319
161986,206,5024,2001,0.0,1.797129167767282e-08,1.1732770000000001,1.088576,SVK,020321
168512,206,5025,2001,0.0,2.2815881013963907e-07,1.1732770000000001,1.088576,SVK,020322
175038,206,5026,2001,3.139857670616994e-08,3.99227887932688e-06,1.1732770000000001,1.088576,SVK,020329
