,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5449,209,5000,2010,0.0,2.0155103729093553e-08,0.186142,-0.34577800000000003,SWZ,010111
11975,209,5001,2010,0.0,1.6823539191093678e-09,0.186142,-0.34577800000000003,SWZ,010119
18501,209,5002,2010,0.0,0.0,0.186142,-0.34577800000000003,SWZ,010120
25027,209,5003,2010,1.3003319336972698e-09,7.923429581462102e-07,0.186142,-0.34577800000000003,SWZ,010210
31553,209,5004,2010,5.527698625628501e-09,5.054068250994371e-07,0.186142,-0.34577800000000003,SWZ,010290
38079,209,5005,2010,0.0,3.467021205994358e-08,0.186142,-0.34577800000000003,SWZ,010310
44605,209,5006,2010,0.0,8.084976655388873e-09,0.186142,-0.34577800000000003,SWZ,010391
51131,209,5007,2010,0.0,4.293880259854495e-08,0.186142,-0.34577800000000003,SWZ,010392
57657,209,5008,2010,0.0,1.0502581546553446e-07,0.186142,-0.34577800000000003,SWZ,010410
64183,209,5009,2010,1.137298006796983e-09,2.425426710016224e-09,0.186142,-0.34577800000000003,SWZ,010420
70709,209,5010,2010,9.706973339494537e-08,5.165167907658013e-07,0.186142,-0.34577800000000003,SWZ,010511
77235,209,5011,2010,0.0,1.3944214984580157e-07,0.186142,-0.34577800000000003,SWZ,010519
83761,209,5012,2010,0.0,3.979018907775318e-08,0.186142,-0.34577800000000003,SWZ,010591
90287,209,5013,2010,4.3203990628576034e-09,2.4981000244061197e-07,0.186142,-0.34577800000000003,SWZ,010599
96813,209,5014,2010,2.4976312741861798e-09,1.4212410569951178e-07,0.186142,-0.34577800000000003,SWZ,010600
103339,209,5015,2010,4.890048088484293e-08,3.1899415589996724e-06,0.186142,-0.34577800000000003,SWZ,020110
109865,209,5016,2010,1.5624438204489485e-07,1.6826422658212718e-07,0.186142,-0.34577800000000003,SWZ,020120
116391,209,5017,2010,1.3470299413837645e-07,6.19126791078383e-08,0.186142,-0.34577800000000003,SWZ,020130
122917,209,5018,2010,4.3679546653640385e-07,2.3771534932474534e-07,0.186142,-0.34577800000000003,SWZ,020210
129443,209,5019,2010,3.3621959460198573e-09,3.151089325318113e-07,0.186142,-0.34577800000000003,SWZ,020220
135969,209,5020,2010,6.770005027127134e-07,2.6271235778281226e-07,0.186142,-0.34577800000000003,SWZ,020230
142495,209,5021,2010,2.3939926069001237e-08,1.5970728933162174e-07,0.186142,-0.34577800000000003,SWZ,020311
149021,209,5022,2010,0.0,1.380995147539355e-07,0.186142,-0.34577800000000003,SWZ,020312
155547,209,5023,2010,1.6190662911577193e-08,1.4053720448503273e-07,0.186142,-0.34577800000000003,SWZ,020319
162073,209,5024,2010,1.7512510475032679e-09,1.3452434695932702e-07,0.186142,-0.34577800000000003,SWZ,020321
168599,209,5025,2010,0.0,2.6146086676654807e-08,0.186142,-0.34577800000000003,SWZ,020322
175125,209,5026,2010,7.523197526443352e-09,2.0082553044914466e-07,0.186142,-0.34577800000000003,SWZ,020329
181651,209,5027,2010,4.4819178045636495e-10,9.806240808955184e-08,0.186142,-0.34577800000000003,SWZ,020410
188177,209,5028,2010,0.0,4.389664397487002e-08,0.186142,-0.34577800000000003,SWZ,020421
194703,209,5029,2010,3.3031037234444747e-10,1.2843028834808512e-08,0.186142,-0.34577800000000003,SWZ,020422
201229,209,5030,2010,0.0,6.9189953536893545e-09,0.186142,-0.34577800000000003,SWZ,020423
207755,209,5031,2010,0.0,2.564363424533688e-08,0.186142,-0.34577800000000003,SWZ,020430
214281,209,5032,2010,0.0,5.256858847713492e-09,0.186142,-0.34577800000000003,SWZ,020441
220807,209,5033,2010,0.0,2.4204883582836138e-08,0.186142,-0.34577800000000003,SWZ,020442
227333,209,5034,2010,1.6464002320618194e-09,1.1157692018679446e-08,0.186142,-0.34577800000000003,SWZ,020443
233859,209,5035,2010,0.0,7.171547301357073e-09,0.186142,-0.34577800000000003,SWZ,020450
240385,209,5036,2010,0.0,8.159247476849318e-07,0.186142,-0.34577800000000003,SWZ,020500
246911,209,5037,2010,2.250050013447268e-09,3.5480565750294726e-08,0.186142,-0.34577800000000003,SWZ,020610
253437,209,5038,2010,0.0,7.389298783794987e-09,0.186142,-0.34577800000000003,SWZ,020621
259963,209,5039,2010,0.0,3.2131435263178856e-08,0.186142,-0.34577800000000003,SWZ,020622
266489,209,5040,2010,0.0,1.397583369298895e-07,0.186142,-0.34577800000000003,SWZ,020629
273015,209,5041,2010,0.0,0.0,0.186142,-0.34577800000000003,SWZ,020630
279541,209,5042,2010,0.0,0.0,0.186142,-0.34577800000000003,SWZ,020641
286067,209,5043,2010,2.075197642031905e-09,9.41998878820458e-09,0.186142,-0.34577800000000003,SWZ,020649
292593,209,5044,2010,0.0,9.903218105395568e-10,0.186142,-0.34577800000000003,SWZ,020680
299119,209,5045,2010,0.0,1.296466474661173e-08,0.186142,-0.34577800000000003,SWZ,020690
305645,209,5046,2010,0.0,4.946173551461891e-08,0.186142,-0.34577800000000003,SWZ,020710
312171,209,5047,2010,2.1342898646072875e-09,4.721130542975827e-08,0.186142,-0.34577800000000003,SWZ,020721
318697,209,5048,2010,0.0,1.4831626847940151e-08,0.186142,-0.34577800000000003,SWZ,020722
325223,209,5049,2010,0.0,0.0,0.186142,-0.34577800000000003,SWZ,020723
331749,209,5050,2010,0.0,1.1762557247673653e-09,0.186142,-0.34577800000000003,SWZ,020731
338275,209,5051,2010,0.0,1.6361786732444511e-07,0.186142,-0.34577800000000003,SWZ,020739
344801,209,5052,2010,2.0219540343062906e-08,7.452536200612573e-08,0.186142,-0.34577800000000003,SWZ,020741
351327,209,5053,2010,7.567440934115176e-09,1.6684933909578402e-07,0.186142,-0.34577800000000003,SWZ,020742
357853,209,5054,2010,0.0,7.589152884114718e-09,0.186142,-0.34577800000000003,SWZ,020743
364379,209,5055,2010,0.0,0.0,0.186142,-0.34577800000000003,SWZ,020750
370905,209,5056,2010,0.0,2.4564488390210778e-08,0.186142,-0.34577800000000003,SWZ,020810
377431,209,5057,2010,0.0,0.0,0.186142,-0.34577800000000003,SWZ,020820
383957,209,5058,2010,0.0,3.03208167722225e-08,0.186142,-0.34577800000000003,SWZ,020890
390483,209,5059,2010,4.994050400216967e-10,6.481503790800394e-09,0.186142,-0.34577800000000003,SWZ,020900
