,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5474,210,5000,2009,,,,,SXM,010111
12000,210,5001,2009,,,,,SXM,010119
18526,210,5002,2009,,,,,SXM,010120
25052,210,5003,2009,,,,,SXM,010210
31578,210,5004,2009,,,,,SXM,010290
38104,210,5005,2009,,,,,SXM,010310
44630,210,5006,2009,,,,,SXM,010391
51156,210,5007,2009,,,,,SXM,010392
57682,210,5008,2009,,,,,SXM,010410
64208,210,5009,2009,,,,,SXM,010420
70734,210,5010,2009,,,,,SXM,010511
77260,210,5011,2009,,,,,SXM,010519
83786,210,5012,2009,,,,,SXM,010591
90312,210,5013,2009,,,,,SXM,010599
96838,210,5014,2009,,,,,SXM,010600
103364,210,5015,2009,,,,,SXM,020110
109890,210,5016,2009,,,,,SXM,020120
116416,210,5017,2009,,,,,SXM,020130
122942,210,5018,2009,,,,,SXM,020210
129468,210,5019,2009,,,,,SXM,020220
135994,210,5020,2009,,,,,SXM,020230
142520,210,5021,2009,,,,,SXM,020311
149046,210,5022,2009,,,,,SXM,020312
155572,210,5023,2009,,,,,SXM,020319
162098,210,5024,2009,,,,,SXM,020321
168624,210,5025,2009,,,,,SXM,020322
175150,210,5026,2009,,,,,SXM,020329
181676,210,5027,2009,,,,,SXM,020410
188202,210,5028,2009,,,,,SXM,020421
194728,210,5029,2009,,,,,SXM,020422
201254,210,5030,2009,,,,,SXM,020423
207780,210,5031,2009,,,,,SXM,020430
214306,210,5032,2009,,,,,SXM,020441
220832,210,5033,2009,,,,,SXM,020442
227358,210,5034,2009,,,,,SXM,020443
233884,210,5035,2009,,,,,SXM,020450
240410,210,5036,2009,,,,,SXM,020500
246936,210,5037,2009,,,,,SXM,020610
253462,210,5038,2009,,,,,SXM,020621
259988,210,5039,2009,,,,,SXM,020622
266514,210,5040,2009,,,,,SXM,020629
273040,210,5041,2009,,,,,SXM,020630
279566,210,5042,2009,,,,,SXM,020641
286092,210,5043,2009,,,,,SXM,020649
292618,210,5044,2009,,,,,SXM,020680
299144,210,5045,2009,,,,,SXM,020690
305670,210,5046,2009,,,,,SXM,020710
312196,210,5047,2009,,,,,SXM,020721
318722,210,5048,2009,,,,,SXM,020722
325248,210,5049,2009,,,,,SXM,020723
331774,210,5050,2009,,,,,SXM,020731
338300,210,5051,2009,,,,,SXM,020739
344826,210,5052,2009,,,,,SXM,020741
351352,210,5053,2009,,,,,SXM,020742
357878,210,5054,2009,,,,,SXM,020743
364404,210,5055,2009,,,,,SXM,020750
370930,210,5056,2009,,,,,SXM,020810
377456,210,5057,2009,,,,,SXM,020820
383982,210,5058,2009,,,,,SXM,020890
390508,210,5059,2009,,,,,SXM,020900
397034,210,5060,2009,,,,,SXM,021011
403560,210,5061,2009,,,,,SXM,021012
410086,210,5062,2009,,,,,SXM,021019
416612,210,5063,2009,,,,,SXM,021020
423138,210,5064,2009,,,,,SXM,021090
429664,210,5065,2009,,,,,SXM,030110
436190,210,5066,2009,,,,,SXM,030191
442716,210,5067,2009,,,,,SXM,030192
449242,210,5068,2009,,,,,SXM,030193
455768,210,5069,2009,,,,,SXM,030199
462294,210,5070,2009,,,,,SXM,030211
468820,210,5071,2009,,,,,SXM,030212
475346,210,5072,2009,,,,,SXM,030219
481872,210,5073,2009,,,,,SXM,030221
488398,210,5074,2009,,,,,SXM,030222
494924,210,5075,2009,,,,,SXM,030223
501450,210,5076,2009,,,,,SXM,030229
507976,210,5077,2009,,,,,SXM,030231
514502,210,5078,2009,,,,,SXM,030232
521028,210,5079,2009,,,,,SXM,030233
527554,210,5080,2009,,,,,SXM,030239
534080,210,5081,2009,,,,,SXM,030240
540606,210,5082,2009,,,,,SXM,030250
547132,210,5083,2009,,,,,SXM,030261
553658,210,5084,2009,,,,,SXM,030262
560184,210,5085,2009,,,,,SXM,030263
566710,210,5086,2009,,,,,SXM,030264
573236,210,5087,2009,,,,,SXM,030265
579762,210,5088,2009,,,,,SXM,030266
586288,210,5089,2009,,,,,SXM,030269
592814,210,5090,2009,,,,,SXM,030270
599340,210,5091,2009,,,,,SXM,030310
605866,210,5092,2009,,,,,SXM,030321
612392,210,5093,2009,,,,,SXM,030322
618918,210,5094,2009,,,,,SXM,030329
625444,210,5095,2009,,,,,SXM,030331
631970,210,5096,2009,,,,,SXM,030332
638496,210,5097,2009,,,,,SXM,030333
645022,210,5098,2009,,,,,SXM,030339
651548,210,5099,2009,,,,,SXM,030341
658074,210,5100,2009,,,,,SXM,030342
664600,210,5101,2009,,,,,SXM,030343
671126,210,5102,2009,,,,,SXM,030349
677652,210,5103,2009,,,,,SXM,030350
684178,210,5104,2009,,,,,SXM,030360
690704,210,5105,2009,,,,,SXM,030371
697230,210,5106,2009,,,,,SXM,030372
703756,210,5107,2009,,,,,SXM,030373
710282,210,5108,2009,,,,,SXM,030374
716808,210,5109,2009,,,,,SXM,030375
723334,210,5110,2009,,,,,SXM,030376
729860,210,5111,2009,,,,,SXM,030377
