,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5509,211,5000,2018,0.0,0.0,0.187352,-0.693013,SYC,010111
12035,211,5001,2018,0.0,0.0,0.187352,-0.693013,SYC,010119
18561,211,5002,2018,0.0,0.0,0.187352,-0.693013,SYC,010120
25087,211,5003,2018,0.0,0.0,0.187352,-0.693013,SYC,010210
31613,211,5004,2018,0.0,0.0,0.187352,-0.693013,SYC,010290
38139,211,5005,2018,0.0,0.0,0.187352,-0.693013,SYC,010310
44665,211,5006,2018,0.0,0.0,0.187352,-0.693013,SYC,010391
51191,211,5007,2018,0.0,0.0,0.187352,-0.693013,SYC,010392
57717,211,5008,2018,0.0,9.04646379473802e-09,0.187352,-0.693013,SYC,010410
64243,211,5009,2018,0.0,0.0,0.187352,-0.693013,SYC,010420
70769,211,5010,2018,0.0,2.384295874444618e-08,0.187352,-0.693013,SYC,010511
77295,211,5011,2018,0.0,5.0918052126235654e-09,0.187352,-0.693013,SYC,010519
83821,211,5012,2018,0.0,0.0,0.187352,-0.693013,SYC,010591
90347,211,5013,2018,0.0,6.189511315872231e-09,0.187352,-0.693013,SYC,010599
96873,211,5014,2018,2.388728853535332e-07,1.3697794547452928e-08,0.187352,-0.693013,SYC,010600
103399,211,5015,2018,0.0,3.2595772899245093e-08,0.187352,-0.693013,SYC,020110
109925,211,5016,2018,0.0,8.080933172762171e-08,0.187352,-0.693013,SYC,020120
116451,211,5017,2018,0.0,1.5212377080854423e-07,0.187352,-0.693013,SYC,020130
122977,211,5018,2018,0.0,2.24343684851446e-08,0.187352,-0.693013,SYC,020210
129503,211,5019,2018,0.0,3.7390746715108544e-07,0.187352,-0.693013,SYC,020220
136029,211,5020,2018,0.0,1.016134144183008e-06,0.187352,-0.693013,SYC,020230
142555,211,5021,2018,0.0,2.6958760398021274e-09,0.187352,-0.693013,SYC,020311
149081,211,5022,2018,0.0,2.433281672168094e-08,0.187352,-0.693013,SYC,020312
155607,211,5023,2018,0.0,4.118552201696722e-08,0.187352,-0.693013,SYC,020319
162133,211,5024,2018,0.0,5.15537406244334e-08,0.187352,-0.693013,SYC,020321
168659,211,5025,2018,0.0,1.0979811926404821e-07,0.187352,-0.693013,SYC,020322
175185,211,5026,2018,0.0,8.986013729468841e-07,0.187352,-0.693013,SYC,020329
181711,211,5027,2018,0.0,1.7784363464438447e-08,0.187352,-0.693013,SYC,020410
188237,211,5028,2018,0.0,0.0,0.187352,-0.693013,SYC,020421
194763,211,5029,2018,0.0,4.5636004370355826e-08,0.187352,-0.693013,SYC,020422
201289,211,5030,2018,0.0,1.9437219846353032e-08,0.187352,-0.693013,SYC,020423
207815,211,5031,2018,0.0,4.0500781434445554e-08,0.187352,-0.693013,SYC,020430
214341,211,5032,2018,0.0,4.5548174624775844e-08,0.187352,-0.693013,SYC,020441
220867,211,5033,2018,0.0,3.114790782918417e-07,0.187352,-0.693013,SYC,020442
227393,211,5034,2018,0.0,1.3146058028709554e-07,0.187352,-0.693013,SYC,020443
233919,211,5035,2018,0.0,6.893607585721707e-08,0.187352,-0.693013,SYC,020450
240445,211,5036,2018,0.0,6.715826923347738e-09,0.187352,-0.693013,SYC,020500
246971,211,5037,2018,0.0,0.0,0.187352,-0.693013,SYC,020610
