,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5514,212,5000,1997,1.0,0.0,-1.046433,-0.9678620000000001,SYR,010111
12040,212,5001,1997,0.1657083253229144,0.9861748074853034,-1.046433,-0.9678620000000001,SYR,010119
18566,212,5002,1997,1.0,0.0,-1.046433,-0.9678620000000001,SYR,010120
25092,212,5003,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,010210
31618,212,5004,1997,0.0,1.0,-1.046433,-0.9678620000000001,SYR,010290
38144,212,5005,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,010310
44670,212,5006,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,010391
51196,212,5007,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,010392
57722,212,5008,1997,0.0,1.0,-1.046433,-0.9678620000000001,SYR,010410
64248,212,5009,1997,1.0,0.0,-1.046433,-0.9678620000000001,SYR,010420
70774,212,5010,1997,0.23725186745197901,0.9714481722616748,-1.046433,-0.9678620000000001,SYR,010511
77300,212,5011,1997,1.0,0.0,-1.046433,-0.9678620000000001,SYR,010519
83826,212,5012,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,010591
90352,212,5013,1997,1.0,0.0,-1.046433,-0.9678620000000001,SYR,010599
96878,212,5014,1997,0.0,1.0,-1.046433,-0.9678620000000001,SYR,010600
103404,212,5015,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020110
109930,212,5016,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020120
116456,212,5017,1997,0.0,1.0,-1.046433,-0.9678620000000001,SYR,020130
122982,212,5018,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020210
129508,212,5019,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020220
136034,212,5020,1997,0.03852043349235961,0.9992578126807719,-1.046433,-0.9678620000000001,SYR,020230
142560,212,5021,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020311
149086,212,5022,1997,0.0,1.0,-1.046433,-0.9678620000000001,SYR,020312
155612,212,5023,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020319
162138,212,5024,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020321
168664,212,5025,1997,0.0,1.0,-1.046433,-0.9678620000000001,SYR,020322
175190,212,5026,1997,0.0,1.0,-1.046433,-0.9678620000000001,SYR,020329
181716,212,5027,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020410
188242,212,5028,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020421
194768,212,5029,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020422
201294,212,5030,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020423
207820,212,5031,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020430
214346,212,5032,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020441
220872,212,5033,1997,0.0,1.0,-1.046433,-0.9678620000000001,SYR,020442
227398,212,5034,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020443
233924,212,5035,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020450
240450,212,5036,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020500
246976,212,5037,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020610
253502,212,5038,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020621
260028,212,5039,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020622
266554,212,5040,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020629
273080,212,5041,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020630
279606,212,5042,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020641
286132,212,5043,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020649
292658,212,5044,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020680
299184,212,5045,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020690
305710,212,5046,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020710
312236,212,5047,1997,0.0,1.0,-1.046433,-0.9678620000000001,SYR,020721
318762,212,5048,1997,0.0,1.0,-1.046433,-0.9678620000000001,SYR,020722
325288,212,5049,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020723
331814,212,5050,1997,0.0,0.0,-1.046433,-0.9678620000000001,SYR,020731
338340,212,5051,1997,1.0,0.0,-1.046433,-0.9678620000000001,SYR,020739
