,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5568,214,5000,1999,0.0,0.0,-0.449592,-0.828462,TCD,010111
12094,214,5001,1999,0.0,0.0,-0.449592,-0.828462,TCD,010119
18620,214,5002,1999,0.0,0.0,-0.449592,-0.828462,TCD,010120
25146,214,5003,1999,0.0,0.0,-0.449592,-0.828462,TCD,010210
31672,214,5004,1999,0.0,0.0,-0.449592,-0.828462,TCD,010290
38198,214,5005,1999,0.0,0.0,-0.449592,-0.828462,TCD,010310
44724,214,5006,1999,0.0,0.0,-0.449592,-0.828462,TCD,010391
51250,214,5007,1999,0.0,0.0,-0.449592,-0.828462,TCD,010392
57776,214,5008,1999,0.0,0.0,-0.449592,-0.828462,TCD,010410
64302,214,5009,1999,0.0,0.0,-0.449592,-0.828462,TCD,010420
70828,214,5010,1999,0.0,1.726103075398264e-09,-0.449592,-0.828462,TCD,010511
77354,214,5011,1999,0.0,0.0,-0.449592,-0.828462,TCD,010519
83880,214,5012,1999,0.0,0.0,-0.449592,-0.828462,TCD,010591
90406,214,5013,1999,0.0,0.0,-0.449592,-0.828462,TCD,010599
96932,214,5014,1999,0.0,0.0,-0.449592,-0.828462,TCD,010600
103458,214,5015,1999,0.0,0.0,-0.449592,-0.828462,TCD,020110
109984,214,5016,1999,0.0,0.0,-0.449592,-0.828462,TCD,020120
116510,214,5017,1999,0.0,0.0,-0.449592,-0.828462,TCD,020130
123036,214,5018,1999,0.0,0.0,-0.449592,-0.828462,TCD,020210
129562,214,5019,1999,0.0,0.0,-0.449592,-0.828462,TCD,020220
136088,214,5020,1999,0.0,0.0,-0.449592,-0.828462,TCD,020230
142614,214,5021,1999,0.0,0.0,-0.449592,-0.828462,TCD,020311
149140,214,5022,1999,0.0,0.0,-0.449592,-0.828462,TCD,020312
155666,214,5023,1999,0.0,0.0,-0.449592,-0.828462,TCD,020319
162192,214,5024,1999,0.0,0.0,-0.449592,-0.828462,TCD,020321
168718,214,5025,1999,0.0,0.0,-0.449592,-0.828462,TCD,020322
175244,214,5026,1999,0.0,0.0,-0.449592,-0.828462,TCD,020329
181770,214,5027,1999,0.0,0.0,-0.449592,-0.828462,TCD,020410
188296,214,5028,1999,4.047968764933146e-09,0.0,-0.449592,-0.828462,TCD,020421
194822,214,5029,1999,0.0,0.0,-0.449592,-0.828462,TCD,020422
201348,214,5030,1999,0.0,0.0,-0.449592,-0.828462,TCD,020423
207874,214,5031,1999,0.0,0.0,-0.449592,-0.828462,TCD,020430
214400,214,5032,1999,0.0,0.0,-0.449592,-0.828462,TCD,020441
220926,214,5033,1999,0.0,0.0,-0.449592,-0.828462,TCD,020442
227452,214,5034,1999,0.0,0.0,-0.449592,-0.828462,TCD,020443
233978,214,5035,1999,0.0,0.0,-0.449592,-0.828462,TCD,020450
