,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5601,215,5000,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,010111
12127,215,5001,2006,0.0,1.2398908611875779e-09,-0.8304020000000001,-0.678178,TGO,010119
18653,215,5002,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,010120
25179,215,5003,2006,0.0,3.8181081852127494e-10,-0.8304020000000001,-0.678178,TGO,010210
31705,215,5004,2006,0.0,4.142912527357584e-08,-0.8304020000000001,-0.678178,TGO,010290
38231,215,5005,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,010310
44757,215,5006,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,010391
51283,215,5007,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,010392
57809,215,5008,2006,0.0,3.500926802118253e-09,-0.8304020000000001,-0.678178,TGO,010410
64335,215,5009,2006,0.0,8.322282684955915e-10,-0.8304020000000001,-0.678178,TGO,010420
70861,215,5010,2006,0.0,8.94902249209457e-09,-0.8304020000000001,-0.678178,TGO,010511
77387,215,5011,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,010519
83913,215,5012,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,010591
90439,215,5013,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,010599
96965,215,5014,2006,3.1661946196632837e-07,0.0,-0.8304020000000001,-0.678178,TGO,010600
103491,215,5015,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020110
110017,215,5016,2006,0.0,8.322282684955915e-10,-0.8304020000000001,-0.678178,TGO,020120
116543,215,5017,2006,0.0,9.47235520255038e-10,-0.8304020000000001,-0.678178,TGO,020130
123069,215,5018,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020210
129595,215,5019,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020220
136121,215,5020,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020230
142647,215,5021,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020311
149173,215,5022,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020312
155699,215,5023,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020319
162225,215,5024,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020321
168751,215,5025,2006,0.0,3.744530058726879e-09,-0.8304020000000001,-0.678178,TGO,020322
175277,215,5026,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020329
181803,215,5027,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020410
188329,215,5028,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020421
194855,215,5029,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020422
201381,215,5030,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020423
207907,215,5031,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020430
214433,215,5032,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020441
220959,215,5033,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020442
227485,215,5034,2006,0.0,2.0804049547378845e-09,-0.8304020000000001,-0.678178,TGO,020443
234011,215,5035,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020450
240537,215,5036,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020500
247063,215,5037,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020610
253589,215,5038,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020621
260115,215,5039,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020622
266641,215,5040,2006,0.0,9.982762025920835e-09,-0.8304020000000001,-0.678178,TGO,020629
273167,215,5041,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020630
279693,215,5042,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020641
286219,215,5043,2006,0.0,4.159484177467015e-10,-0.8304020000000001,-0.678178,TGO,020649
292745,215,5044,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020680
299271,215,5045,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020690
305797,215,5046,2006,0.0,7.0813975247617716e-09,-0.8304020000000001,-0.678178,TGO,020710
312323,215,5047,2006,0.0,2.947675634554877e-07,-0.8304020000000001,-0.678178,TGO,020721
318849,215,5048,2006,0.0,0.0,-0.8304020000000001,-0.678178,TGO,020722
