,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5696,219,5000,1997,0.0,0.0,-0.554162,-1.042607,TKM,010111
12222,219,5001,1997,0.0,0.0,-0.554162,-1.042607,TKM,010119
18748,219,5002,1997,0.0,0.0,-0.554162,-1.042607,TKM,010120
25274,219,5003,1997,0.0,0.0,-0.554162,-1.042607,TKM,010210
31800,219,5004,1997,0.0,0.0,-0.554162,-1.042607,TKM,010290
38326,219,5005,1997,0.0,0.0,-0.554162,-1.042607,TKM,010310
44852,219,5006,1997,0.0,0.0,-0.554162,-1.042607,TKM,010391
51378,219,5007,1997,0.0,0.0,-0.554162,-1.042607,TKM,010392
57904,219,5008,1997,0.0,0.0,-0.554162,-1.042607,TKM,010410
64430,219,5009,1997,0.0,0.0,-0.554162,-1.042607,TKM,010420
70956,219,5010,1997,0.0,5.7569912480161e-10,-0.554162,-1.042607,TKM,010511
77482,219,5011,1997,0.0,0.0,-0.554162,-1.042607,TKM,010519
84008,219,5012,1997,0.0,0.0,-0.554162,-1.042607,TKM,010591
90534,219,5013,1997,0.0,6.290929814541944e-09,-0.554162,-1.042607,TKM,010599
97060,219,5014,1997,0.0,6.622031383728362e-10,-0.554162,-1.042607,TKM,010600
103586,219,5015,1997,0.0,4.083254586963635e-10,-0.554162,-1.042607,TKM,020110
110112,219,5016,1997,0.0,3.7518215847750284e-10,-0.554162,-1.042607,TKM,020120
116638,219,5017,1997,0.0,0.0,-0.554162,-1.042607,TKM,020130
123164,219,5018,1997,0.0,1.8912283000166628e-06,-0.554162,-1.042607,TKM,020210
129690,219,5019,1997,0.0,2.2979111767541794e-06,-0.554162,-1.042607,TKM,020220
136216,219,5020,1997,0.0,1.979099143288915e-07,-0.554162,-1.042607,TKM,020230
142742,219,5021,1997,0.0,0.0,-0.554162,-1.042607,TKM,020311
149268,219,5022,1997,0.0,1.4726231153244175e-08,-0.554162,-1.042607,TKM,020312
155794,219,5023,1997,0.0,0.0,-0.554162,-1.042607,TKM,020319
162320,219,5024,1997,0.0,7.506957499571942e-10,-0.554162,-1.042607,TKM,020321
168846,219,5025,1997,0.0,0.0,-0.554162,-1.042607,TKM,020322
175372,219,5026,1997,0.0,2.4980105374955288e-09,-0.554162,-1.042607,TKM,020329
181898,219,5027,1997,0.0,0.0,-0.554162,-1.042607,TKM,020410
188424,219,5028,1997,0.0,0.0,-0.554162,-1.042607,TKM,020421
194950,219,5029,1997,0.0,0.0,-0.554162,-1.042607,TKM,020422
201476,219,5030,1997,0.0,0.0,-0.554162,-1.042607,TKM,020423
208002,219,5031,1997,0.0,2.5487197868303856e-10,-0.554162,-1.042607,TKM,020430
214528,219,5032,1997,0.0,0.0,-0.554162,-1.042607,TKM,020441
221054,219,5033,1997,0.0,7.954392052526562e-10,-0.554162,-1.042607,TKM,020442
227580,219,5034,1997,0.0,0.0,-0.554162,-1.042607,TKM,020443
234106,219,5035,1997,0.0,0.0,-0.554162,-1.042607,TKM,020450
240632,219,5036,1997,0.0,0.0,-0.554162,-1.042607,TKM,020500
247158,219,5037,1997,0.0,0.0,-0.554162,-1.042607,TKM,020610
253684,219,5038,1997,0.0,0.0,-0.554162,-1.042607,TKM,020621
260210,219,5039,1997,0.0,0.0,-0.554162,-1.042607,TKM,020622
266736,219,5040,1997,0.0,3.410445592520763e-10,-0.554162,-1.042607,TKM,020629
273262,219,5041,1997,0.0,0.0,-0.554162,-1.042607,TKM,020630
279788,219,5042,1997,0.0,0.0,-0.554162,-1.042607,TKM,020641
286314,219,5043,1997,0.0,0.0,-0.554162,-1.042607,TKM,020649
292840,219,5044,1997,0.0,0.0,-0.554162,-1.042607,TKM,020680
299366,219,5045,1997,0.0,0.0,-0.554162,-1.042607,TKM,020690
305892,219,5046,1997,0.0,4.311943358473774e-10,-0.554162,-1.042607,TKM,020710
312418,219,5047,1997,0.0,2.038180390259056e-08,-0.554162,-1.042607,TKM,020721
318944,219,5048,1997,0.0,0.0,-0.554162,-1.042607,TKM,020722
325470,219,5049,1997,0.0,9.170751170558749e-10,-0.554162,-1.042607,TKM,020723
331996,219,5050,1997,0.0,0.0,-0.554162,-1.042607,TKM,020731
338522,219,5051,1997,0.0,1.0628724947186429e-08,-0.554162,-1.042607,TKM,020739
345048,219,5052,1997,0.0,2.2785886327265838e-07,-0.554162,-1.042607,TKM,020741
351574,219,5053,1997,0.0,2.21231528960895e-09,-0.554162,-1.042607,TKM,020742
358100,219,5054,1997,0.0,0.0,-0.554162,-1.042607,TKM,020743
364626,219,5055,1997,0.0,0.0,-0.554162,-1.042607,TKM,020750
371152,219,5056,1997,0.0,7.954392052526562e-10,-0.554162,-1.042607,TKM,020810
377678,219,5057,1997,0.0,0.0,-0.554162,-1.042607,TKM,020820
384204,219,5058,1997,0.0,0.0,-0.554162,-1.042607,TKM,020890
390730,219,5059,1997,0.0,0.0,-0.554162,-1.042607,TKM,020900
397256,219,5060,1997,0.0,3.7518215847750284e-10,-0.554162,-1.042607,TKM,021011
403782,219,5061,1997,0.0,7.506957499571942e-10,-0.554162,-1.042607,TKM,021012
410308,219,5062,1997,0.0,2.0644961706328314e-09,-0.554162,-1.042607,TKM,021019
416834,219,5063,1997,0.0,0.0,-0.554162,-1.042607,TKM,021020
423360,219,5064,1997,0.0,0.0,-0.554162,-1.042607,TKM,021090
429886,219,5065,1997,4.660709657484038e-10,0.0,-0.554162,-1.042607,TKM,030110
436412,219,5066,1997,0.0,0.0,-0.554162,-1.042607,TKM,030191
442938,219,5067,1997,0.0,0.0,-0.554162,-1.042607,TKM,030192
449464,219,5068,1997,0.0,0.0,-0.554162,-1.042607,TKM,030193
455990,219,5069,1997,0.0,0.0,-0.554162,-1.042607,TKM,030199
462516,219,5070,1997,0.0,0.0,-0.554162,-1.042607,TKM,030211
