,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5720,220,5000,1995,0.0,0.0,1.983051,-0.202022,TLS,010111
12246,220,5001,1995,0.0,0.0,1.983051,-0.202022,TLS,010119
18772,220,5002,1995,0.0,0.0,1.983051,-0.202022,TLS,010120
25298,220,5003,1995,0.0,0.0,1.983051,-0.202022,TLS,010210
31824,220,5004,1995,0.0,0.0,1.983051,-0.202022,TLS,010290
38350,220,5005,1995,0.0,0.0,1.983051,-0.202022,TLS,010310
44876,220,5006,1995,0.0,0.0,1.983051,-0.202022,TLS,010391
51402,220,5007,1995,0.0,0.0,1.983051,-0.202022,TLS,010392
57928,220,5008,1995,0.0,0.0,1.983051,-0.202022,TLS,010410
64454,220,5009,1995,0.0,0.0,1.983051,-0.202022,TLS,010420
70980,220,5010,1995,0.0,0.0,1.983051,-0.202022,TLS,010511
77506,220,5011,1995,0.0,0.0,1.983051,-0.202022,TLS,010519
84032,220,5012,1995,0.0,0.0,1.983051,-0.202022,TLS,010591
90558,220,5013,1995,0.0,0.0,1.983051,-0.202022,TLS,010599
97084,220,5014,1995,0.0,0.0,1.983051,-0.202022,TLS,010600
103610,220,5015,1995,0.0,0.0,1.983051,-0.202022,TLS,020110
110136,220,5016,1995,0.0,0.0,1.983051,-0.202022,TLS,020120
116662,220,5017,1995,0.0,0.0,1.983051,-0.202022,TLS,020130
123188,220,5018,1995,0.0,0.0,1.983051,-0.202022,TLS,020210
129714,220,5019,1995,0.0,0.0,1.983051,-0.202022,TLS,020220
136240,220,5020,1995,0.0,0.0,1.983051,-0.202022,TLS,020230
142766,220,5021,1995,0.0,0.0,1.983051,-0.202022,TLS,020311
149292,220,5022,1995,0.0,0.0,1.983051,-0.202022,TLS,020312
155818,220,5023,1995,0.0,0.0,1.983051,-0.202022,TLS,020319
162344,220,5024,1995,0.0,0.0,1.983051,-0.202022,TLS,020321
168870,220,5025,1995,0.0,0.0,1.983051,-0.202022,TLS,020322
175396,220,5026,1995,0.0,0.0,1.983051,-0.202022,TLS,020329
181922,220,5027,1995,0.0,0.0,1.983051,-0.202022,TLS,020410
188448,220,5028,1995,0.0,0.0,1.983051,-0.202022,TLS,020421
194974,220,5029,1995,0.0,0.0,1.983051,-0.202022,TLS,020422
201500,220,5030,1995,0.0,0.0,1.983051,-0.202022,TLS,020423
208026,220,5031,1995,0.0,0.0,1.983051,-0.202022,TLS,020430
214552,220,5032,1995,0.0,0.0,1.983051,-0.202022,TLS,020441
221078,220,5033,1995,0.0,0.0,1.983051,-0.202022,TLS,020442
227604,220,5034,1995,0.0,0.0,1.983051,-0.202022,TLS,020443
234130,220,5035,1995,0.0,0.0,1.983051,-0.202022,TLS,020450
240656,220,5036,1995,0.0,0.0,1.983051,-0.202022,TLS,020500
247182,220,5037,1995,0.0,0.0,1.983051,-0.202022,TLS,020610
253708,220,5038,1995,0.0,0.0,1.983051,-0.202022,TLS,020621
260234,220,5039,1995,0.0,0.0,1.983051,-0.202022,TLS,020622
266760,220,5040,1995,0.0,0.0,1.983051,-0.202022,TLS,020629
273286,220,5041,1995,0.0,0.0,1.983051,-0.202022,TLS,020630
279812,220,5042,1995,0.0,0.0,1.983051,-0.202022,TLS,020641
286338,220,5043,1995,0.0,0.0,1.983051,-0.202022,TLS,020649
292864,220,5044,1995,0.0,0.0,1.983051,-0.202022,TLS,020680
299390,220,5045,1995,0.0,0.0,1.983051,-0.202022,TLS,020690
305916,220,5046,1995,0.0,0.0,1.983051,-0.202022,TLS,020710
312442,220,5047,1995,0.0,0.0,1.983051,-0.202022,TLS,020721
318968,220,5048,1995,0.0,0.0,1.983051,-0.202022,TLS,020722
325494,220,5049,1995,0.0,0.0,1.983051,-0.202022,TLS,020723
332020,220,5050,1995,0.0,0.0,1.983051,-0.202022,TLS,020731
338546,220,5051,1995,0.0,0.0,1.983051,-0.202022,TLS,020739
345072,220,5052,1995,0.0,0.0,1.983051,-0.202022,TLS,020741
351598,220,5053,1995,0.0,0.0,1.983051,-0.202022,TLS,020742
358124,220,5054,1995,0.0,0.0,1.983051,-0.202022,TLS,020743
364650,220,5055,1995,0.0,0.0,1.983051,-0.202022,TLS,020750
371176,220,5056,1995,0.0,0.0,1.983051,-0.202022,TLS,020810
377702,220,5057,1995,0.0,0.0,1.983051,-0.202022,TLS,020820
384228,220,5058,1995,0.0,0.0,1.983051,-0.202022,TLS,020890
390754,220,5059,1995,0.0,0.0,1.983051,-0.202022,TLS,020900
397280,220,5060,1995,0.0,0.0,1.983051,-0.202022,TLS,021011
403806,220,5061,1995,0.0,0.0,1.983051,-0.202022,TLS,021012
410332,220,5062,1995,0.0,0.0,1.983051,-0.202022,TLS,021019
416858,220,5063,1995,0.0,0.0,1.983051,-0.202022,TLS,021020
423384,220,5064,1995,0.0,0.0,1.983051,-0.202022,TLS,021090
429910,220,5065,1995,0.0,0.0,1.983051,-0.202022,TLS,030110
436436,220,5066,1995,0.0,0.0,1.983051,-0.202022,TLS,030191
442962,220,5067,1995,0.0,0.0,1.983051,-0.202022,TLS,030192
449488,220,5068,1995,0.0,0.0,1.983051,-0.202022,TLS,030193
456014,220,5069,1995,0.0,0.0,1.983051,-0.202022,TLS,030199
462540,220,5070,1995,0.0,0.0,1.983051,-0.202022,TLS,030211
469066,220,5071,1995,0.0,0.0,1.983051,-0.202022,TLS,030212
475592,220,5072,1995,0.0,0.0,1.983051,-0.202022,TLS,030219
482118,220,5073,1995,0.0,0.0,1.983051,-0.202022,TLS,030221
488644,220,5074,1995,0.0,0.0,1.983051,-0.202022,TLS,030222
495170,220,5075,1995,0.0,0.0,1.983051,-0.202022,TLS,030223
501696,220,5076,1995,0.0,0.0,1.983051,-0.202022,TLS,030229
508222,220,5077,1995,0.0,0.0,1.983051,-0.202022,TLS,030231
514748,220,5078,1995,0.0,0.0,1.983051,-0.202022,TLS,030232
521274,220,5079,1995,0.0,0.0,1.983051,-0.202022,TLS,030233
527800,220,5080,1995,0.0,0.0,1.983051,-0.202022,TLS,030239
534326,220,5081,1995,0.0,0.0,1.983051,-0.202022,TLS,030240
540852,220,5082,1995,0.0,0.0,1.983051,-0.202022,TLS,030250
547378,220,5083,1995,0.0,0.0,1.983051,-0.202022,TLS,030261
553904,220,5084,1995,0.0,0.0,1.983051,-0.202022,TLS,030262
560430,220,5085,1995,0.0,0.0,1.983051,-0.202022,TLS,030263
566956,220,5086,1995,0.0,0.0,1.983051,-0.202022,TLS,030264
573482,220,5087,1995,0.0,0.0,1.983051,-0.202022,TLS,030265
580008,220,5088,1995,0.0,0.0,1.983051,-0.202022,TLS,030266
586534,220,5089,1995,0.0,0.0,1.983051,-0.202022,TLS,030269
593060,220,5090,1995,0.0,0.0,1.983051,-0.202022,TLS,030270
599586,220,5091,1995,0.0,0.0,1.983051,-0.202022,TLS,030310
606112,220,5092,1995,0.0,0.0,1.983051,-0.202022,TLS,030321
612638,220,5093,1995,0.0,0.0,1.983051,-0.202022,TLS,030322
619164,220,5094,1995,0.0,0.0,1.983051,-0.202022,TLS,030329
625690,220,5095,1995,0.0,0.0,1.983051,-0.202022,TLS,030331
