,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5801,223,5000,1998,2.1587146499384457e-08,2.919029880175716e-08,-0.21677,-0.08694299999999999,TUN,010111
12327,223,5001,1998,1.7103713509626568e-08,5.4613530100638616e-09,-0.21677,-0.08694299999999999,TUN,010119
18853,223,5002,1998,5.387695513680671e-09,0.0,-0.21677,-0.08694299999999999,TUN,010120
25379,223,5003,1998,0.0,2.313507750971171e-06,-0.21677,-0.08694299999999999,TUN,010210
31905,223,5004,1998,0.0,2.213633398658654e-06,-0.21677,-0.08694299999999999,TUN,010290
38431,223,5005,1998,0.0,9.368948105867536e-09,-0.21677,-0.08694299999999999,TUN,010310
44957,223,5006,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,010391
51483,223,5007,1998,0.0,8.997411710414106e-09,-0.21677,-0.08694299999999999,TUN,010392
58009,223,5008,1998,0.0,1.853055172556588e-07,-0.21677,-0.08694299999999999,TUN,010410
64535,223,5009,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,010420
71061,223,5010,1998,0.0,6.718657361186429e-07,-0.21677,-0.08694299999999999,TUN,010511
77587,223,5011,1998,0.0,1.7224175404139267e-07,-0.21677,-0.08694299999999999,TUN,010519
84113,223,5012,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,010591
90639,223,5013,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,010599
97165,223,5014,1998,5.271026253724146e-09,3.485912887119109e-08,-0.21677,-0.08694299999999999,TUN,010600
103691,223,5015,1998,0.0,2.242557888192656e-06,-0.21677,-0.08694299999999999,TUN,020110
110217,223,5016,1998,0.0,1.5514305917188199e-06,-0.21677,-0.08694299999999999,TUN,020120
116743,223,5017,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020130
123269,223,5018,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020210
129795,223,5019,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020220
136321,223,5020,1998,0.0,4.0510326704908586e-07,-0.21677,-0.08694299999999999,TUN,020230
142847,223,5021,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020311
149373,223,5022,1998,0.0,4.925094412522696e-10,-0.21677,-0.08694299999999999,TUN,020312
155899,223,5023,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020319
162425,223,5024,1998,0.0,4.182684487620217e-10,-0.21677,-0.08694299999999999,TUN,020321
168951,223,5025,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020322
175477,223,5026,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020329
182003,223,5027,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020410
188529,223,5028,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020421
195055,223,5029,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020422
201581,223,5030,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020423
208107,223,5031,1998,0.0,2.3594715425806913e-08,-0.21677,-0.08694299999999999,TUN,020430
214633,223,5032,1998,0.0,1.8406131776544276e-08,-0.21677,-0.08694299999999999,TUN,020441
221159,223,5033,1998,0.0,2.092336542816674e-09,-0.21677,-0.08694299999999999,TUN,020442
227685,223,5034,1998,0.0,8.524456816290965e-10,-0.21677,-0.08694299999999999,TUN,020443
234211,223,5035,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020450
240737,223,5036,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020500
247263,223,5037,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020610
253789,223,5038,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020621
260315,223,5039,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020622
266841,223,5040,1998,0.0,0.0,-0.21677,-0.08694299999999999,TUN,020629
