,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6476,249,5000,1997,0.8914272899757681,0.45316375261759156,1.317672,1.800561,TWN,010111
13002,249,5001,1997,0.0,1.0,1.317672,1.800561,TWN,010119
19528,249,5002,1997,0.0,0.0,1.317672,1.800561,TWN,010120
26054,249,5003,1997,0.0,0.0,1.317672,1.800561,TWN,010210
32580,249,5004,1997,0.0,1.0,1.317672,1.800561,TWN,010290
39106,249,5005,1997,0.5091622779897155,0.8606705378205551,1.317672,1.800561,TWN,010310
45632,249,5006,1997,1.0,0.0,1.317672,1.800561,TWN,010391
52158,249,5007,1997,0.0,1.0,1.317672,1.800561,TWN,010392
58684,249,5008,1997,0.0,0.0,1.317672,1.800561,TWN,010410
65210,249,5009,1997,0.09159637671893049,0.9957962159859636,1.317672,1.800561,TWN,010420
71736,249,5010,1997,0.320558043533344,0.9472288745208703,1.317672,1.800561,TWN,010511
78262,249,5011,1997,0.5210920647219357,0.8535004745656736,1.317672,1.800561,TWN,010519
84788,249,5012,1997,0.0,1.0,1.317672,1.800561,TWN,010591
91314,249,5013,1997,0.7079007293484672,0.7063119405672739,1.317672,1.800561,TWN,010599
97840,249,5014,1997,0.9821297477950596,0.18820509689169568,1.317672,1.800561,TWN,010600
104366,249,5015,1997,0.0,1.0,1.317672,1.800561,TWN,020110
110892,249,5016,1997,0.0,1.0,1.317672,1.800561,TWN,020120
117418,249,5017,1997,0.0,1.0,1.317672,1.800561,TWN,020130
123944,249,5018,1997,0.0,1.0,1.317672,1.800561,TWN,020210
130470,249,5019,1997,0.00011856412349829191,0.9999999929712743,1.317672,1.800561,TWN,020220
136996,249,5020,1997,0.003082026483626138,0.9999952505450985,1.317672,1.800561,TWN,020230
143522,249,5021,1997,0.0,0.0,1.317672,1.800561,TWN,020311
150048,249,5022,1997,0.999915189743502,0.013023567875833445,1.317672,1.800561,TWN,020312
156574,249,5023,1997,0.9998289716673422,0.01849398320062389,1.317672,1.800561,TWN,020319
163100,249,5024,1997,0.0,1.0,1.317672,1.800561,TWN,020321
169626,249,5025,1997,0.9044523601181524,0.42657464560930464,1.317672,1.800561,TWN,020322
176152,249,5026,1997,0.9999520130247742,0.009796512017136126,1.317672,1.800561,TWN,020329
182678,249,5027,1997,0.0,1.0,1.317672,1.800561,TWN,020410
189204,249,5028,1997,0.0,1.0,1.317672,1.800561,TWN,020421
195730,249,5029,1997,0.0,1.0,1.317672,1.800561,TWN,020422
202256,249,5030,1997,0.0,1.0,1.317672,1.800561,TWN,020423
208782,249,5031,1997,0.0,1.0,1.317672,1.800561,TWN,020430
215308,249,5032,1997,0.0,1.0,1.317672,1.800561,TWN,020441
221834,249,5033,1997,0.007847923151755146,0.9999692045769232,1.317672,1.800561,TWN,020442
228360,249,5034,1997,0.021218166423774158,0.9997748693649051,1.317672,1.800561,TWN,020443
234886,249,5035,1997,0.0,1.0,1.317672,1.800561,TWN,020450
241412,249,5036,1997,0.0,1.0,1.317672,1.800561,TWN,020500
247938,249,5037,1997,0.0,1.0,1.317672,1.800561,TWN,020610
254464,249,5038,1997,0.0,1.0,1.317672,1.800561,TWN,020621
260990,249,5039,1997,0.0,1.0,1.317672,1.800561,TWN,020622
267516,249,5040,1997,0.005238309439881137,0.9999862799629864,1.317672,1.800561,TWN,020629
274042,249,5041,1997,0.014454351257596254,0.9998955304079131,1.317672,1.800561,TWN,020630
280568,249,5042,1997,0.0,1.0,1.317672,1.800561,TWN,020641
287094,249,5043,1997,0.5082596499686793,0.8612038830693436,1.317672,1.800561,TWN,020649
293620,249,5044,1997,0.0,1.0,1.317672,1.800561,TWN,020680
300146,249,5045,1997,0.02626321245054622,0.9996550623448958,1.317672,1.800561,TWN,020690
306672,249,5046,1997,0.20595760134531418,0.9785609160640356,1.317672,1.800561,TWN,020710
313198,249,5047,1997,0.9999172508321104,0.012864349511516738,1.317672,1.800561,TWN,020721
319724,249,5048,1997,0.009934610561718769,0.9999506505388088,1.317672,1.800561,TWN,020722
326250,249,5049,1997,1.0,0.0,1.317672,1.800561,TWN,020723
332776,249,5050,1997,0.0,1.0,1.317672,1.800561,TWN,020731
339302,249,5051,1997,0.07173551138412801,0.9974236895153723,1.317672,1.800561,TWN,020739
345828,249,5052,1997,0.6686956595907413,0.7435362229538677,1.317672,1.800561,TWN,020741
352354,249,5053,1997,0.0054410983665755,0.99998519711472,1.317672,1.800561,TWN,020742
358880,249,5054,1997,0.9999911452103275,0.004208265787427537,1.317672,1.800561,TWN,020743
365406,249,5055,1997,0.0,0.0,1.317672,1.800561,TWN,020750
371932,249,5056,1997,0.0,0.0,1.317672,1.800561,TWN,020810
378458,249,5057,1997,0.9999671937741607,0.008100084902649924,1.317672,1.800561,TWN,020820
384984,249,5058,1997,0.5527112544627824,0.8333728272449117,1.317672,1.800561,TWN,020890
391510,249,5059,1997,0.022199328613788077,0.9997535645393304,1.317672,1.800561,TWN,020900
398036,249,5060,1997,0.9972596803161549,0.0739806056728424,1.317672,1.800561,TWN,021011
404562,249,5061,1997,0.0,1.0,1.317672,1.800561,TWN,021012
411088,249,5062,1997,0.14238090415045856,0.9898119407914303,1.317672,1.800561,TWN,021019
417614,249,5063,1997,0.0,1.0,1.317672,1.800561,TWN,021020
424140,249,5064,1997,0.8191052961525953,0.5736431938189184,1.317672,1.800561,TWN,021090
430666,249,5065,1997,0.7382356737650535,0.6745428748275808,1.317672,1.800561,TWN,030110
437192,249,5066,1997,0.0,1.0,1.317672,1.800561,TWN,030191
443718,249,5067,1997,0.9911960632354808,0.1324022818024097,1.317672,1.800561,TWN,030192
450244,249,5068,1997,0.9205401315019827,0.39064800817911827,1.317672,1.800561,TWN,030193
456770,249,5069,1997,0.8313464595151638,0.5557544999832227,1.317672,1.800561,TWN,030199
463296,249,5070,1997,0.0,1.0,1.317672,1.800561,TWN,030211
469822,249,5071,1997,0.0,1.0,1.317672,1.800561,TWN,030212
476348,249,5072,1997,0.0,1.0,1.317672,1.800561,TWN,030219
482874,249,5073,1997,0.0,1.0,1.317672,1.800561,TWN,030221
489400,249,5074,1997,0.0,0.0,1.317672,1.800561,TWN,030222
495926,249,5075,1997,0.0,1.0,1.317672,1.800561,TWN,030223
502452,249,5076,1997,0.14341188943125108,0.9896630891216257,1.317672,1.800561,TWN,030229
508978,249,5077,1997,0.7958855990388736,0.6054470358689795,1.317672,1.800561,TWN,030231
515504,249,5078,1997,0.9984558037246709,0.055551849730872085,1.317672,1.800561,TWN,030232
522030,249,5079,1997,0.0,1.0,1.317672,1.800561,TWN,030233
528556,249,5080,1997,0.9999488520820304,0.010114011065328412,1.317672,1.800561,TWN,030239
535082,249,5081,1997,0.0,0.0,1.317672,1.800561,TWN,030240
541608,249,5082,1997,0.0,1.0,1.317672,1.800561,TWN,030250
548134,249,5083,1997,0.0,1.0,1.317672,1.800561,TWN,030261
554660,249,5084,1997,0.0,0.0,1.317672,1.800561,TWN,030262
561186,249,5085,1997,1.0,0.0,1.317672,1.800561,TWN,030263
567712,249,5086,1997,0.036316120906922704,0.9993403521134697,1.317672,1.800561,TWN,030264
574238,249,5087,1997,0.0,1.0,1.317672,1.800561,TWN,030265
580764,249,5088,1997,0.2029704548615846,0.9791848622467983,1.317672,1.800561,TWN,030266
587290,249,5089,1997,0.47601923810266045,0.8794348668071802,1.317672,1.800561,TWN,030269
593816,249,5090,1997,0.002163227673511098,0.999997660220279,1.317672,1.800561,TWN,030270
600342,249,5091,1997,0.0009930851179328205,0.9999995068908527,1.317672,1.800561,TWN,030310
606868,249,5092,1997,0.0,1.0,1.317672,1.800561,TWN,030321
613394,249,5093,1997,0.006748185923433712,0.9999772307341517,1.317672,1.800561,TWN,030322
619920,249,5094,1997,0.590591138383787,0.8069709457363025,1.317672,1.800561,TWN,030329
626446,249,5095,1997,0.003976168234131844,0.9999920950118425,1.317672,1.800561,TWN,030331
632972,249,5096,1997,1.0,0.0,1.317672,1.800561,TWN,030332
639498,249,5097,1997,0.06876092918905054,0.9976331663577842,1.317672,1.800561,TWN,030333
646024,249,5098,1997,0.10362343697155577,0.9946166011635851,1.317672,1.800561,TWN,030339
652550,249,5099,1997,0.9999999859270482,0.00016776740845487722,1.317672,1.800561,TWN,030341
659076,249,5100,1997,0.9999996940762197,0.000782206792936894,1.317672,1.800561,TWN,030342
665602,249,5101,1997,0.9999999000864103,0.0004470203235345817,1.317672,1.800561,TWN,030343
672128,249,5102,1997,0.9999701031175928,0.007732585013475178,1.317672,1.800561,TWN,030349
678654,249,5103,1997,0.0,1.0,1.317672,1.800561,TWN,030350
685180,249,5104,1997,0.0006831253503190316,0.9999997666698506,1.317672,1.800561,TWN,030360
691706,249,5105,1997,0.6917101780215141,0.7221752070110447,1.317672,1.800561,TWN,030371
698232,249,5106,1997,0.0,1.0,1.317672,1.800561,TWN,030372
704758,249,5107,1997,0.04326198179683053,0.9990637621948915,1.317672,1.800561,TWN,030373
711284,249,5108,1997,0.817488899991065,0.5759443535545761,1.317672,1.800561,TWN,030374
717810,249,5109,1997,0.9355243181210686,0.35326229660708125,1.317672,1.800561,TWN,030375
724336,249,5110,1997,0.7711432191044946,0.6366617120804089,1.317672,1.800561,TWN,030376
730862,249,5111,1997,0.9919447583937346,0.12667121336434442,1.317672,1.800561,TWN,030377
737388,249,5112,1997,0.1095292287699358,0.9939835753396848,1.317672,1.800561,TWN,030378
743914,249,5113,1997,0.932536745998202,0.36107508549204137,1.317672,1.800561,TWN,030379
750440,249,5114,1997,0.20427402491348137,0.9789137463258172,1.317672,1.800561,TWN,030380
756966,249,5115,1997,0.9886237422966858,0.15040976087773128,1.317672,1.800561,TWN,030410
763492,249,5116,1997,0.9861840422698005,0.1656533572626783,1.317672,1.800561,TWN,030420
770018,249,5117,1997,0.434447814609548,0.9006970058687815,1.317672,1.800561,TWN,030490
776544,249,5118,1997,0.8229287362920195,0.5681446074590693,1.317672,1.800561,TWN,030510
783070,249,5119,1997,0.9955502922236359,0.09423171256765621,1.317672,1.800561,TWN,030520
789596,249,5120,1997,0.9962401385124102,0.08663478756696721,1.317672,1.800561,TWN,030530
796122,249,5121,1997,0.00491098913241529,0.9999879410201611,1.317672,1.800561,TWN,030541
802648,249,5122,1997,0.0,0.0,1.317672,1.800561,TWN,030542
809174,249,5123,1997,0.635682684907107,0.7719504673936611,1.317672,1.800561,TWN,030549
815700,249,5124,1997,0.5625862964760238,0.8267385675153853,1.317672,1.800561,TWN,030551
822226,249,5125,1997,0.8260077241970629,0.5636587971164724,1.317672,1.800561,TWN,030559
828752,249,5126,1997,0.0,0.0,1.317672,1.800561,TWN,030561
835278,249,5127,1997,0.0,0.0,1.317672,1.800561,TWN,030562
841804,249,5128,1997,0.1533718669949525,0.9881685435260944,1.317672,1.800561,TWN,030563
848330,249,5129,1997,0.9266380956270128,0.37595457136832755,1.317672,1.800561,TWN,030569
854856,249,5130,1997,0.04936596796434663,0.9987807573271239,1.317672,1.800561,TWN,030611
861382,249,5131,1997,0.0,1.0,1.317672,1.800561,TWN,030612
867908,249,5132,1997,0.2169074542073869,0.9761921718131479,1.317672,1.800561,TWN,030613
874434,249,5133,1997,0.03346431003704943,0.9994399131282202,1.317672,1.800561,TWN,030614
880960,249,5134,1997,0.8350626042725158,0.5501549299475593,1.317672,1.800561,TWN,030619
887486,249,5135,1997,0.01590470323537866,0.9998735122079165,1.317672,1.800561,TWN,030621
894012,249,5136,1997,0.008694503537674744,0.9999622020897757,1.317672,1.800561,TWN,030622
900538,249,5137,1997,0.8236740018095392,0.5670636108436683,1.317672,1.800561,TWN,030623
907064,249,5138,1997,0.0007080626026113796,0.999999749323644,1.317672,1.800561,TWN,030624
913590,249,5139,1997,0.18220347945500445,0.9832608464057185,1.317672,1.800561,TWN,030629
920116,249,5140,1997,0.004585691963839224,0.9999894856593307,1.317672,1.800561,TWN,030710
926642,249,5141,1997,0.0,1.0,1.317672,1.800561,TWN,030721
933168,249,5142,1997,0.011145970909211598,0.9999378817369062,1.317672,1.800561,TWN,030729
939694,249,5143,1997,0.0,1.0,1.317672,1.800561,TWN,030731
946220,249,5144,1997,0.8466814194362801,0.5321001540888387,1.317672,1.800561,TWN,030739
952746,249,5145,1997,0.13277676327779828,0.991145968630994,1.317672,1.800561,TWN,030741
959272,249,5146,1997,0.9183963356320387,0.3956616871743379,1.317672,1.800561,TWN,030749
965798,249,5147,1997,0.53591616730315,0.8442712014649689,1.317672,1.800561,TWN,030751
972324,249,5148,1997,0.2843595070881842,0.9587177221312668,1.317672,1.800561,TWN,030759
978850,249,5149,1997,0.0007791868555065433,0.9999996964338761,1.317672,1.800561,TWN,030760
985376,249,5150,1997,0.6605036756871597,0.7508228115898926,1.317672,1.800561,TWN,030791
991902,249,5151,1997,0.052702250028160265,0.9986102707472867,1.317672,1.800561,TWN,030799
998428,249,5152,1997,0.024504344184510064,0.9996997234750479,1.317672,1.800561,TWN,040110
1004954,249,5153,1997,0.007258751721760406,0.9999736549146891,1.317672,1.800561,TWN,040120
1011480,249,5154,1997,0.0032418428309184673,0.9999947452137233,1.317672,1.800561,TWN,040130
1018006,249,5155,1997,0.004771713910270533,0.9999886153083737,1.317672,1.800561,TWN,040210
1024532,249,5156,1997,0.01216992246088415,0.9999259437514841,1.317672,1.800561,TWN,040221
1031058,249,5157,1997,0.0022350646408051604,0.9999975022399064,1.317672,1.800561,TWN,040229
1037584,249,5158,1997,0.012048573381953812,0.9999274133053156,1.317672,1.800561,TWN,040291
1044110,249,5159,1997,0.4835590501206087,0.8753117416363468,1.317672,1.800561,TWN,040299
1050636,249,5160,1997,0.036246438930556096,0.999342881930348,1.317672,1.800561,TWN,040310
1057162,249,5161,1997,0.003142283416021025,0.9999950630152799,1.317672,1.800561,TWN,040390
1063688,249,5162,1997,0.04757064249885732,0.9988678761338989,1.317672,1.800561,TWN,040410
1070214,249,5163,1997,0.004642279117355658,0.9999892245642432,1.317672,1.800561,TWN,040490
1076740,249,5164,1997,0.016292864575433958,0.9998672624723376,1.317672,1.800561,TWN,040500
1083266,249,5165,1997,0.07408360237559376,0.9972520342717055,1.317672,1.800561,TWN,040610
1089792,249,5166,1997,0.006295443362032059,0.9999801835000908,1.317672,1.800561,TWN,040620
1096318,249,5167,1997,0.0,1.0,1.317672,1.800561,TWN,040630
1102844,249,5168,1997,0.0,1.0,1.317672,1.800561,TWN,040640
1109370,249,5169,1997,0.0013509151284840759,0.9999990875137414,1.317672,1.800561,TWN,040690
1115896,249,5170,1997,0.9975375808785595,0.07013397703646346,1.317672,1.800561,TWN,040700
1122422,249,5171,1997,0.12511744848399256,0.9921419374690577,1.317672,1.800561,TWN,040811
1128948,249,5172,1997,0.830100683517036,0.5576135357257296,1.317672,1.800561,TWN,040819
1135474,249,5173,1997,0.8499397448268907,0.5268799010814512,1.317672,1.800561,TWN,040891
