,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5897,226,5000,2016,0.9527729855450833,0.30368345034839944,-1.1008799999999999,-0.048319,TZA,010111
12423,226,5001,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,010119
18949,226,5002,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,010120
25475,226,5003,2016,0.8347523257775559,0.5506256029362977,-1.1008799999999999,-0.048319,TZA,010210
32001,226,5004,2016,0.9989233445684406,0.04639128879650495,-1.1008799999999999,-0.048319,TZA,010290
38527,226,5005,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,010310
45053,226,5006,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,010391
51579,226,5007,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,010392
58105,226,5008,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,010410
64631,226,5009,2016,0.25505213895237,0.9669273015153832,-1.1008799999999999,-0.048319,TZA,010420
71157,226,5010,2016,0.00829712092842163,0.9999655782997229,-1.1008799999999999,-0.048319,TZA,010511
77683,226,5011,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,010519
84209,226,5012,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,010591
90735,226,5013,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,010599
97261,226,5014,2016,0.988233516076073,0.15295266491278312,-1.1008799999999999,-0.048319,TZA,010600
103787,226,5015,2016,0.8847954221761203,0.4659796786300676,-1.1008799999999999,-0.048319,TZA,020110
110313,226,5016,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020120
116839,226,5017,2016,0.4819488389150073,0.8761993589751572,-1.1008799999999999,-0.048319,TZA,020130
123365,226,5018,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020210
129891,226,5019,2016,0.007884791965002512,0.9999689145446816,-1.1008799999999999,-0.048319,TZA,020220
136417,226,5020,2016,0.9910348351359647,0.13360372579771565,-1.1008799999999999,-0.048319,TZA,020230
142943,226,5021,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020311
149469,226,5022,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020312
155995,226,5023,2016,0.03895520083157879,0.9992409580917765,-1.1008799999999999,-0.048319,TZA,020319
162521,226,5024,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020321
169047,226,5025,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020322
175573,226,5026,2016,0.003338494345023931,0.9999944272122262,-1.1008799999999999,-0.048319,TZA,020329
182099,226,5027,2016,0.9518926702301281,0.30643163081208924,-1.1008799999999999,-0.048319,TZA,020410
188625,226,5028,2016,0.6985535658713201,0.715557765388975,-1.1008799999999999,-0.048319,TZA,020421
195151,226,5029,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020422
201677,226,5030,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020423
208203,226,5031,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020430
214729,226,5032,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020441
221255,226,5033,2016,0.996292685870994,0.08602839112735386,-1.1008799999999999,-0.048319,TZA,020442
227781,226,5034,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020443
234307,226,5035,2016,0.9999994235684897,0.0010737144351639512,-1.1008799999999999,-0.048319,TZA,020450
240833,226,5036,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,020500
247359,226,5037,2016,0.09990571864322817,0.9949969082275484,-1.1008799999999999,-0.048319,TZA,020610
253885,226,5038,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020621
260411,226,5039,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020622
266937,226,5040,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020629
273463,226,5041,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020630
279989,226,5042,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020641
286515,226,5043,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020649
293041,226,5044,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020680
299567,226,5045,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020690
306093,226,5046,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020710
312619,226,5047,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020721
319145,226,5048,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020722
325671,226,5049,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020723
332197,226,5050,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020731
338723,226,5051,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020739
345249,226,5052,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020741
351775,226,5053,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020742
358301,226,5054,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020743
364827,226,5055,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020750
371353,226,5056,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020810
377879,226,5057,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020820
384405,226,5058,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,020890
390931,226,5059,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,020900
397457,226,5060,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,021011
403983,226,5061,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,021012
410509,226,5062,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,021019
417035,226,5063,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,021020
423561,226,5064,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,021090
430087,226,5065,2016,0.9993981729531287,0.03468849806417532,-1.1008799999999999,-0.048319,TZA,030110
436613,226,5066,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030191
443139,226,5067,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030192
449665,226,5068,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030193
456191,226,5069,2016,0.9999660399432266,0.008241296030422925,-1.1008799999999999,-0.048319,TZA,030199
462717,226,5070,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,030211
469243,226,5071,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,030212
475769,226,5072,2016,0.4212098270919755,0.9069632195194842,-1.1008799999999999,-0.048319,TZA,030219
482295,226,5073,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030221
488821,226,5074,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030222
495347,226,5075,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030223
501873,226,5076,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030229
508399,226,5077,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030231
514925,226,5078,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030232
521451,226,5079,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030233
527977,226,5080,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030239
534503,226,5081,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030240
541029,226,5082,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030250
547555,226,5083,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030261
554081,226,5084,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030262
560607,226,5085,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030263
567133,226,5086,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030264
573659,226,5087,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030265
580185,226,5088,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030266
586711,226,5089,2016,0.9997924776771184,0.020371587573099238,-1.1008799999999999,-0.048319,TZA,030269
593237,226,5090,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030270
599763,226,5091,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030310
606289,226,5092,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030321
612815,226,5093,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030322
619341,226,5094,2016,0.7668311205873918,0.6418489171905526,-1.1008799999999999,-0.048319,TZA,030329
625867,226,5095,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030331
632393,226,5096,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030332
638919,226,5097,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030333
645445,226,5098,2016,0.9455451533678453,0.3254909567754192,-1.1008799999999999,-0.048319,TZA,030339
651971,226,5099,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030341
658497,226,5100,2016,0.9743560809069773,0.22501161658811297,-1.1008799999999999,-0.048319,TZA,030342
665023,226,5101,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,030343
671549,226,5102,2016,0.7050392423477875,0.7091682922618988,-1.1008799999999999,-0.048319,TZA,030349
678075,226,5103,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030350
684601,226,5104,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030360
691127,226,5105,2016,0.9343979531125334,0.35623091558581477,-1.1008799999999999,-0.048319,TZA,030371
697653,226,5106,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030372
704179,226,5107,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030373
710705,226,5108,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,030374
717231,226,5109,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030375
723757,226,5110,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030376
730283,226,5111,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030377
736809,226,5112,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030378
743335,226,5113,2016,0.6558441236633828,0.7548963408682079,-1.1008799999999999,-0.048319,TZA,030379
749861,226,5114,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030380
756387,226,5115,2016,0.9999982073463771,0.0018934899080800304,-1.1008799999999999,-0.048319,TZA,030410
762913,226,5116,2016,0.9999813955223771,0.006099885992315066,-1.1008799999999999,-0.048319,TZA,030420
769439,226,5117,2016,0.9999997361785085,0.0007263903314312005,-1.1008799999999999,-0.048319,TZA,030490
775965,226,5118,2016,0.36074147529595285,0.9326658501313851,-1.1008799999999999,-0.048319,TZA,030510
782491,226,5119,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030520
789017,226,5120,2016,0.9997111604065124,0.024033221978428016,-1.1008799999999999,-0.048319,TZA,030530
795543,226,5121,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,030541
802069,226,5122,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030542
808595,226,5123,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030549
815121,226,5124,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030551
821647,226,5125,2016,0.9999980280868238,0.0019859059554539395,-1.1008799999999999,-0.048319,TZA,030559
828173,226,5126,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030561
834699,226,5127,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030562
841225,226,5128,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030563
847751,226,5129,2016,0.9999999464007858,0.0003274117066105277,-1.1008799999999999,-0.048319,TZA,030569
854277,226,5130,2016,0.9999774083389474,0.006721816102964892,-1.1008799999999999,-0.048319,TZA,030611
860803,226,5131,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030612
867329,226,5132,2016,0.9999551224753229,0.009473807859679507,-1.1008799999999999,-0.048319,TZA,030613
873855,226,5133,2016,0.9999898130963335,0.0045137239126964756,-1.1008799999999999,-0.048319,TZA,030614
880381,226,5134,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030619
886907,226,5135,2016,0.9999964776253764,0.002654192314090967,-1.1008799999999999,-0.048319,TZA,030621
893433,226,5136,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030622
899959,226,5137,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030623
906485,226,5138,2016,0.9999999405034339,0.00034495380655842975,-1.1008799999999999,-0.048319,TZA,030624
913011,226,5139,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030629
919537,226,5140,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030710
926063,226,5141,2016,0.6380121155141808,0.7700263245221682,-1.1008799999999999,-0.048319,TZA,030721
932589,226,5142,2016,0.8219719564126117,0.5695279649597758,-1.1008799999999999,-0.048319,TZA,030729
939115,226,5143,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030731
945641,226,5144,2016,0.9991375129449941,0.04152385129165668,-1.1008799999999999,-0.048319,TZA,030739
952167,226,5145,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030741
958693,226,5146,2016,0.9294034818983812,0.3690652622981002,-1.1008799999999999,-0.048319,TZA,030749
965219,226,5147,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,030751
971745,226,5148,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030759
978271,226,5149,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030760
984797,226,5150,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030791
991323,226,5151,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,030799
997849,226,5152,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040110
1004375,226,5153,2016,0.006207137721434972,0.9999807355350938,-1.1008799999999999,-0.048319,TZA,040120
1010901,226,5154,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040130
1017427,226,5155,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040210
1023953,226,5156,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040221
1030479,226,5157,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040229
1037005,226,5158,2016,0.08774680832183103,0.9961428098567655,-1.1008799999999999,-0.048319,TZA,040291
1043531,226,5159,2016,0.0769999440162701,0.997031097118586,-1.1008799999999999,-0.048319,TZA,040299
1050057,226,5160,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040310
1056583,226,5161,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040390
1063109,226,5162,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040410
1069635,226,5163,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040490
1076161,226,5164,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040500
1082687,226,5165,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040610
1089213,226,5166,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040620
1095739,226,5167,2016,0.0030716362874716567,0.9999952825141315,-1.1008799999999999,-0.048319,TZA,040630
1102265,226,5168,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040640
1108791,226,5169,2016,0.03294867131340406,0.9994570451293449,-1.1008799999999999,-0.048319,TZA,040690
1115317,226,5170,2016,0.10393470568633183,0.9945841226130124,-1.1008799999999999,-0.048319,TZA,040700
1121843,226,5171,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040811
1128369,226,5172,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,040819
1134895,226,5173,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,040891
1141421,226,5174,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,040899
1147947,226,5175,2016,0.9985954162368925,0.052982965853824435,-1.1008799999999999,-0.048319,TZA,040900
1154473,226,5176,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,041000
1160999,226,5177,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,050100
1167525,226,5178,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,050210
1174051,226,5179,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,050290
1180577,226,5180,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,050300
1187103,226,5181,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,050400
1193629,226,5182,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,050510
1200155,226,5183,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,050590
1206681,226,5184,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,050610
1213207,226,5185,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,050690
1219733,226,5186,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,050710
1226259,226,5187,2016,0.999925005304994,0.012246785937855718,-1.1008799999999999,-0.048319,TZA,050790
1232785,226,5188,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,050800
1239311,226,5189,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,050900
1245837,226,5190,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,051000
1252363,226,5191,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,051110
1258889,226,5192,2016,0.9999846552050556,0.0055397973271683505,-1.1008799999999999,-0.048319,TZA,051191
1265415,226,5193,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,051199
1271941,226,5194,2016,0.06936277647742965,0.9975915021888178,-1.1008799999999999,-0.048319,TZA,060110
1278467,226,5195,2016,0.9953922400447324,0.09588685237679827,-1.1008799999999999,-0.048319,TZA,060120
1284993,226,5196,2016,0.9990361530620152,0.04389492994697333,-1.1008799999999999,-0.048319,TZA,060210
1291519,226,5197,2016,0.0,1.0,-1.1008799999999999,-0.048319,TZA,060220
1298045,226,5198,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,060230
1304571,226,5199,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,060240
1311097,226,5200,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,060291
1317623,226,5201,2016,0.9941696753422457,0.10782697542773748,-1.1008799999999999,-0.048319,TZA,060299
1324149,226,5202,2016,0.9999997359486725,0.0007267066707520947,-1.1008799999999999,-0.048319,TZA,060310
1330675,226,5203,2016,0.9997916651950771,0.02041142343039489,-1.1008799999999999,-0.048319,TZA,060390
1337201,226,5204,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,060410
1343727,226,5205,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,060491
1350253,226,5206,2016,1.0,0.0,-1.1008799999999999,-0.048319,TZA,060499
1356779,226,5207,2016,0.0,0.0,-1.1008799999999999,-0.048319,TZA,070110
