,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5924,227,5000,2017,7.991086714424844e-10,4.159484177467015e-10,-0.6831020000000001,-0.046838,UGA,010111
12450,227,5001,2017,0.0,2.423106679000904e-09,-0.6831020000000001,-0.046838,UGA,010119
18976,227,5002,2017,6.272866704156021e-10,0.0,-0.6831020000000001,-0.046838,UGA,010120
25502,227,5003,2017,3.149476066230033e-07,3.600754422377461e-08,-0.6831020000000001,-0.046838,UGA,010210
32028,227,5004,2017,7.919903313999421e-08,0.0,-0.6831020000000001,-0.046838,UGA,010290
38554,227,5005,2017,0.0,1.8097567651506683e-08,-0.6831020000000001,-0.046838,UGA,010310
45080,227,5006,2017,0.0,1.261732296031807e-08,-0.6831020000000001,-0.046838,UGA,010391
51606,227,5007,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,010392
58132,227,5008,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,010410
64658,227,5009,2017,2.4794490518552928e-09,1.1099691243296439e-08,-0.6831020000000001,-0.046838,UGA,010420
71184,227,5010,2017,7.22409996910026e-09,6.950753263959067e-07,-0.6831020000000001,-0.046838,UGA,010511
77710,227,5011,2017,0.0,3.705420964468623e-10,-0.6831020000000001,-0.046838,UGA,010519
84236,227,5012,2017,0.0,5.523208351262321e-07,-0.6831020000000001,-0.046838,UGA,010591
90762,227,5013,2017,4.25160965503908e-09,4.752218958581119e-08,-0.6831020000000001,-0.046838,UGA,010599
97288,227,5014,2017,1.41457689734301e-09,3.721462321774552e-08,-0.6831020000000001,-0.046838,UGA,010600
103814,227,5015,2017,0.0,4.1190493512000045e-09,-0.6831020000000001,-0.046838,UGA,020110
110340,227,5016,2017,1.3958492083421962e-08,2.4665244022876114e-09,-0.6831020000000001,-0.046838,UGA,020120
116866,227,5017,2017,9.153839832485069e-09,7.36013267960239e-09,-0.6831020000000001,-0.046838,UGA,020130
123392,227,5018,2017,6.114075295799608e-09,0.0,-0.6831020000000001,-0.046838,UGA,020210
129918,227,5019,2017,1.3131807041444299e-08,3.509544060175157e-09,-0.6831020000000001,-0.046838,UGA,020220
136444,227,5020,2017,5.386877313675781e-08,1.1539834270202909e-08,-0.6831020000000001,-0.046838,UGA,020230
142970,227,5021,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020311
149496,227,5022,2017,5.494970625432905e-09,7.394270278827816e-10,-0.6831020000000001,-0.046838,UGA,020312
156022,227,5023,2017,0.0,8.86583280854523e-10,-0.6831020000000001,-0.046838,UGA,020319
162548,227,5024,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020321
169074,227,5025,2017,0.0,1.4505828206788752e-08,-0.6831020000000001,-0.046838,UGA,020322
175600,227,5026,2017,6.232259740950373e-09,2.1435893422751204e-07,-0.6831020000000001,-0.046838,UGA,020329
182126,227,5027,2017,0.0,6.661803343990995e-10,-0.6831020000000001,-0.046838,UGA,020410
188652,227,5028,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020421
195178,227,5029,2017,0.0,1.0426882248853568e-09,-0.6831020000000001,-0.046838,UGA,020422
201704,227,5030,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020423
208230,227,5031,2017,5.866494035060696e-09,0.0,-0.6831020000000001,-0.046838,UGA,020430
214756,227,5032,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020441
221282,227,5033,2017,2.1902608056825348e-08,9.919789755504999e-10,-0.6831020000000001,-0.046838,UGA,020442
227808,227,5034,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020443
234334,227,5035,2017,3.005672869815048e-08,0.0,-0.6831020000000001,-0.046838,UGA,020450
240860,227,5036,2017,1.816373707151728e-08,0.0,-0.6831020000000001,-0.046838,UGA,020500
247386,227,5037,2017,1.3238603354675153e-06,0.0,-0.6831020000000001,-0.046838,UGA,020610
253912,227,5038,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020621
260438,227,5039,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020622
266964,227,5040,2017,1.2666039112734743e-08,1.301901975897066e-08,-0.6831020000000001,-0.046838,UGA,020629
273490,227,5041,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020630
280016,227,5042,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020641
286542,227,5043,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020649
293068,227,5044,2017,1.2207059213695386e-07,3.050376778943061e-08,-0.6831020000000001,-0.046838,UGA,020680
299594,227,5045,2017,4.6260119165359294e-08,3.4508804187877732e-09,-0.6831020000000001,-0.046838,UGA,020690
306120,227,5046,2017,1.2022146012590266e-07,5.034467303244936e-10,-0.6831020000000001,-0.046838,UGA,020710
312646,227,5047,2017,6.78715086278516e-08,2.162368336179127e-08,-0.6831020000000001,-0.046838,UGA,020721
319172,227,5048,2017,0.0,1.1322745653769372e-08,-0.6831020000000001,-0.046838,UGA,020722
325698,227,5049,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020723
332224,227,5050,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020731
338750,227,5051,2017,2.545844467066915e-08,7.139066867142589e-10,-0.6831020000000001,-0.046838,UGA,020739
345276,227,5052,2017,4.834652917782858e-08,2.970203135713637e-08,-0.6831020000000001,-0.046838,UGA,020741
351802,227,5053,2017,2.9485503879921777e-10,0.0,-0.6831020000000001,-0.046838,UGA,020742
358328,227,5054,2017,1.7964035662916373e-09,0.0,-0.6831020000000001,-0.046838,UGA,020743
364854,227,5055,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020750
371380,227,5056,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020810
377906,227,5057,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,020820
384432,227,5058,2017,1.3070260218854248e-07,2.513256455596205e-09,-0.6831020000000001,-0.046838,UGA,020890
390958,227,5059,2017,4.4667659526212437e-10,2.257058744904412e-10,-0.6831020000000001,-0.046838,UGA,020900
397484,227,5060,2017,2.611270163754224e-09,7.54341512981269e-09,-0.6831020000000001,-0.046838,UGA,021011
404010,227,5061,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,021012
410536,227,5062,2017,5.775885960445109e-10,2.935647930905453e-07,-0.6831020000000001,-0.046838,UGA,021019
417062,227,5063,2017,2.1236229608398338e-08,1.941865959823047e-09,-0.6831020000000001,-0.046838,UGA,021020
423588,227,5064,2017,5.972860035696385e-10,2.8784956240080493e-09,-0.6831020000000001,-0.046838,UGA,021090
430114,227,5065,2017,9.582334205416306e-09,1.767200767669651e-09,-0.6831020000000001,-0.046838,UGA,030110
436640,227,5066,2017,0.0,1.3456179888857433e-10,-0.6831020000000001,-0.046838,UGA,030191
443166,227,5067,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,030192
449692,227,5068,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,030193
456218,227,5069,2017,6.042558554631452e-10,0.0,-0.6831020000000001,-0.046838,UGA,030199
462744,227,5070,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,030211
469270,227,5071,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,030212
475796,227,5072,2017,4.9150183404853786e-08,9.62481438355714e-10,-0.6831020000000001,-0.046838,UGA,030219
482322,227,5073,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,030221
488848,227,5074,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,030222
495374,227,5075,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,030223
501900,227,5076,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,030229
508426,227,5077,2017,0.0,0.0,-0.6831020000000001,-0.046838,UGA,030231
