,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5941,228,5000,2008,497172.0,1967017.0,0.59355,0.764415,UKR,010111
12467,228,5001,2008,83393.0,1806712.0,0.59355,0.764415,UKR,010119
18993,228,5002,2008,,,0.59355,0.764415,UKR,010120
25519,228,5003,2008,5583520.0,6727854.0,0.59355,0.764415,UKR,010210
32045,228,5004,2008,0.0,62112.0,0.59355,0.764415,UKR,010290
38571,228,5005,2008,0.0,4037009.0,0.59355,0.764415,UKR,010310
45097,228,5006,2008,0.0,1251025.0,0.59355,0.764415,UKR,010391
51623,228,5007,2008,0.0,16262718.0,0.59355,0.764415,UKR,010392
58149,228,5008,2008,0.0,67817.0,0.59355,0.764415,UKR,010410
64675,228,5009,2008,1925.0,0.0,0.59355,0.764415,UKR,010420
71201,228,5010,2008,270757.0,43168201.0,0.59355,0.764415,UKR,010511
77727,228,5011,2008,0.0,2792251.0,0.59355,0.764415,UKR,010519
84253,228,5012,2008,,,0.59355,0.764415,UKR,010591
90779,228,5013,2008,,,0.59355,0.764415,UKR,010599
97305,228,5014,2008,2034904.0,920884.0,0.59355,0.764415,UKR,010600
103831,228,5015,2008,,,0.59355,0.764415,UKR,020110
110357,228,5016,2008,0.0,385980.0,0.59355,0.764415,UKR,020120
116883,228,5017,2008,7716.0,322267.0,0.59355,0.764415,UKR,020130
123409,228,5018,2008,61844168.0,0.0,0.59355,0.764415,UKR,020210
129935,228,5019,2008,2541.0,81312.0,0.59355,0.764415,UKR,020220
136461,228,5020,2008,291393.0,84021859.0,0.59355,0.764415,UKR,020230
142987,228,5021,2008,5359.0,171543386.0,0.59355,0.764415,UKR,020311
149513,228,5022,2008,4563.0,1784633.0,0.59355,0.764415,UKR,020312
156039,228,5023,2008,32015.0,3615860.0,0.59355,0.764415,UKR,020319
162565,228,5024,2008,167227.0,107606589.0,0.59355,0.764415,UKR,020321
169091,228,5025,2008,0.0,5055643.0,0.59355,0.764415,UKR,020322
175617,228,5026,2008,36188.0,134511291.0,0.59355,0.764415,UKR,020329
182143,228,5027,2008,0.0,1190.0,0.59355,0.764415,UKR,020410
188669,228,5028,2008,0.0,5425.0,0.59355,0.764415,UKR,020421
195195,228,5029,2008,0.0,324222.0,0.59355,0.764415,UKR,020422
201721,228,5030,2008,0.0,75825.0,0.59355,0.764415,UKR,020423
208247,228,5031,2008,,,0.59355,0.764415,UKR,020430
214773,228,5032,2008,0.0,54929.0,0.59355,0.764415,UKR,020441
221299,228,5033,2008,0.0,136557.0,0.59355,0.764415,UKR,020442
227825,228,5034,2008,3083.0,84793.0,0.59355,0.764415,UKR,020443
234351,228,5035,2008,,,0.59355,0.764415,UKR,020450
240877,228,5036,2008,,,0.59355,0.764415,UKR,020500
247403,228,5037,2008,0.0,178953.0,0.59355,0.764415,UKR,020610
253929,228,5038,2008,1000.0,2527043.0,0.59355,0.764415,UKR,020621
260455,228,5039,2008,0.0,2449408.0,0.59355,0.764415,UKR,020622
266981,228,5040,2008,59525.0,331014.0,0.59355,0.764415,UKR,020629
273507,228,5041,2008,0.0,245061.0,0.59355,0.764415,UKR,020630
280033,228,5042,2008,4075.0,3392266.0,0.59355,0.764415,UKR,020641
286559,228,5043,2008,0.0,27293614.0,0.59355,0.764415,UKR,020649
293085,228,5044,2008,,,0.59355,0.764415,UKR,020680
299611,228,5045,2008,,,0.59355,0.764415,UKR,020690
306137,228,5046,2008,1751.0,7208206.0,0.59355,0.764415,UKR,020710
312663,228,5047,2008,8008913.0,14851318.0,0.59355,0.764415,UKR,020721
319189,228,5048,2008,0.0,19331.0,0.59355,0.764415,UKR,020722
325715,228,5049,2008,272285.0,108527.0,0.59355,0.764415,UKR,020723
332241,228,5050,2008,,,0.59355,0.764415,UKR,020731
338767,228,5051,2008,132489.0,1024855.0,0.59355,0.764415,UKR,020739
345293,228,5052,2008,1845766.0,231245404.0,0.59355,0.764415,UKR,020741
351819,228,5053,2008,37651.0,8978619.0,0.59355,0.764415,UKR,020742
358345,228,5054,2008,173883.0,114999.0,0.59355,0.764415,UKR,020743
364871,228,5055,2008,,,0.59355,0.764415,UKR,020750
371397,228,5056,2008,0.0,36702.0,0.59355,0.764415,UKR,020810
377923,228,5057,2008,0.0,1996.0,0.59355,0.764415,UKR,020820
384449,228,5058,2008,0.0,70232.0,0.59355,0.764415,UKR,020890
390975,228,5059,2008,1119.0,34391710.0,0.59355,0.764415,UKR,020900
