,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5961,229,5000,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010111
12487,229,5001,2002,0.0,1.0,0.317662,-0.46541000000000005,UMI,010119
19013,229,5002,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010120
25539,229,5003,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010210
32065,229,5004,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010290
38591,229,5005,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010310
45117,229,5006,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010391
51643,229,5007,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010392
58169,229,5008,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010410
64695,229,5009,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010420
71221,229,5010,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010511
77747,229,5011,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010519
84273,229,5012,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010591
90799,229,5013,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010599
97325,229,5014,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,010600
103851,229,5015,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020110
110377,229,5016,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020120
116903,229,5017,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020130
123429,229,5018,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020210
129955,229,5019,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020220
136481,229,5020,2002,0.0,1.0,0.317662,-0.46541000000000005,UMI,020230
143007,229,5021,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020311
149533,229,5022,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020312
156059,229,5023,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020319
162585,229,5024,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020321
169111,229,5025,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020322
175637,229,5026,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020329
182163,229,5027,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020410
188689,229,5028,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020421
195215,229,5029,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020422
201741,229,5030,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020423
208267,229,5031,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020430
214793,229,5032,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020441
221319,229,5033,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020442
227845,229,5034,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020443
234371,229,5035,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020450
240897,229,5036,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020500
247423,229,5037,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020610
253949,229,5038,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020621
260475,229,5039,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020622
267001,229,5040,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020629
273527,229,5041,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020630
280053,229,5042,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020641
286579,229,5043,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020649
293105,229,5044,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020680
299631,229,5045,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020690
306157,229,5046,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020710
312683,229,5047,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020721
319209,229,5048,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020722
325735,229,5049,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020723
332261,229,5050,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020731
338787,229,5051,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020739
345313,229,5052,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020741
351839,229,5053,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020742
358365,229,5054,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020743
364891,229,5055,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020750
371417,229,5056,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020810
377943,229,5057,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020820
384469,229,5058,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020890
390995,229,5059,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,020900
397521,229,5060,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,021011
404047,229,5061,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,021012
410573,229,5062,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,021019
417099,229,5063,2002,0.0,0.0,0.317662,-0.46541000000000005,UMI,021020
