,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
5998,230,5000,2013,0.360295238910247,0.9328383251231738,0.20190999999999998,-0.19777999999999998,URY,010111
12524,230,5001,2013,0.681493825358489,0.7318238626870902,0.20190999999999998,-0.19777999999999998,URY,010119
19050,230,5002,2013,1.0,0.0,0.20190999999999998,-0.19777999999999998,URY,010120
25576,230,5003,2013,0.9999401903984036,0.010936892886196986,0.20190999999999998,-0.19777999999999998,URY,010210
32102,230,5004,2013,0.9999679211922682,0.008009780672020453,0.20190999999999998,-0.19777999999999998,URY,010290
38628,230,5005,2013,0.7449786457468315,0.6670883130300043,0.20190999999999998,-0.19777999999999998,URY,010310
45154,230,5006,2013,0.0,0.0,0.20190999999999998,-0.19777999999999998,URY,010391
51680,230,5007,2013,0.0,0.0,0.20190999999999998,-0.19777999999999998,URY,010392
58206,230,5008,2013,0.9999949742604175,0.003170402798835457,0.20190999999999998,-0.19777999999999998,URY,010410
64732,230,5009,2013,0.0,1.0,0.20190999999999998,-0.19777999999999998,URY,010420
71258,230,5010,2013,0.0,1.0,0.20190999999999998,-0.19777999999999998,URY,010511
77784,230,5011,2013,0.0,0.0,0.20190999999999998,-0.19777999999999998,URY,010519
84310,230,5012,2013,0.0,0.0,0.20190999999999998,-0.19777999999999998,URY,010591
90836,230,5013,2013,0.0,0.0,0.20190999999999998,-0.19777999999999998,URY,010599
97362,230,5014,2013,0.999716937940523,0.023791679108976407,0.20190999999999998,-0.19777999999999998,URY,010600
103888,230,5015,2013,0.0,0.0,0.20190999999999998,-0.19777999999999998,URY,020110
110414,230,5016,2013,0.9999817852958375,0.006035650466146995,0.20190999999999998,-0.19777999999999998,URY,020120
116940,230,5017,2013,0.9999319723698082,0.011664074443566371,0.20190999999999998,-0.19777999999999998,URY,020130
123466,230,5018,2013,0.9675657656688811,0.2526192571946798,0.20190999999999998,-0.19777999999999998,URY,020210
129992,230,5019,2013,0.9999628194611347,0.008623206789711966,0.20190999999999998,-0.19777999999999998,URY,020220
136518,230,5020,2013,0.9999977462842681,0.002123070037587247,0.20190999999999998,-0.19777999999999998,URY,020230
143044,230,5021,2013,0.0,1.0,0.20190999999999998,-0.19777999999999998,URY,020311
149570,230,5022,2013,0.0,1.0,0.20190999999999998,-0.19777999999999998,URY,020312
156096,230,5023,2013,0.7139840267631635,0.7001619880620898,0.20190999999999998,-0.19777999999999998,URY,020319
162622,230,5024,2013,0.0,1.0,0.20190999999999998,-0.19777999999999998,URY,020321
169148,230,5025,2013,0.0,1.0,0.20190999999999998,-0.19777999999999998,URY,020322
175674,230,5026,2013,7.219227345883137e-05,0.9999999973941377,0.20190999999999998,-0.19777999999999998,URY,020329
182200,230,5027,2013,0.9999976531248225,0.002166505215097854,0.20190999999999998,-0.19777999999999998,URY,020410
188726,230,5028,2013,1.0,0.0,0.20190999999999998,-0.19777999999999998,URY,020421
195252,230,5029,2013,0.0,0.0,0.20190999999999998,-0.19777999999999998,URY,020422
201778,230,5030,2013,1.0,0.0,0.20190999999999998,-0.19777999999999998,URY,020423
208304,230,5031,2013,0.99997003539267,0.007741338177742745,0.20190999999999998,-0.19777999999999998,URY,020430
214830,230,5032,2013,0.9998525752714429,0.017170548129392924,0.20190999999999998,-0.19777999999999998,URY,020441
221356,230,5033,2013,0.9999986008133142,0.0016728333491455004,0.20190999999999998,-0.19777999999999998,URY,020442
227882,230,5034,2013,0.9999997537649419,0.0007017621076702503,0.20190999999999998,-0.19777999999999998,URY,020443
234408,230,5035,2013,0.0,0.0,0.20190999999999998,-0.19777999999999998,URY,020450
240934,230,5036,2013,0.9999178631186063,0.01281666947065905,0.20190999999999998,-0.19777999999999998,URY,020500
247460,230,5037,2013,1.0,0.0,0.20190999999999998,-0.19777999999999998,URY,020610
253986,230,5038,2013,0.9997636618325241,0.021739836228052024,0.20190999999999998,-0.19777999999999998,URY,020621
260512,230,5039,2013,1.0,0.0,0.20190999999999998,-0.19777999999999998,URY,020622
267038,230,5040,2013,0.9999648445305094,0.008385088137531003,0.20190999999999998,-0.19777999999999998,URY,020629
273564,230,5041,2013,0.0,0.0,0.20190999999999998,-0.19777999999999998,URY,020630
280090,230,5042,2013,0.30425276217574,0.952591337724857,0.20190999999999998,-0.19777999999999998,URY,020641
