,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6018,231,5000,2007,4.361477945643849e-05,5.87341968448893e-05,1.612165,0.0922,USA,010111
12544,231,5001,2007,8.892933184644296e-05,9.42541461159681e-05,1.612165,0.0922,USA,010119
19070,231,5002,2007,0.0,6.410378268530718e-08,1.612165,0.0922,USA,010120
25596,231,5003,2007,9.090870857071701e-06,8.749416966526482e-07,1.612165,0.0922,USA,010210
32122,231,5004,2007,6.71023157728842e-06,0.0006267520724797674,1.612165,0.0922,USA,010290
38648,231,5005,2007,2.2868108305558556e-06,2.873209267623141e-07,1.612165,0.0922,USA,010310
45174,231,5006,2007,1.282522446924166e-07,8.894488771060859e-05,1.612165,0.0922,USA,010391
51700,231,5007,2007,3.634230477571579e-06,0.00013000819612804976,1.612165,0.0922,USA,010392
58226,231,5008,2007,2.4886189526508367e-06,2.0320820230187857e-08,1.612165,0.0922,USA,010410
64752,231,5009,2007,1.9094545640043158e-07,5.5229995484709425e-09,1.612165,0.0922,USA,010420
71278,231,5010,2007,3.944934686843296e-05,2.5773237806512715e-06,1.612165,0.0922,USA,010511
77804,231,5011,2007,5.900125691706137e-06,5.808598017920883e-06,1.612165,0.0922,USA,010519
84330,231,5012,2007,2.403473726734565e-06,8.220002460480511e-08,1.612165,0.0922,USA,010591
90856,231,5013,2007,1.1891930996997229e-07,2.2965141866499546e-06,1.612165,0.0922,USA,010599
97382,231,5014,2007,2.461705051386284e-05,4.254232388107881e-05,1.612165,0.0922,USA,010600
103908,231,5015,2007,1.6869720429709606e-06,1.2743165419785066e-05,1.612165,0.0922,USA,020110
110434,231,5016,2007,3.7560824890924115e-05,4.412980178898167e-05,1.612165,0.0922,USA,020120
116960,231,5017,2007,0.00040115489857080785,0.00033835620375852687,1.612165,0.0922,USA,020130
123486,231,5018,2007,1.1709275421831527e-06,3.0564420028831124e-07,1.612165,0.0922,USA,020210
130012,231,5019,2007,1.0961706986919292e-05,3.4286074581746944e-06,1.612165,0.0922,USA,020220
