,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6083,233,5000,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010111
12609,233,5001,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010119
19135,233,5002,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010120
25661,233,5003,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010210
32187,233,5004,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010290
38713,233,5005,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010310
45239,233,5006,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010391
51765,233,5007,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010392
58291,233,5008,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010410
64817,233,5009,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010420
71343,233,5010,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010511
77869,233,5011,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010519
84395,233,5012,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010591
90921,233,5013,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010599
97447,233,5014,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,010600
103973,233,5015,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020110
110499,233,5016,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020120
117025,233,5017,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020130
123551,233,5018,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020210
130077,233,5019,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020220
136603,233,5020,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020230
143129,233,5021,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020311
149655,233,5022,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020312
156181,233,5023,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020319
162707,233,5024,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020321
169233,233,5025,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020322
175759,233,5026,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020329
182285,233,5027,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020410
188811,233,5028,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020421
195337,233,5029,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020422
201863,233,5030,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020423
208389,233,5031,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020430
214915,233,5032,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020441
221441,233,5033,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020442
227967,233,5034,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020443
234493,233,5035,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020450
241019,233,5036,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020500
247545,233,5037,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020610
254071,233,5038,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020621
260597,233,5039,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020622
267123,233,5040,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020629
273649,233,5041,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020630
280175,233,5042,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020641
286701,233,5043,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020649
293227,233,5044,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020680
299753,233,5045,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020690
306279,233,5046,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020710
312805,233,5047,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020721
319331,233,5048,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020722
325857,233,5049,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020723
332383,233,5050,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020731
338909,233,5051,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020739
345435,233,5052,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020741
351961,233,5053,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020742
358487,233,5054,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020743
365013,233,5055,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020750
371539,233,5056,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020810
378065,233,5057,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020820
384591,233,5058,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020890
391117,233,5059,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,020900
397643,233,5060,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,021011
404169,233,5061,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,021012
410695,233,5062,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,021019
417221,233,5063,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,021020
423747,233,5064,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,021090
430273,233,5065,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030110
436799,233,5066,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030191
443325,233,5067,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030192
449851,233,5068,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030193
456377,233,5069,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030199
462903,233,5070,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030211
469429,233,5071,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030212
475955,233,5072,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030219
482481,233,5073,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030221
489007,233,5074,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030222
495533,233,5075,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030223
502059,233,5076,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030229
508585,233,5077,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030231
515111,233,5078,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030232
521637,233,5079,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030233
528163,233,5080,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030239
534689,233,5081,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030240
541215,233,5082,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030250
547741,233,5083,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030261
554267,233,5084,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030262
560793,233,5085,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030263
567319,233,5086,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030264
573845,233,5087,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030265
580371,233,5088,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030266
586897,233,5089,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030269
593423,233,5090,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030270
599949,233,5091,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030310
606475,233,5092,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030321
613001,233,5093,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030322
619527,233,5094,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030329
626053,233,5095,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030331
632579,233,5096,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030332
639105,233,5097,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030333
645631,233,5098,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030339
652157,233,5099,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030341
658683,233,5100,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030342
665209,233,5101,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030343
671735,233,5102,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030349
678261,233,5103,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030350
684787,233,5104,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030360
691313,233,5105,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030371
697839,233,5106,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030372
704365,233,5107,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030373
710891,233,5108,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030374
717417,233,5109,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030375
723943,233,5110,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030376
730469,233,5111,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030377
736995,233,5112,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030378
743521,233,5113,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030379
750047,233,5114,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030380
756573,233,5115,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030410
763099,233,5116,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030420
769625,233,5117,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030490
776151,233,5118,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030510
782677,233,5119,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030520
789203,233,5120,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030530
795729,233,5121,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030541
802255,233,5122,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030542
808781,233,5123,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030549
815307,233,5124,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030551
821833,233,5125,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030559
828359,233,5126,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030561
834885,233,5127,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030562
841411,233,5128,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030563
847937,233,5129,2020,0.0,0.0,0.8574360000000001,-0.492839,VAT,030569
