,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6086,234,5000,1997,0.0,0.0,0.069461,-0.459567,VCT,010111
12612,234,5001,1997,0.0,0.0,0.069461,-0.459567,VCT,010119
19138,234,5002,1997,0.0,0.0,0.069461,-0.459567,VCT,010120
25664,234,5003,1997,0.0,0.0,0.069461,-0.459567,VCT,010210
32190,234,5004,1997,0.0,0.0,0.069461,-0.459567,VCT,010290
38716,234,5005,1997,0.0,0.0,0.069461,-0.459567,VCT,010310
45242,234,5006,1997,0.0,0.0,0.069461,-0.459567,VCT,010391
51768,234,5007,1997,0.0,0.0,0.069461,-0.459567,VCT,010392
58294,234,5008,1997,0.0,0.0,0.069461,-0.459567,VCT,010410
64820,234,5009,1997,0.0,0.0,0.069461,-0.459567,VCT,010420
71346,234,5010,1997,0.0,1.0,0.069461,-0.459567,VCT,010511
77872,234,5011,1997,0.0,1.0,0.069461,-0.459567,VCT,010519
84398,234,5012,1997,0.0,0.0,0.069461,-0.459567,VCT,010591
90924,234,5013,1997,0.0,0.0,0.069461,-0.459567,VCT,010599
97450,234,5014,1997,0.0,0.0,0.069461,-0.459567,VCT,010600
103976,234,5015,1997,0.0,0.0,0.069461,-0.459567,VCT,020110
110502,234,5016,1997,0.0,1.0,0.069461,-0.459567,VCT,020120
117028,234,5017,1997,0.0,1.0,0.069461,-0.459567,VCT,020130
123554,234,5018,1997,0.0,1.0,0.069461,-0.459567,VCT,020210
130080,234,5019,1997,0.0,1.0,0.069461,-0.459567,VCT,020220
136606,234,5020,1997,0.0,1.0,0.069461,-0.459567,VCT,020230
143132,234,5021,1997,0.0,0.0,0.069461,-0.459567,VCT,020311
149658,234,5022,1997,0.0,1.0,0.069461,-0.459567,VCT,020312
156184,234,5023,1997,0.0,1.0,0.069461,-0.459567,VCT,020319
162710,234,5024,1997,0.0,1.0,0.069461,-0.459567,VCT,020321
169236,234,5025,1997,0.0,1.0,0.069461,-0.459567,VCT,020322
175762,234,5026,1997,0.0,1.0,0.069461,-0.459567,VCT,020329
182288,234,5027,1997,0.0,0.0,0.069461,-0.459567,VCT,020410
188814,234,5028,1997,0.0,0.0,0.069461,-0.459567,VCT,020421
195340,234,5029,1997,0.0,1.0,0.069461,-0.459567,VCT,020422
201866,234,5030,1997,0.0,0.0,0.069461,-0.459567,VCT,020423
208392,234,5031,1997,0.0,1.0,0.069461,-0.459567,VCT,020430
214918,234,5032,1997,0.0,0.0,0.069461,-0.459567,VCT,020441
221444,234,5033,1997,0.0,1.0,0.069461,-0.459567,VCT,020442
227970,234,5034,1997,0.0,1.0,0.069461,-0.459567,VCT,020443
234496,234,5035,1997,0.0,0.0,0.069461,-0.459567,VCT,020450
241022,234,5036,1997,0.0,0.0,0.069461,-0.459567,VCT,020500
247548,234,5037,1997,0.0,1.0,0.069461,-0.459567,VCT,020610
254074,234,5038,1997,0.0,0.0,0.069461,-0.459567,VCT,020621
260600,234,5039,1997,0.0,1.0,0.069461,-0.459567,VCT,020622
267126,234,5040,1997,0.0,1.0,0.069461,-0.459567,VCT,020629
273652,234,5041,1997,0.0,0.0,0.069461,-0.459567,VCT,020630
280178,234,5042,1997,0.0,0.0,0.069461,-0.459567,VCT,020641
286704,234,5043,1997,0.0,1.0,0.069461,-0.459567,VCT,020649
293230,234,5044,1997,0.0,0.0,0.069461,-0.459567,VCT,020680
299756,234,5045,1997,0.0,1.0,0.069461,-0.459567,VCT,020690
306282,234,5046,1997,0.0,1.0,0.069461,-0.459567,VCT,020710
312808,234,5047,1997,0.0,1.0,0.069461,-0.459567,VCT,020721
319334,234,5048,1997,0.0,1.0,0.069461,-0.459567,VCT,020722
325860,234,5049,1997,0.0,1.0,0.069461,-0.459567,VCT,020723
332386,234,5050,1997,0.0,0.0,0.069461,-0.459567,VCT,020731
338912,234,5051,1997,0.0,1.0,0.069461,-0.459567,VCT,020739
345438,234,5052,1997,0.0,1.0,0.069461,-0.459567,VCT,020741
