,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6160,236,5000,2019,57227.0,63300.0,-1.318175,-1.2506110000000001,VEN,010111
12686,236,5001,2019,1792.0,36400.0,-1.318175,-1.2506110000000001,VEN,010119
19212,236,5002,2019,,,-1.318175,-1.2506110000000001,VEN,010120
25738,236,5003,2019,,,-1.318175,-1.2506110000000001,VEN,010210
32264,236,5004,2019,,,-1.318175,-1.2506110000000001,VEN,010290
38790,236,5005,2019,,,-1.318175,-1.2506110000000001,VEN,010310
45316,236,5006,2019,0.0,73600.0,-1.318175,-1.2506110000000001,VEN,010391
51842,236,5007,2019,0.0,231747.0,-1.318175,-1.2506110000000001,VEN,010392
58368,236,5008,2019,0.0,36098.0,-1.318175,-1.2506110000000001,VEN,010410
64894,236,5009,2019,0.0,15000.0,-1.318175,-1.2506110000000001,VEN,010420
71420,236,5010,2019,0.0,6034266.0,-1.318175,-1.2506110000000001,VEN,010511
77946,236,5011,2019,,,-1.318175,-1.2506110000000001,VEN,010519
84472,236,5012,2019,,,-1.318175,-1.2506110000000001,VEN,010591
90998,236,5013,2019,,,-1.318175,-1.2506110000000001,VEN,010599
97524,236,5014,2019,58818.0,30328.0,-1.318175,-1.2506110000000001,VEN,010600
104050,236,5015,2019,,,-1.318175,-1.2506110000000001,VEN,020110
110576,236,5016,2019,,,-1.318175,-1.2506110000000001,VEN,020120
117102,236,5017,2019,,,-1.318175,-1.2506110000000001,VEN,020130
123628,236,5018,2019,,,-1.318175,-1.2506110000000001,VEN,020210
130154,236,5019,2019,0.0,34656.0,-1.318175,-1.2506110000000001,VEN,020220
136680,236,5020,2019,0.0,38194.0,-1.318175,-1.2506110000000001,VEN,020230
143206,236,5021,2019,,,-1.318175,-1.2506110000000001,VEN,020311
149732,236,5022,2019,,,-1.318175,-1.2506110000000001,VEN,020312
156258,236,5023,2019,0.0,2505.0,-1.318175,-1.2506110000000001,VEN,020319
162784,236,5024,2019,,,-1.318175,-1.2506110000000001,VEN,020321
169310,236,5025,2019,,,-1.318175,-1.2506110000000001,VEN,020322
175836,236,5026,2019,0.0,26488163.0,-1.318175,-1.2506110000000001,VEN,020329
182362,236,5027,2019,,,-1.318175,-1.2506110000000001,VEN,020410
188888,236,5028,2019,,,-1.318175,-1.2506110000000001,VEN,020421
195414,236,5029,2019,,,-1.318175,-1.2506110000000001,VEN,020422
201940,236,5030,2019,,,-1.318175,-1.2506110000000001,VEN,020423
208466,236,5031,2019,,,-1.318175,-1.2506110000000001,VEN,020430
214992,236,5032,2019,,,-1.318175,-1.2506110000000001,VEN,020441
221518,236,5033,2019,,,-1.318175,-1.2506110000000001,VEN,020442
228044,236,5034,2019,,,-1.318175,-1.2506110000000001,VEN,020443
234570,236,5035,2019,,,-1.318175,-1.2506110000000001,VEN,020450
241096,236,5036,2019,,,-1.318175,-1.2506110000000001,VEN,020500
247622,236,5037,2019,,,-1.318175,-1.2506110000000001,VEN,020610
254148,236,5038,2019,,,-1.318175,-1.2506110000000001,VEN,020621
260674,236,5039,2019,,,-1.318175,-1.2506110000000001,VEN,020622
267200,236,5040,2019,,,-1.318175,-1.2506110000000001,VEN,020629
273726,236,5041,2019,,,-1.318175,-1.2506110000000001,VEN,020630
280252,236,5042,2019,,,-1.318175,-1.2506110000000001,VEN,020641
286778,236,5043,2019,,,-1.318175,-1.2506110000000001,VEN,020649
293304,236,5044,2019,0.0,28318.0,-1.318175,-1.2506110000000001,VEN,020680
299830,236,5045,2019,,,-1.318175,-1.2506110000000001,VEN,020690
306356,236,5046,2019,,,-1.318175,-1.2506110000000001,VEN,020710
312882,236,5047,2019,,,-1.318175,-1.2506110000000001,VEN,020721
319408,236,5048,2019,,,-1.318175,-1.2506110000000001,VEN,020722
325934,236,5049,2019,0.0,8970.0,-1.318175,-1.2506110000000001,VEN,020723
332460,236,5050,2019,,,-1.318175,-1.2506110000000001,VEN,020731
338986,236,5051,2019,,,-1.318175,-1.2506110000000001,VEN,020739
345512,236,5052,2019,11644.0,2102766.0,-1.318175,-1.2506110000000001,VEN,020741
352038,236,5053,2019,0.0,10000.0,-1.318175,-1.2506110000000001,VEN,020742
358564,236,5054,2019,,,-1.318175,-1.2506110000000001,VEN,020743
365090,236,5055,2019,,,-1.318175,-1.2506110000000001,VEN,020750
371616,236,5056,2019,0.0,77159.0,-1.318175,-1.2506110000000001,VEN,020810
378142,236,5057,2019,,,-1.318175,-1.2506110000000001,VEN,020820
384668,236,5058,2019,0.0,862140.0,-1.318175,-1.2506110000000001,VEN,020890
391194,236,5059,2019,,,-1.318175,-1.2506110000000001,VEN,020900
397720,236,5060,2019,0.0,9462.0,-1.318175,-1.2506110000000001,VEN,021011
404246,236,5061,2019,,,-1.318175,-1.2506110000000001,VEN,021012
410772,236,5062,2019,0.0,186426.0,-1.318175,-1.2506110000000001,VEN,021019
417298,236,5063,2019,,,-1.318175,-1.2506110000000001,VEN,021020
423824,236,5064,2019,,,-1.318175,-1.2506110000000001,VEN,021090
430350,236,5065,2019,5698.0,5629.0,-1.318175,-1.2506110000000001,VEN,030110
436876,236,5066,2019,,,-1.318175,-1.2506110000000001,VEN,030191
443402,236,5067,2019,,,-1.318175,-1.2506110000000001,VEN,030192
449928,236,5068,2019,,,-1.318175,-1.2506110000000001,VEN,030193
456454,236,5069,2019,,,-1.318175,-1.2506110000000001,VEN,030199
462980,236,5070,2019,0.0,1597.0,-1.318175,-1.2506110000000001,VEN,030211
469506,236,5071,2019,0.0,4635.0,-1.318175,-1.2506110000000001,VEN,030212
476032,236,5072,2019,,,-1.318175,-1.2506110000000001,VEN,030219
482558,236,5073,2019,,,-1.318175,-1.2506110000000001,VEN,030221
489084,236,5074,2019,,,-1.318175,-1.2506110000000001,VEN,030222
495610,236,5075,2019,,,-1.318175,-1.2506110000000001,VEN,030223
502136,236,5076,2019,2766.0,9851.0,-1.318175,-1.2506110000000001,VEN,030229
508662,236,5077,2019,,,-1.318175,-1.2506110000000001,VEN,030231
515188,236,5078,2019,14498311.0,0.0,-1.318175,-1.2506110000000001,VEN,030232
521714,236,5079,2019,,,-1.318175,-1.2506110000000001,VEN,030233
528240,236,5080,2019,364301.0,0.0,-1.318175,-1.2506110000000001,VEN,030239
534766,236,5081,2019,,,-1.318175,-1.2506110000000001,VEN,030240
541292,236,5082,2019,,,-1.318175,-1.2506110000000001,VEN,030250
547818,236,5083,2019,,,-1.318175,-1.2506110000000001,VEN,030261
554344,236,5084,2019,,,-1.318175,-1.2506110000000001,VEN,030262
560870,236,5085,2019,,,-1.318175,-1.2506110000000001,VEN,030263
567396,236,5086,2019,,,-1.318175,-1.2506110000000001,VEN,030264
573922,236,5087,2019,,,-1.318175,-1.2506110000000001,VEN,030265
580448,236,5088,2019,,,-1.318175,-1.2506110000000001,VEN,030266
586974,236,5089,2019,15171912.0,18834.0,-1.318175,-1.2506110000000001,VEN,030269
593500,236,5090,2019,,,-1.318175,-1.2506110000000001,VEN,030270
600026,236,5091,2019,0.0,114335.0,-1.318175,-1.2506110000000001,VEN,030310
606552,236,5092,2019,,,-1.318175,-1.2506110000000001,VEN,030321
613078,236,5093,2019,0.0,686657.0,-1.318175,-1.2506110000000001,VEN,030322
619604,236,5094,2019,6691.0,0.0,-1.318175,-1.2506110000000001,VEN,030329
626130,236,5095,2019,,,-1.318175,-1.2506110000000001,VEN,030331
632656,236,5096,2019,,,-1.318175,-1.2506110000000001,VEN,030332
639182,236,5097,2019,,,-1.318175,-1.2506110000000001,VEN,030333
645708,236,5098,2019,77181.0,115297.0,-1.318175,-1.2506110000000001,VEN,030339
652234,236,5099,2019,18706.0,0.0,-1.318175,-1.2506110000000001,VEN,030341
658760,236,5100,2019,13845828.0,298111.0,-1.318175,-1.2506110000000001,VEN,030342
665286,236,5101,2019,1541876.0,0.0,-1.318175,-1.2506110000000001,VEN,030343
671812,236,5102,2019,369063.0,0.0,-1.318175,-1.2506110000000001,VEN,030349
678338,236,5103,2019,,,-1.318175,-1.2506110000000001,VEN,030350
684864,236,5104,2019,,,-1.318175,-1.2506110000000001,VEN,030360
691390,236,5105,2019,,,-1.318175,-1.2506110000000001,VEN,030371
697916,236,5106,2019,,,-1.318175,-1.2506110000000001,VEN,030372
704442,236,5107,2019,,,-1.318175,-1.2506110000000001,VEN,030373
710968,236,5108,2019,140648.0,0.0,-1.318175,-1.2506110000000001,VEN,030374
717494,236,5109,2019,21711.0,0.0,-1.318175,-1.2506110000000001,VEN,030375
724020,236,5110,2019,,,-1.318175,-1.2506110000000001,VEN,030376
730546,236,5111,2019,,,-1.318175,-1.2506110000000001,VEN,030377
737072,236,5112,2019,52090.0,2257.0,-1.318175,-1.2506110000000001,VEN,030378
743598,236,5113,2019,24201916.0,154147.0,-1.318175,-1.2506110000000001,VEN,030379
750124,236,5114,2019,0.0,5280.0,-1.318175,-1.2506110000000001,VEN,030380
756650,236,5115,2019,56074.0,1288.0,-1.318175,-1.2506110000000001,VEN,030410
763176,236,5116,2019,2782679.0,1520028.0,-1.318175,-1.2506110000000001,VEN,030420
769702,236,5117,2019,164061.0,105252.0,-1.318175,-1.2506110000000001,VEN,030490
776228,236,5118,2019,,,-1.318175,-1.2506110000000001,VEN,030510
782754,236,5119,2019,,,-1.318175,-1.2506110000000001,VEN,030520
789280,236,5120,2019,0.0,677200.0,-1.318175,-1.2506110000000001,VEN,030530
795806,236,5121,2019,,,-1.318175,-1.2506110000000001,VEN,030541
802332,236,5122,2019,,,-1.318175,-1.2506110000000001,VEN,030542
808858,236,5123,2019,,,-1.318175,-1.2506110000000001,VEN,030549
815384,236,5124,2019,1951079.0,421302.0,-1.318175,-1.2506110000000001,VEN,030551
821910,236,5125,2019,176732.0,0.0,-1.318175,-1.2506110000000001,VEN,030559
828436,236,5126,2019,,,-1.318175,-1.2506110000000001,VEN,030561
834962,236,5127,2019,0.0,872689.0,-1.318175,-1.2506110000000001,VEN,030562
841488,236,5128,2019,,,-1.318175,-1.2506110000000001,VEN,030563
848014,236,5129,2019,0.0,6422.0,-1.318175,-1.2506110000000001,VEN,030569
854540,236,5130,2019,1828396.0,0.0,-1.318175,-1.2506110000000001,VEN,030611
861066,236,5131,2019,160799.0,0.0,-1.318175,-1.2506110000000001,VEN,030612
