,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6213,238,5000,2020,0.0,0.0,,,VIR,010111
12739,238,5001,2020,0.0,0.0,,,VIR,010119
19265,238,5002,2020,0.0,0.0,,,VIR,010120
25791,238,5003,2020,0.0,0.0,,,VIR,010210
32317,238,5004,2020,0.0,0.0,,,VIR,010290
38843,238,5005,2020,0.0,0.0,,,VIR,010310
45369,238,5006,2020,0.0,0.0,,,VIR,010391
51895,238,5007,2020,0.0,0.0,,,VIR,010392
58421,238,5008,2020,0.0,0.0,,,VIR,010410
64947,238,5009,2020,0.0,0.0,,,VIR,010420
71473,238,5010,2020,0.0,0.0,,,VIR,010511
77999,238,5011,2020,0.0,0.0,,,VIR,010519
84525,238,5012,2020,0.0,0.0,,,VIR,010591
91051,238,5013,2020,0.0,0.0,,,VIR,010599
97577,238,5014,2020,0.0,0.0,,,VIR,010600
104103,238,5015,2020,0.0,0.0,,,VIR,020110
110629,238,5016,2020,0.0,0.0,,,VIR,020120
117155,238,5017,2020,0.0,0.0,,,VIR,020130
123681,238,5018,2020,0.0,0.0,,,VIR,020210
130207,238,5019,2020,0.0,0.0,,,VIR,020220
136733,238,5020,2020,0.0,0.0,,,VIR,020230
143259,238,5021,2020,0.0,0.0,,,VIR,020311
149785,238,5022,2020,0.0,0.0,,,VIR,020312
156311,238,5023,2020,0.0,0.0,,,VIR,020319
162837,238,5024,2020,0.0,0.0,,,VIR,020321
169363,238,5025,2020,0.0,0.0,,,VIR,020322
175889,238,5026,2020,0.0,0.0,,,VIR,020329
182415,238,5027,2020,0.0,0.0,,,VIR,020410
188941,238,5028,2020,0.0,0.0,,,VIR,020421
195467,238,5029,2020,0.0,0.0,,,VIR,020422
201993,238,5030,2020,0.0,0.0,,,VIR,020423
208519,238,5031,2020,0.0,0.0,,,VIR,020430
215045,238,5032,2020,0.0,0.0,,,VIR,020441
221571,238,5033,2020,0.0,0.0,,,VIR,020442
228097,238,5034,2020,0.0,0.0,,,VIR,020443
234623,238,5035,2020,0.0,0.0,,,VIR,020450
241149,238,5036,2020,0.0,0.0,,,VIR,020500
247675,238,5037,2020,0.0,0.0,,,VIR,020610
254201,238,5038,2020,0.0,0.0,,,VIR,020621
260727,238,5039,2020,0.0,0.0,,,VIR,020622
267253,238,5040,2020,0.0,0.0,,,VIR,020629
273779,238,5041,2020,0.0,0.0,,,VIR,020630
280305,238,5042,2020,0.0,0.0,,,VIR,020641
286831,238,5043,2020,0.0,0.0,,,VIR,020649
293357,238,5044,2020,0.0,0.0,,,VIR,020680
299883,238,5045,2020,0.0,0.0,,,VIR,020690
306409,238,5046,2020,0.0,0.0,,,VIR,020710
312935,238,5047,2020,0.0,0.0,,,VIR,020721
319461,238,5048,2020,0.0,0.0,,,VIR,020722
325987,238,5049,2020,0.0,0.0,,,VIR,020723
332513,238,5050,2020,0.0,0.0,,,VIR,020731
339039,238,5051,2020,0.0,0.0,,,VIR,020739
345565,238,5052,2020,0.0,0.0,,,VIR,020741
352091,238,5053,2020,0.0,0.0,,,VIR,020742
358617,238,5054,2020,0.0,0.0,,,VIR,020743
365143,238,5055,2020,0.0,0.0,,,VIR,020750
371669,238,5056,2020,0.0,0.0,,,VIR,020810
378195,238,5057,2020,0.0,0.0,,,VIR,020820
384721,238,5058,2020,0.0,0.0,,,VIR,020890
391247,238,5059,2020,0.0,0.0,,,VIR,020900
397773,238,5060,2020,0.0,0.0,,,VIR,021011
404299,238,5061,2020,0.0,0.0,,,VIR,021012
410825,238,5062,2020,0.0,0.0,,,VIR,021019
417351,238,5063,2020,0.0,0.0,,,VIR,021020
423877,238,5064,2020,0.0,0.0,,,VIR,021090
430403,238,5065,2020,0.0,0.0,,,VIR,030110
436929,238,5066,2020,0.0,0.0,,,VIR,030191
443455,238,5067,2020,0.0,0.0,,,VIR,030192
449981,238,5068,2020,0.0,0.0,,,VIR,030193
456507,238,5069,2020,0.0,0.0,,,VIR,030199
463033,238,5070,2020,0.0,0.0,,,VIR,030211
469559,238,5071,2020,0.0,0.0,,,VIR,030212
476085,238,5072,2020,0.0,0.0,,,VIR,030219
482611,238,5073,2020,0.0,0.0,,,VIR,030221
489137,238,5074,2020,0.0,0.0,,,VIR,030222
495663,238,5075,2020,0.0,0.0,,,VIR,030223
502189,238,5076,2020,0.0,0.0,,,VIR,030229
508715,238,5077,2020,0.0,0.0,,,VIR,030231
515241,238,5078,2020,0.0,0.0,,,VIR,030232
521767,238,5079,2020,0.0,0.0,,,VIR,030233
528293,238,5080,2020,0.0,0.0,,,VIR,030239
534819,238,5081,2020,0.0,0.0,,,VIR,030240
541345,238,5082,2020,0.0,0.0,,,VIR,030250
547871,238,5083,2020,0.0,0.0,,,VIR,030261
554397,238,5084,2020,0.0,0.0,,,VIR,030262
560923,238,5085,2020,0.0,0.0,,,VIR,030263
567449,238,5086,2020,0.0,0.0,,,VIR,030264
573975,238,5087,2020,0.0,0.0,,,VIR,030265
580501,238,5088,2020,0.0,0.0,,,VIR,030266
587027,238,5089,2020,0.0,0.0,,,VIR,030269
593553,238,5090,2020,0.0,0.0,,,VIR,030270
600079,238,5091,2020,0.0,0.0,,,VIR,030310
606605,238,5092,2020,0.0,0.0,,,VIR,030321
613131,238,5093,2020,0.0,0.0,,,VIR,030322
619657,238,5094,2020,0.0,0.0,,,VIR,030329
626183,238,5095,2020,0.0,0.0,,,VIR,030331
632709,238,5096,2020,0.0,0.0,,,VIR,030332
639235,238,5097,2020,0.0,0.0,,,VIR,030333
645761,238,5098,2020,0.0,0.0,,,VIR,030339
652287,238,5099,2020,0.0,0.0,,,VIR,030341
658813,238,5100,2020,0.0,0.0,,,VIR,030342
665339,238,5101,2020,0.0,0.0,,,VIR,030343
671865,238,5102,2020,0.0,0.0,,,VIR,030349
678391,238,5103,2020,0.0,0.0,,,VIR,030350
684917,238,5104,2020,0.0,0.0,,,VIR,030360
691443,238,5105,2020,0.0,0.0,,,VIR,030371
697969,238,5106,2020,0.0,0.0,,,VIR,030372
704495,238,5107,2020,0.0,0.0,,,VIR,030373
711021,238,5108,2020,0.0,0.0,,,VIR,030374
717547,238,5109,2020,0.0,0.0,,,VIR,030375
724073,238,5110,2020,0.0,0.0,,,VIR,030376
730599,238,5111,2020,0.0,0.0,,,VIR,030377
737125,238,5112,2020,0.0,0.0,,,VIR,030378
743651,238,5113,2020,0.0,0.0,,,VIR,030379
750177,238,5114,2020,0.0,0.0,,,VIR,030380
