,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6220,239,5000,2001,,,-0.6692130000000001,0.610992,VNM,010111
12746,239,5001,2001,,,-0.6692130000000001,0.610992,VNM,010119
19272,239,5002,2001,,,-0.6692130000000001,0.610992,VNM,010120
25798,239,5003,2001,32821.0,708594.0,-0.6692130000000001,0.610992,VNM,010210
32324,239,5004,2001,0.0,408551.0,-0.6692130000000001,0.610992,VNM,010290
38850,239,5005,2001,32512.0,139019.0,-0.6692130000000001,0.610992,VNM,010310
45376,239,5006,2001,0.0,23584.0,-0.6692130000000001,0.610992,VNM,010391
51902,239,5007,2001,32021.0,0.0,-0.6692130000000001,0.610992,VNM,010392
58428,239,5008,2001,,,-0.6692130000000001,0.610992,VNM,010410
64954,239,5009,2001,,,-0.6692130000000001,0.610992,VNM,010420
71480,239,5010,2001,0.0,1216626.0,-0.6692130000000001,0.610992,VNM,010511
78006,239,5011,2001,9774.0,178331.0,-0.6692130000000001,0.610992,VNM,010519
84532,239,5012,2001,,,-0.6692130000000001,0.610992,VNM,010591
91058,239,5013,2001,2162.0,186329.0,-0.6692130000000001,0.610992,VNM,010599
97584,239,5014,2001,7942639.0,637164.0,-0.6692130000000001,0.610992,VNM,010600
104110,239,5015,2001,0.0,15745.0,-0.6692130000000001,0.610992,VNM,020110
110636,239,5016,2001,0.0,64419.0,-0.6692130000000001,0.610992,VNM,020120
117162,239,5017,2001,1057.0,428323.0,-0.6692130000000001,0.610992,VNM,020130
123688,239,5018,2001,,,-0.6692130000000001,0.610992,VNM,020210
130214,239,5019,2001,0.0,66052.0,-0.6692130000000001,0.610992,VNM,020220
136740,239,5020,2001,0.0,183767.0,-0.6692130000000001,0.610992,VNM,020230
143266,239,5021,2001,0.0,8286.0,-0.6692130000000001,0.610992,VNM,020311
149792,239,5022,2001,,,-0.6692130000000001,0.610992,VNM,020312
156318,239,5023,2001,12091.0,0.0,-0.6692130000000001,0.610992,VNM,020319
162844,239,5024,2001,27673268.0,0.0,-0.6692130000000001,0.610992,VNM,020321
169370,239,5025,2001,12061.0,0.0,-0.6692130000000001,0.610992,VNM,020322
175896,239,5026,2001,7388079.0,52083.0,-0.6692130000000001,0.610992,VNM,020329
182422,239,5027,2001,0.0,8149.0,-0.6692130000000001,0.610992,VNM,020410
188948,239,5028,2001,0.0,9822.0,-0.6692130000000001,0.610992,VNM,020421
195474,239,5029,2001,0.0,139502.0,-0.6692130000000001,0.610992,VNM,020422
202000,239,5030,2001,0.0,27194.0,-0.6692130000000001,0.610992,VNM,020423
208526,239,5031,2001,0.0,3596.0,-0.6692130000000001,0.610992,VNM,020430
215052,239,5032,2001,,,-0.6692130000000001,0.610992,VNM,020441
221578,239,5033,2001,0.0,44843.0,-0.6692130000000001,0.610992,VNM,020442
228104,239,5034,2001,0.0,32973.0,-0.6692130000000001,0.610992,VNM,020443
234630,239,5035,2001,0.0,22334.0,-0.6692130000000001,0.610992,VNM,020450
