,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6247,240,5000,2002,0.0,0.0,-1.240258,-0.95039,VUT,010111
12773,240,5001,2002,0.0,0.0,-1.240258,-0.95039,VUT,010119
19299,240,5002,2002,0.0,0.0,-1.240258,-0.95039,VUT,010120
25825,240,5003,2002,0.0,0.0,-1.240258,-0.95039,VUT,010210
32351,240,5004,2002,0.0,0.0,-1.240258,-0.95039,VUT,010290
38877,240,5005,2002,0.0,0.0,-1.240258,-0.95039,VUT,010310
45403,240,5006,2002,0.0,0.0,-1.240258,-0.95039,VUT,010391
51929,240,5007,2002,0.0,0.0,-1.240258,-0.95039,VUT,010392
58455,240,5008,2002,0.0,3.9075950958036734e-10,-1.240258,-0.95039,VUT,010410
64981,240,5009,2002,0.0,0.0,-1.240258,-0.95039,VUT,010420
71507,240,5010,2002,0.0,3.198991337124432e-09,-1.240258,-0.95039,VUT,010511
78033,240,5011,2002,0.0,0.0,-1.240258,-0.95039,VUT,010519
84559,240,5012,2002,0.0,0.0,-1.240258,-0.95039,VUT,010591
91085,240,5013,2002,0.0,0.0,-1.240258,-0.95039,VUT,010599
97611,240,5014,2002,1.3745760082150584e-09,0.0,-1.240258,-0.95039,VUT,010600
104137,240,5015,2002,0.0,0.0,-1.240258,-0.95039,VUT,020110
110663,240,5016,2002,0.0,0.0,-1.240258,-0.95039,VUT,020120
117189,240,5017,2002,0.0,0.0,-1.240258,-0.95039,VUT,020130
123715,240,5018,2002,0.0,0.0,-1.240258,-0.95039,VUT,020210
130241,240,5019,2002,1.0395079543606955e-08,0.0,-1.240258,-0.95039,VUT,020220
136767,240,5020,2002,1.7918519499681385e-07,0.0,-1.240258,-0.95039,VUT,020230
143293,240,5021,2002,0.0,0.0,-1.240258,-0.95039,VUT,020311
149819,240,5022,2002,0.0,0.0,-1.240258,-0.95039,VUT,020312
156345,240,5023,2002,0.0,0.0,-1.240258,-0.95039,VUT,020319
162871,240,5024,2002,0.0,0.0,-1.240258,-0.95039,VUT,020321
169397,240,5025,2002,0.0,0.0,-1.240258,-0.95039,VUT,020322
175923,240,5026,2002,0.0,1.1533868476163514e-09,-1.240258,-0.95039,VUT,020329
182449,240,5027,2002,0.0,0.0,-1.240258,-0.95039,VUT,020410
188975,240,5028,2002,0.0,0.0,-1.240258,-0.95039,VUT,020421
