,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6281,241,5000,2010,,,1.206023,-0.517231,WLF,010111
12807,241,5001,2010,,,1.206023,-0.517231,WLF,010119
19333,241,5002,2010,,,1.206023,-0.517231,WLF,010120
25859,241,5003,2010,,,1.206023,-0.517231,WLF,010210
32385,241,5004,2010,,,1.206023,-0.517231,WLF,010290
38911,241,5005,2010,0.0,3372.0,1.206023,-0.517231,WLF,010310
45437,241,5006,2010,,,1.206023,-0.517231,WLF,010391
51963,241,5007,2010,,,1.206023,-0.517231,WLF,010392
58489,241,5008,2010,,,1.206023,-0.517231,WLF,010410
65015,241,5009,2010,,,1.206023,-0.517231,WLF,010420
71541,241,5010,2010,0.0,13613.0,1.206023,-0.517231,WLF,010511
78067,241,5011,2010,,,1.206023,-0.517231,WLF,010519
84593,241,5012,2010,,,1.206023,-0.517231,WLF,010591
91119,241,5013,2010,,,1.206023,-0.517231,WLF,010599
97645,241,5014,2010,,,1.206023,-0.517231,WLF,010600
104171,241,5015,2010,,,1.206023,-0.517231,WLF,020110
110697,241,5016,2010,0.0,19632.0,1.206023,-0.517231,WLF,020120
117223,241,5017,2010,0.0,649581.0,1.206023,-0.517231,WLF,020130
123749,241,5018,2010,,,1.206023,-0.517231,WLF,020210
130275,241,5019,2010,0.0,12371.0,1.206023,-0.517231,WLF,020220
136801,241,5020,2010,0.0,152169.0,1.206023,-0.517231,WLF,020230
143327,241,5021,2010,,,1.206023,-0.517231,WLF,020311
149853,241,5022,2010,,,1.206023,-0.517231,WLF,020312
156379,241,5023,2010,,,1.206023,-0.517231,WLF,020319
162905,241,5024,2010,,,1.206023,-0.517231,WLF,020321
169431,241,5025,2010,0.0,63627.0,1.206023,-0.517231,WLF,020322
175957,241,5026,2010,0.0,230648.0,1.206023,-0.517231,WLF,020329
182483,241,5027,2010,,,1.206023,-0.517231,WLF,020410
189009,241,5028,2010,,,1.206023,-0.517231,WLF,020421
195535,241,5029,2010,,,1.206023,-0.517231,WLF,020422
202061,241,5030,2010,,,1.206023,-0.517231,WLF,020423
208587,241,5031,2010,0.0,5801.0,1.206023,-0.517231,WLF,020430
215113,241,5032,2010,,,1.206023,-0.517231,WLF,020441
221639,241,5033,2010,0.0,100476.0,1.206023,-0.517231,WLF,020442
228165,241,5034,2010,,,1.206023,-0.517231,WLF,020443
234691,241,5035,2010,,,1.206023,-0.517231,WLF,020450
241217,241,5036,2010,,,1.206023,-0.517231,WLF,020500
247743,241,5037,2010,,,1.206023,-0.517231,WLF,020610
254269,241,5038,2010,,,1.206023,-0.517231,WLF,020621
260795,241,5039,2010,,,1.206023,-0.517231,WLF,020622
