,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6304,242,5000,2007,,,-0.21260500000000002,-0.671421,WSM,010111
12830,242,5001,2007,,,-0.21260500000000002,-0.671421,WSM,010119
19356,242,5002,2007,,,-0.21260500000000002,-0.671421,WSM,010120
25882,242,5003,2007,,,-0.21260500000000002,-0.671421,WSM,010210
32408,242,5004,2007,,,-0.21260500000000002,-0.671421,WSM,010290
38934,242,5005,2007,,,-0.21260500000000002,-0.671421,WSM,010310
45460,242,5006,2007,,,-0.21260500000000002,-0.671421,WSM,010391
51986,242,5007,2007,,,-0.21260500000000002,-0.671421,WSM,010392
58512,242,5008,2007,,,-0.21260500000000002,-0.671421,WSM,010410
65038,242,5009,2007,,,-0.21260500000000002,-0.671421,WSM,010420
71564,242,5010,2007,0.0,12623.0,-0.21260500000000002,-0.671421,WSM,010511
78090,242,5011,2007,,,-0.21260500000000002,-0.671421,WSM,010519
84616,242,5012,2007,,,-0.21260500000000002,-0.671421,WSM,010591
91142,242,5013,2007,,,-0.21260500000000002,-0.671421,WSM,010599
97668,242,5014,2007,,,-0.21260500000000002,-0.671421,WSM,010600
104194,242,5015,2007,,,-0.21260500000000002,-0.671421,WSM,020110
110720,242,5016,2007,0.0,570745.0,-0.21260500000000002,-0.671421,WSM,020120
117246,242,5017,2007,0.0,43903.0,-0.21260500000000002,-0.671421,WSM,020130
123772,242,5018,2007,,,-0.21260500000000002,-0.671421,WSM,020210
130298,242,5019,2007,8529.0,11847.0,-0.21260500000000002,-0.671421,WSM,020220
136824,242,5020,2007,23958.0,800216.0,-0.21260500000000002,-0.671421,WSM,020230
143350,242,5021,2007,,,-0.21260500000000002,-0.671421,WSM,020311
149876,242,5022,2007,0.0,6371.0,-0.21260500000000002,-0.671421,WSM,020312
156402,242,5023,2007,,,-0.21260500000000002,-0.671421,WSM,020319
162928,242,5024,2007,0.0,1645.0,-0.21260500000000002,-0.671421,WSM,020321
169454,242,5025,2007,0.0,57981.0,-0.21260500000000002,-0.671421,WSM,020322
175980,242,5026,2007,1809.0,47554.0,-0.21260500000000002,-0.671421,WSM,020329
182506,242,5027,2007,0.0,21100.0,-0.21260500000000002,-0.671421,WSM,020410
189032,242,5028,2007,,,-0.21260500000000002,-0.671421,WSM,020421
195558,242,5029,2007,0.0,3365.0,-0.21260500000000002,-0.671421,WSM,020422
202084,242,5030,2007,0.0,8352.0,-0.21260500000000002,-0.671421,WSM,020423
208610,242,5031,2007,32174.0,25221.0,-0.21260500000000002,-0.671421,WSM,020430
215136,242,5032,2007,,,-0.21260500000000002,-0.671421,WSM,020441
221662,242,5033,2007,0.0,3504159.0,-0.21260500000000002,-0.671421,WSM,020442
228188,242,5034,2007,0.0,479193.0,-0.21260500000000002,-0.671421,WSM,020443
234714,242,5035,2007,0.0,1288.0,-0.21260500000000002,-0.671421,WSM,020450
241240,242,5036,2007,,,-0.21260500000000002,-0.671421,WSM,020500
247766,242,5037,2007,,,-0.21260500000000002,-0.671421,WSM,020610
254292,242,5038,2007,,,-0.21260500000000002,-0.671421,WSM,020621
260818,242,5039,2007,,,-0.21260500000000002,-0.671421,WSM,020622
267344,242,5040,2007,,,-0.21260500000000002,-0.671421,WSM,020629
273870,242,5041,2007,,,-0.21260500000000002,-0.671421,WSM,020630
280396,242,5042,2007,,,-0.21260500000000002,-0.671421,WSM,020641
286922,242,5043,2007,0.0,9189.0,-0.21260500000000002,-0.671421,WSM,020649
293448,242,5044,2007,,,-0.21260500000000002,-0.671421,WSM,020680
299974,242,5045,2007,,,-0.21260500000000002,-0.671421,WSM,020690
306500,242,5046,2007,0.0,2950.0,-0.21260500000000002,-0.671421,WSM,020710
313026,242,5047,2007,0.0,59686.0,-0.21260500000000002,-0.671421,WSM,020721
319552,242,5048,2007,0.0,15969.0,-0.21260500000000002,-0.671421,WSM,020722
326078,242,5049,2007,0.0,4175.0,-0.21260500000000002,-0.671421,WSM,020723
332604,242,5050,2007,,,-0.21260500000000002,-0.671421,WSM,020731
339130,242,5051,2007,46886.0,1435068.0,-0.21260500000000002,-0.671421,WSM,020739
