,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6358,244,5000,2009,0.0,0.0,,,YMD,010111
12884,244,5001,2009,0.0,0.0,,,YMD,010119
19410,244,5002,2009,0.0,0.0,,,YMD,010120
25936,244,5003,2009,0.0,0.0,,,YMD,010210
32462,244,5004,2009,0.0,0.0,,,YMD,010290
38988,244,5005,2009,0.0,0.0,,,YMD,010310
45514,244,5006,2009,0.0,0.0,,,YMD,010391
52040,244,5007,2009,0.0,0.0,,,YMD,010392
58566,244,5008,2009,0.0,0.0,,,YMD,010410
65092,244,5009,2009,0.0,0.0,,,YMD,010420
71618,244,5010,2009,0.0,0.0,,,YMD,010511
78144,244,5011,2009,0.0,0.0,,,YMD,010519
84670,244,5012,2009,0.0,0.0,,,YMD,010591
91196,244,5013,2009,0.0,0.0,,,YMD,010599
97722,244,5014,2009,0.0,0.0,,,YMD,010600
104248,244,5015,2009,0.0,0.0,,,YMD,020110
110774,244,5016,2009,0.0,0.0,,,YMD,020120
117300,244,5017,2009,0.0,0.0,,,YMD,020130
123826,244,5018,2009,0.0,0.0,,,YMD,020210
130352,244,5019,2009,0.0,0.0,,,YMD,020220
136878,244,5020,2009,0.0,0.0,,,YMD,020230
143404,244,5021,2009,0.0,0.0,,,YMD,020311
149930,244,5022,2009,0.0,0.0,,,YMD,020312
156456,244,5023,2009,0.0,0.0,,,YMD,020319
162982,244,5024,2009,0.0,0.0,,,YMD,020321
169508,244,5025,2009,0.0,0.0,,,YMD,020322
176034,244,5026,2009,0.0,0.0,,,YMD,020329
182560,244,5027,2009,0.0,0.0,,,YMD,020410
189086,244,5028,2009,0.0,0.0,,,YMD,020421
195612,244,5029,2009,0.0,0.0,,,YMD,020422
202138,244,5030,2009,0.0,0.0,,,YMD,020423
208664,244,5031,2009,0.0,0.0,,,YMD,020430
215190,244,5032,2009,0.0,0.0,,,YMD,020441
221716,244,5033,2009,0.0,0.0,,,YMD,020442
228242,244,5034,2009,0.0,0.0,,,YMD,020443
234768,244,5035,2009,0.0,0.0,,,YMD,020450
241294,244,5036,2009,0.0,0.0,,,YMD,020500
247820,244,5037,2009,0.0,0.0,,,YMD,020610
254346,244,5038,2009,0.0,0.0,,,YMD,020621
260872,244,5039,2009,0.0,0.0,,,YMD,020622
267398,244,5040,2009,0.0,0.0,,,YMD,020629
273924,244,5041,2009,0.0,0.0,,,YMD,020630
280450,244,5042,2009,0.0,0.0,,,YMD,020641
286976,244,5043,2009,0.0,0.0,,,YMD,020649
293502,244,5044,2009,0.0,0.0,,,YMD,020680
300028,244,5045,2009,0.0,0.0,,,YMD,020690
306554,244,5046,2009,0.0,0.0,,,YMD,020710
313080,244,5047,2009,0.0,0.0,,,YMD,020721
319606,244,5048,2009,0.0,0.0,,,YMD,020722
326132,244,5049,2009,0.0,0.0,,,YMD,020723
332658,244,5050,2009,0.0,0.0,,,YMD,020731
339184,244,5051,2009,0.0,0.0,,,YMD,020739
345710,244,5052,2009,0.0,0.0,,,YMD,020741
352236,244,5053,2009,0.0,0.0,,,YMD,020742
358762,244,5054,2009,0.0,0.0,,,YMD,020743
365288,244,5055,2009,0.0,0.0,,,YMD,020750
371814,244,5056,2009,0.0,0.0,,,YMD,020810
378340,244,5057,2009,0.0,0.0,,,YMD,020820
384866,244,5058,2009,0.0,0.0,,,YMD,020890
391392,244,5059,2009,0.0,0.0,,,YMD,020900
397918,244,5060,2009,0.0,0.0,,,YMD,021011
404444,244,5061,2009,0.0,0.0,,,YMD,021012
410970,244,5062,2009,0.0,0.0,,,YMD,021019
417496,244,5063,2009,0.0,0.0,,,YMD,021020
424022,244,5064,2009,0.0,0.0,,,YMD,021090
430548,244,5065,2009,0.0,0.0,,,YMD,030110
437074,244,5066,2009,0.0,0.0,,,YMD,030191
443600,244,5067,2009,0.0,0.0,,,YMD,030192
450126,244,5068,2009,0.0,0.0,,,YMD,030193
456652,244,5069,2009,0.0,0.0,,,YMD,030199
463178,244,5070,2009,0.0,0.0,,,YMD,030211
469704,244,5071,2009,0.0,0.0,,,YMD,030212
476230,244,5072,2009,0.0,0.0,,,YMD,030219
482756,244,5073,2009,0.0,0.0,,,YMD,030221
489282,244,5074,2009,0.0,0.0,,,YMD,030222
495808,244,5075,2009,0.0,0.0,,,YMD,030223
502334,244,5076,2009,0.0,0.0,,,YMD,030229
508860,244,5077,2009,0.0,0.0,,,YMD,030231
515386,244,5078,2009,0.0,0.0,,,YMD,030232
521912,244,5079,2009,0.0,0.0,,,YMD,030233
528438,244,5080,2009,0.0,0.0,,,YMD,030239
534964,244,5081,2009,0.0,0.0,,,YMD,030240
541490,244,5082,2009,0.0,0.0,,,YMD,030250
548016,244,5083,2009,0.0,0.0,,,YMD,030261
554542,244,5084,2009,0.0,0.0,,,YMD,030262
561068,244,5085,2009,0.0,0.0,,,YMD,030263
567594,244,5086,2009,0.0,0.0,,,YMD,030264
574120,244,5087,2009,0.0,0.0,,,YMD,030265
580646,244,5088,2009,0.0,0.0,,,YMD,030266
587172,244,5089,2009,0.0,0.0,,,YMD,030269
593698,244,5090,2009,0.0,0.0,,,YMD,030270
600224,244,5091,2009,0.0,0.0,,,YMD,030310
606750,244,5092,2009,0.0,0.0,,,YMD,030321
613276,244,5093,2009,0.0,0.0,,,YMD,030322
619802,244,5094,2009,0.0,0.0,,,YMD,030329
626328,244,5095,2009,0.0,0.0,,,YMD,030331
632854,244,5096,2009,0.0,0.0,,,YMD,030332
639380,244,5097,2009,0.0,0.0,,,YMD,030333
645906,244,5098,2009,0.0,0.0,,,YMD,030339
652432,244,5099,2009,0.0,0.0,,,YMD,030341
658958,244,5100,2009,0.0,0.0,,,YMD,030342
665484,244,5101,2009,0.0,0.0,,,YMD,030343
672010,244,5102,2009,0.0,0.0,,,YMD,030349
678536,244,5103,2009,0.0,0.0,,,YMD,030350
685062,244,5104,2009,0.0,0.0,,,YMD,030360
691588,244,5105,2009,0.0,0.0,,,YMD,030371
698114,244,5106,2009,0.0,0.0,,,YMD,030372
704640,244,5107,2009,0.0,0.0,,,YMD,030373
711166,244,5108,2009,0.0,0.0,,,YMD,030374
717692,244,5109,2009,0.0,0.0,,,YMD,030375
724218,244,5110,2009,0.0,0.0,,,YMD,030376
730744,244,5111,2009,0.0,0.0,,,YMD,030377
737270,244,5112,2009,0.0,0.0,,,YMD,030378
743796,244,5113,2009,0.0,0.0,,,YMD,030379
750322,244,5114,2009,0.0,0.0,,,YMD,030380
756848,244,5115,2009,0.0,0.0,,,YMD,030410
763374,244,5116,2009,0.0,0.0,,,YMD,030420
769900,244,5117,2009,0.0,0.0,,,YMD,030490
776426,244,5118,2009,0.0,0.0,,,YMD,030510
782952,244,5119,2009,0.0,0.0,,,YMD,030520
789478,244,5120,2009,0.0,0.0,,,YMD,030530
796004,244,5121,2009,0.0,0.0,,,YMD,030541
802530,244,5122,2009,0.0,0.0,,,YMD,030542
809056,244,5123,2009,0.0,0.0,,,YMD,030549
815582,244,5124,2009,0.0,0.0,,,YMD,030551
822108,244,5125,2009,0.0,0.0,,,YMD,030559
828634,244,5126,2009,0.0,0.0,,,YMD,030561
835160,244,5127,2009,0.0,0.0,,,YMD,030562
841686,244,5128,2009,0.0,0.0,,,YMD,030563
848212,244,5129,2009,0.0,0.0,,,YMD,030569
854738,244,5130,2009,0.0,0.0,,,YMD,030611
861264,244,5131,2009,0.0,0.0,,,YMD,030612
867790,244,5132,2009,0.0,0.0,,,YMD,030613
874316,244,5133,2009,0.0,0.0,,,YMD,030614
880842,244,5134,2009,0.0,0.0,,,YMD,030619
887368,244,5135,2009,0.0,0.0,,,YMD,030621
893894,244,5136,2009,0.0,0.0,,,YMD,030622
900420,244,5137,2009,0.0,0.0,,,YMD,030623
906946,244,5138,2009,0.0,0.0,,,YMD,030624
913472,244,5139,2009,0.0,0.0,,,YMD,030629
919998,244,5140,2009,0.0,0.0,,,YMD,030710
926524,244,5141,2009,0.0,0.0,,,YMD,030721
933050,244,5142,2009,0.0,0.0,,,YMD,030729
939576,244,5143,2009,0.0,0.0,,,YMD,030731
946102,244,5144,2009,0.0,0.0,,,YMD,030739
952628,244,5145,2009,0.0,0.0,,,YMD,030741
959154,244,5146,2009,0.0,0.0,,,YMD,030749
965680,244,5147,2009,0.0,0.0,,,YMD,030751
972206,244,5148,2009,0.0,0.0,,,YMD,030759
978732,244,5149,2009,0.0,0.0,,,YMD,030760
985258,244,5150,2009,0.0,0.0,,,YMD,030791
991784,244,5151,2009,0.0,0.0,,,YMD,030799
998310,244,5152,2009,0.0,0.0,,,YMD,040110
1004836,244,5153,2009,0.0,0.0,,,YMD,040120
1011362,244,5154,2009,0.0,0.0,,,YMD,040130
1017888,244,5155,2009,0.0,0.0,,,YMD,040210
1024414,244,5156,2009,0.0,0.0,,,YMD,040221
1030940,244,5157,2009,0.0,0.0,,,YMD,040229
1037466,244,5158,2009,0.0,0.0,,,YMD,040291
1043992,244,5159,2009,0.0,0.0,,,YMD,040299
1050518,244,5160,2009,0.0,0.0,,,YMD,040310
1057044,244,5161,2009,0.0,0.0,,,YMD,040390
1063570,244,5162,2009,0.0,0.0,,,YMD,040410
1070096,244,5163,2009,0.0,0.0,,,YMD,040490
1076622,244,5164,2009,0.0,0.0,,,YMD,040500
1083148,244,5165,2009,0.0,0.0,,,YMD,040610
1089674,244,5166,2009,0.0,0.0,,,YMD,040620
1096200,244,5167,2009,0.0,0.0,,,YMD,040630
1102726,244,5168,2009,0.0,0.0,,,YMD,040640
1109252,244,5169,2009,0.0,0.0,,,YMD,040690
1115778,244,5170,2009,0.0,0.0,,,YMD,040700
1122304,244,5171,2009,0.0,0.0,,,YMD,040811
1128830,244,5172,2009,0.0,0.0,,,YMD,040819
1135356,244,5173,2009,0.0,0.0,,,YMD,040891
1141882,244,5174,2009,0.0,0.0,,,YMD,040899
1148408,244,5175,2009,0.0,0.0,,,YMD,040900
1154934,244,5176,2009,0.0,0.0,,,YMD,041000
1161460,244,5177,2009,0.0,0.0,,,YMD,050100
1167986,244,5178,2009,0.0,0.0,,,YMD,050210
1174512,244,5179,2009,0.0,0.0,,,YMD,050290
1181038,244,5180,2009,0.0,0.0,,,YMD,050300
1187564,244,5181,2009,0.0,0.0,,,YMD,050400
1194090,244,5182,2009,0.0,0.0,,,YMD,050510
1200616,244,5183,2009,0.0,0.0,,,YMD,050590
1207142,244,5184,2009,0.0,0.0,,,YMD,050610
1213668,244,5185,2009,0.0,0.0,,,YMD,050690
1220194,244,5186,2009,0.0,0.0,,,YMD,050710
1226720,244,5187,2009,0.0,0.0,,,YMD,050790
1233246,244,5188,2009,0.0,0.0,,,YMD,050800
1239772,244,5189,2009,0.0,0.0,,,YMD,050900
1246298,244,5190,2009,0.0,0.0,,,YMD,051000
1252824,244,5191,2009,0.0,0.0,,,YMD,051110
1259350,244,5192,2009,0.0,0.0,,,YMD,051191
1265876,244,5193,2009,0.0,0.0,,,YMD,051199
1272402,244,5194,2009,0.0,0.0,,,YMD,060110
1278928,244,5195,2009,0.0,0.0,,,YMD,060120
1285454,244,5196,2009,0.0,0.0,,,YMD,060210
1291980,244,5197,2009,0.0,0.0,,,YMD,060220
1298506,244,5198,2009,0.0,0.0,,,YMD,060230
1305032,244,5199,2009,0.0,0.0,,,YMD,060240
1311558,244,5200,2009,0.0,0.0,,,YMD,060291
1318084,244,5201,2009,0.0,0.0,,,YMD,060299
1324610,244,5202,2009,0.0,0.0,,,YMD,060310
1331136,244,5203,2009,0.0,0.0,,,YMD,060390
1337662,244,5204,2009,0.0,0.0,,,YMD,060410
1344188,244,5205,2009,0.0,0.0,,,YMD,060491
1350714,244,5206,2009,0.0,0.0,,,YMD,060499
1357240,244,5207,2009,0.0,0.0,,,YMD,070110
1363766,244,5208,2009,0.0,0.0,,,YMD,070190
1370292,244,5209,2009,0.0,0.0,,,YMD,070200
1376818,244,5210,2009,0.0,0.0,,,YMD,070310
1383344,244,5211,2009,0.0,0.0,,,YMD,070320
1389870,244,5212,2009,0.0,0.0,,,YMD,070390
1396396,244,5213,2009,0.0,0.0,,,YMD,070410
1402922,244,5214,2009,0.0,0.0,,,YMD,070420
1409448,244,5215,2009,0.0,0.0,,,YMD,070490
1415974,244,5216,2009,0.0,0.0,,,YMD,070511
1422500,244,5217,2009,0.0,0.0,,,YMD,070519
1429026,244,5218,2009,0.0,0.0,,,YMD,070521
1435552,244,5219,2009,0.0,0.0,,,YMD,070529
1442078,244,5220,2009,0.0,0.0,,,YMD,070610
1448604,244,5221,2009,0.0,0.0,,,YMD,070690
1455130,244,5222,2009,0.0,0.0,,,YMD,070700
1461656,244,5223,2009,0.0,0.0,,,YMD,070810
