,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6419,246,5000,2018,1.3687992131434968e-06,1.1438044566570744e-06,0.158722,1.394829,ZAF,010111
12945,246,5001,2018,1.426025333633653e-06,2.599378989781912e-06,0.158722,1.394829,ZAF,010119
19471,246,5002,2018,0.0,0.0,0.158722,1.394829,ZAF,010120
25997,246,5003,2018,8.335406489075239e-07,2.420110524661119e-07,0.158722,1.394829,ZAF,010210
32523,246,5004,2018,6.842535730227275e-06,4.048821283213656e-05,0.158722,1.394829,ZAF,010290
39049,246,5005,2018,2.5526021930332284e-07,0.0,0.158722,1.394829,ZAF,010310
45575,246,5006,2018,6.390232949301897e-08,0.0,0.158722,1.394829,ZAF,010391
52101,246,5007,2018,5.303784557623628e-08,0.0,0.158722,1.394829,ZAF,010392
58627,246,5008,2018,8.710066332055109e-07,8.244638869832197e-06,0.158722,1.394829,ZAF,010410
65153,246,5009,2018,5.849372442365777e-07,1.913566884364175e-06,0.158722,1.394829,ZAF,010420
71679,246,5010,2018,8.859372681095576e-07,2.7560825018146984e-06,0.158722,1.394829,ZAF,010511
78205,246,5011,2018,1.2669069483123226e-08,1.6895791585570795e-08,0.158722,1.394829,ZAF,010519
84731,246,5012,2018,1.02059662491434e-06,0.0,0.158722,1.394829,ZAF,010591
91257,246,5013,2018,1.1441696746899027e-06,2.0050271470501297e-07,0.158722,1.394829,ZAF,010599
97783,246,5014,2018,4.613034961421336e-06,9.84087224335387e-07,0.158722,1.394829,ZAF,010600
104309,246,5015,2018,1.8986625059398177e-06,4.831146413722313e-07,0.158722,1.394829,ZAF,020110
110835,246,5016,2018,4.119683995361748e-06,1.3549312562472432e-08,0.158722,1.394829,ZAF,020120
117361,246,5017,2018,1.1426483984511814e-05,2.297341111990415e-07,0.158722,1.394829,ZAF,020130
123887,246,5018,2018,7.233363811377847e-07,1.8194843237649038e-07,0.158722,1.394829,ZAF,020210
130413,246,5019,2018,3.2090743606602923e-06,5.086508913248591e-07,0.158722,1.394829,ZAF,020220
136939,246,5020,2018,1.142470152064931e-05,1.1326369542215303e-05,0.158722,1.394829,ZAF,020230
143465,246,5021,2018,1.0604793295971406e-06,1.54119660347724e-08,0.158722,1.394829,ZAF,020311
149991,246,5022,2018,3.3524411837393364e-07,2.0253539330743568e-08,0.158722,1.394829,ZAF,020312
156517,246,5023,2018,2.1893416943437084e-06,2.1127693874016019e-07,0.158722,1.394829,ZAF,020319
163043,246,5024,2018,3.265369551367107e-07,1.3157890186887688e-08,0.158722,1.394829,ZAF,020321
169569,246,5025,2018,2.852772501493842e-07,1.1486470242520522e-06,0.158722,1.394829,ZAF,020322
176095,246,5026,2018,3.1923742924864117e-06,2.122569861276319e-05,0.158722,1.394829,ZAF,020329
182621,246,5027,2018,3.0941111992324823e-07,9.188979985679121e-08,0.158722,1.394829,ZAF,020410
189147,246,5028,2018,3.489501806039951e-08,2.9305949033540854e-06,0.158722,1.394829,ZAF,020421
195673,246,5029,2018,2.66408951962545e-07,6.015674706224306e-08,0.158722,1.394829,ZAF,020422
202199,246,5030,2018,8.888167260526925e-08,1.2097304579884145e-09,0.158722,1.394829,ZAF,020423
208725,246,5031,2018,1.3418964939456776e-07,7.328083108290752e-08,0.158722,1.394829,ZAF,020430
215251,246,5032,2018,1.8959815372571286e-08,5.819035506025806e-08,0.158722,1.394829,ZAF,020441
221777,246,5033,2018,2.9037645440208144e-07,1.7967337681956714e-06,0.158722,1.394829,ZAF,020442
228303,246,5034,2018,5.4429997732704524e-08,3.066056874276604e-07,0.158722,1.394829,ZAF,020443
234829,246,5035,2018,7.269979776781865e-08,1.4729214050263873e-08,0.158722,1.394829,ZAF,020450
241355,246,5036,2018,4.997989881721993e-09,2.15762884424783e-09,0.158722,1.394829,ZAF,020500
247881,246,5037,2018,3.607289272669826e-07,1.427339424235388e-07,0.158722,1.394829,ZAF,020610
254407,246,5038,2018,1.2616038001324805e-08,4.765970113841924e-07,0.158722,1.394829,ZAF,020621
260933,246,5039,2018,5.222473659359901e-07,5.759013652195454e-06,0.158722,1.394829,ZAF,020622
