,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
6458,248,5000,2005,4456.0,11399.0,-0.559266,-0.395637,ZWE,010111
12984,248,5001,2005,50008.0,77639.0,-0.559266,-0.395637,ZWE,010119
19510,248,5002,2005,,,-0.559266,-0.395637,ZWE,010120
26036,248,5003,2005,0.0,410421.0,-0.559266,-0.395637,ZWE,010210
32562,248,5004,2005,15665.0,221811.0,-0.559266,-0.395637,ZWE,010290
39088,248,5005,2005,0.0,59140.0,-0.559266,-0.395637,ZWE,010310
45614,248,5006,2005,0.0,5121.0,-0.559266,-0.395637,ZWE,010391
52140,248,5007,2005,0.0,40328.0,-0.559266,-0.395637,ZWE,010392
58666,248,5008,2005,0.0,2776.0,-0.559266,-0.395637,ZWE,010410
65192,248,5009,2005,47174.0,0.0,-0.559266,-0.395637,ZWE,010420
71718,248,5010,2005,212085.0,1555871.0,-0.559266,-0.395637,ZWE,010511
78244,248,5011,2005,,,-0.559266,-0.395637,ZWE,010519
84770,248,5012,2005,1525.0,270570.0,-0.559266,-0.395637,ZWE,010591
91296,248,5013,2005,7044.0,0.0,-0.559266,-0.395637,ZWE,010599
97822,248,5014,2005,134569.0,77771.0,-0.559266,-0.395637,ZWE,010600
104348,248,5015,2005,,,-0.559266,-0.395637,ZWE,020110
110874,248,5016,2005,,,-0.559266,-0.395637,ZWE,020120
117400,248,5017,2005,970.0,0.0,-0.559266,-0.395637,ZWE,020130
123926,248,5018,2005,,,-0.559266,-0.395637,ZWE,020210
130452,248,5019,2005,0.0,38913.0,-0.559266,-0.395637,ZWE,020220
136978,248,5020,2005,3476.0,409324.0,-0.559266,-0.395637,ZWE,020230
143504,248,5021,2005,,,-0.559266,-0.395637,ZWE,020311
150030,248,5022,2005,,,-0.559266,-0.395637,ZWE,020312
156556,248,5023,2005,,,-0.559266,-0.395637,ZWE,020319
163082,248,5024,2005,,,-0.559266,-0.395637,ZWE,020321
169608,248,5025,2005,804348.0,0.0,-0.559266,-0.395637,ZWE,020322
176134,248,5026,2005,768701.0,0.0,-0.559266,-0.395637,ZWE,020329
182660,248,5027,2005,,,-0.559266,-0.395637,ZWE,020410
189186,248,5028,2005,,,-0.559266,-0.395637,ZWE,020421
195712,248,5029,2005,,,-0.559266,-0.395637,ZWE,020422
202238,248,5030,2005,,,-0.559266,-0.395637,ZWE,020423
208764,248,5031,2005,0.0,3014.0,-0.559266,-0.395637,ZWE,020430
215290,248,5032,2005,,,-0.559266,-0.395637,ZWE,020441
221816,248,5033,2005,0.0,2413.0,-0.559266,-0.395637,ZWE,020442
228342,248,5034,2005,,,-0.559266,-0.395637,ZWE,020443
234868,248,5035,2005,,,-0.559266,-0.395637,ZWE,020450
241394,248,5036,2005,,,-0.559266,-0.395637,ZWE,020500
247920,248,5037,2005,0.0,8165.0,-0.559266,-0.395637,ZWE,020610
254446,248,5038,2005,,,-0.559266,-0.395637,ZWE,020621
260972,248,5039,2005,,,-0.559266,-0.395637,ZWE,020622
267498,248,5040,2005,0.0,30087.0,-0.559266,-0.395637,ZWE,020629
274024,248,5041,2005,,,-0.559266,-0.395637,ZWE,020630
280550,248,5042,2005,,,-0.559266,-0.395637,ZWE,020641
287076,248,5043,2005,,,-0.559266,-0.395637,ZWE,020649
293602,248,5044,2005,,,-0.559266,-0.395637,ZWE,020680
300128,248,5045,2005,,,-0.559266,-0.395637,ZWE,020690
306654,248,5046,2005,3927.0,0.0,-0.559266,-0.395637,ZWE,020710
313180,248,5047,2005,816575.0,7281.0,-0.559266,-0.395637,ZWE,020721
319706,248,5048,2005,0.0,2272.0,-0.559266,-0.395637,ZWE,020722
326232,248,5049,2005,,,-0.559266,-0.395637,ZWE,020723
332758,248,5050,2005,,,-0.559266,-0.395637,ZWE,020731
339284,248,5051,2005,22676.0,31022.0,-0.559266,-0.395637,ZWE,020739
345810,248,5052,2005,482775.0,266991.0,-0.559266,-0.395637,ZWE,020741
352336,248,5053,2005,,,-0.559266,-0.395637,ZWE,020742
358862,248,5054,2005,1037.0,193427.0,-0.559266,-0.395637,ZWE,020743
365388,248,5055,2005,,,-0.559266,-0.395637,ZWE,020750
371914,248,5056,2005,,,-0.559266,-0.395637,ZWE,020810
378440,248,5057,2005,,,-0.559266,-0.395637,ZWE,020820
384966,248,5058,2005,1741911.0,79276.0,-0.559266,-0.395637,ZWE,020890
391492,248,5059,2005,,,-0.559266,-0.395637,ZWE,020900
398018,248,5060,2005,,,-0.559266,-0.395637,ZWE,021011
404544,248,5061,2005,,,-0.559266,-0.395637,ZWE,021012
411070,248,5062,2005,,,-0.559266,-0.395637,ZWE,021019
417596,248,5063,2005,,,-0.559266,-0.395637,ZWE,021020
424122,248,5064,2005,43481.0,0.0,-0.559266,-0.395637,ZWE,021090
430648,248,5065,2005,59334.0,0.0,-0.559266,-0.395637,ZWE,030110
437174,248,5066,2005,,,-0.559266,-0.395637,ZWE,030191
443700,248,5067,2005,,,-0.559266,-0.395637,ZWE,030192
450226,248,5068,2005,,,-0.559266,-0.395637,ZWE,030193
456752,248,5069,2005,,,-0.559266,-0.395637,ZWE,030199
463278,248,5070,2005,,,-0.559266,-0.395637,ZWE,030211
469804,248,5071,2005,,,-0.559266,-0.395637,ZWE,030212
476330,248,5072,2005,,,-0.559266,-0.395637,ZWE,030219
482856,248,5073,2005,,,-0.559266,-0.395637,ZWE,030221
489382,248,5074,2005,,,-0.559266,-0.395637,ZWE,030222
495908,248,5075,2005,,,-0.559266,-0.395637,ZWE,030223
502434,248,5076,2005,,,-0.559266,-0.395637,ZWE,030229
508960,248,5077,2005,,,-0.559266,-0.395637,ZWE,030231
515486,248,5078,2005,,,-0.559266,-0.395637,ZWE,030232
522012,248,5079,2005,,,-0.559266,-0.395637,ZWE,030233
528538,248,5080,2005,,,-0.559266,-0.395637,ZWE,030239
535064,248,5081,2005,,,-0.559266,-0.395637,ZWE,030240
541590,248,5082,2005,,,-0.559266,-0.395637,ZWE,030250
548116,248,5083,2005,0.0,89593.0,-0.559266,-0.395637,ZWE,030261
554642,248,5084,2005,,,-0.559266,-0.395637,ZWE,030262
561168,248,5085,2005,,,-0.559266,-0.395637,ZWE,030263
567694,248,5086,2005,,,-0.559266,-0.395637,ZWE,030264
574220,248,5087,2005,,,-0.559266,-0.395637,ZWE,030265
580746,248,5088,2005,,,-0.559266,-0.395637,ZWE,030266
587272,248,5089,2005,54733.0,8830.0,-0.559266,-0.395637,ZWE,030269
593798,248,5090,2005,,,-0.559266,-0.395637,ZWE,030270
600324,248,5091,2005,0.0,40142.0,-0.559266,-0.395637,ZWE,030310
606850,248,5092,2005,,,-0.559266,-0.395637,ZWE,030321
613376,248,5093,2005,,,-0.559266,-0.395637,ZWE,030322
619902,248,5094,2005,0.0,4272.0,-0.559266,-0.395637,ZWE,030329
626428,248,5095,2005,,,-0.559266,-0.395637,ZWE,030331
632954,248,5096,2005,,,-0.559266,-0.395637,ZWE,030332
639480,248,5097,2005,0.0,5129.0,-0.559266,-0.395637,ZWE,030333
646006,248,5098,2005,0.0,1040.0,-0.559266,-0.395637,ZWE,030339
652532,248,5099,2005,,,-0.559266,-0.395637,ZWE,030341
659058,248,5100,2005,279372.0,0.0,-0.559266,-0.395637,ZWE,030342
665584,248,5101,2005,739584.0,0.0,-0.559266,-0.395637,ZWE,030343
672110,248,5102,2005,,,-0.559266,-0.395637,ZWE,030349
678636,248,5103,2005,,,-0.559266,-0.395637,ZWE,030350
685162,248,5104,2005,,,-0.559266,-0.395637,ZWE,030360
691688,248,5105,2005,0.0,11428.0,-0.559266,-0.395637,ZWE,030371
698214,248,5106,2005,,,-0.559266,-0.395637,ZWE,030372
704740,248,5107,2005,0.0,18923.0,-0.559266,-0.395637,ZWE,030373
711266,248,5108,2005,0.0,624288.0,-0.559266,-0.395637,ZWE,030374
717792,248,5109,2005,,,-0.559266,-0.395637,ZWE,030375
724318,248,5110,2005,,,-0.559266,-0.395637,ZWE,030376
730844,248,5111,2005,,,-0.559266,-0.395637,ZWE,030377
737370,248,5112,2005,0.0,298168.0,-0.559266,-0.395637,ZWE,030378
743896,248,5113,2005,766671.0,474306.0,-0.559266,-0.395637,ZWE,030379
750422,248,5114,2005,,,-0.559266,-0.395637,ZWE,030380
756948,248,5115,2005,1123592.0,33204.0,-0.559266,-0.395637,ZWE,030410
763474,248,5116,2005,406495.0,128108.0,-0.559266,-0.395637,ZWE,030420
770000,248,5117,2005,165248.0,16437.0,-0.559266,-0.395637,ZWE,030490
776526,248,5118,2005,0.0,3933.0,-0.559266,-0.395637,ZWE,030510
783052,248,5119,2005,,,-0.559266,-0.395637,ZWE,030520
789578,248,5120,2005,0.0,3227.0,-0.559266,-0.395637,ZWE,030530
796104,248,5121,2005,0.0,10397.0,-0.559266,-0.395637,ZWE,030541
802630,248,5122,2005,,,-0.559266,-0.395637,ZWE,030542
809156,248,5123,2005,0.0,21316.0,-0.559266,-0.395637,ZWE,030549
815682,248,5124,2005,0.0,1934.0,-0.559266,-0.395637,ZWE,030551
822208,248,5125,2005,2923.0,382982.0,-0.559266,-0.395637,ZWE,030559
828734,248,5126,2005,0.0,1238.0,-0.559266,-0.395637,ZWE,030561
835260,248,5127,2005,,,-0.559266,-0.395637,ZWE,030562
841786,248,5128,2005,,,-0.559266,-0.395637,ZWE,030563
848312,248,5129,2005,,,-0.559266,-0.395637,ZWE,030569
854838,248,5130,2005,0.0,4365.0,-0.559266,-0.395637,ZWE,030611
861364,248,5131,2005,,,-0.559266,-0.395637,ZWE,030612
867890,248,5132,2005,0.0,1223335.0,-0.559266,-0.395637,ZWE,030613
874416,248,5133,2005,0.0,26213.0,-0.559266,-0.395637,ZWE,030614
880942,248,5134,2005,0.0,20020.0,-0.559266,-0.395637,ZWE,030619
887468,248,5135,2005,,,-0.559266,-0.395637,ZWE,030621
893994,248,5136,2005,,,-0.559266,-0.395637,ZWE,030622
900520,248,5137,2005,0.0,1097.0,-0.559266,-0.395637,ZWE,030623
907046,248,5138,2005,,,-0.559266,-0.395637,ZWE,030624
913572,248,5139,2005,,,-0.559266,-0.395637,ZWE,030629
920098,248,5140,2005,0.0,195638.0,-0.559266,-0.395637,ZWE,030710
926624,248,5141,2005,,,-0.559266,-0.395637,ZWE,030721
933150,248,5142,2005,,,-0.559266,-0.395637,ZWE,030729
939676,248,5143,2005,,,-0.559266,-0.395637,ZWE,030731
946202,248,5144,2005,0.0,3834.0,-0.559266,-0.395637,ZWE,030739
952728,248,5145,2005,0.0,1206.0,-0.559266,-0.395637,ZWE,030741
959254,248,5146,2005,,,-0.559266,-0.395637,ZWE,030749
965780,248,5147,2005,,,-0.559266,-0.395637,ZWE,030751
972306,248,5148,2005,0.0,28546.0,-0.559266,-0.395637,ZWE,030759
978832,248,5149,2005,,,-0.559266,-0.395637,ZWE,030760
985358,248,5150,2005,0.0,1979.0,-0.559266,-0.395637,ZWE,030791
991884,248,5151,2005,138525.0,0.0,-0.559266,-0.395637,ZWE,030799
998410,248,5152,2005,323897.0,46561.0,-0.559266,-0.395637,ZWE,040110
1004936,248,5153,2005,649095.0,129692.0,-0.559266,-0.395637,ZWE,040120
1011462,248,5154,2005,9766.0,10967.0,-0.559266,-0.395637,ZWE,040130
1017988,248,5155,2005,314089.0,613929.0,-0.559266,-0.395637,ZWE,040210
1024514,248,5156,2005,584615.0,2511200.0,-0.559266,-0.395637,ZWE,040221
1031040,248,5157,2005,287282.0,411805.0,-0.559266,-0.395637,ZWE,040229
1037566,248,5158,2005,559971.0,173546.0,-0.559266,-0.395637,ZWE,040291
1044092,248,5159,2005,114542.0,313166.0,-0.559266,-0.395637,ZWE,040299
1050618,248,5160,2005,1899.0,46989.0,-0.559266,-0.395637,ZWE,040310
1057144,248,5161,2005,0.0,4305.0,-0.559266,-0.395637,ZWE,040390
1063670,248,5162,2005,0.0,33917.0,-0.559266,-0.395637,ZWE,040410
1070196,248,5163,2005,8364.0,6860.0,-0.559266,-0.395637,ZWE,040490
1076722,248,5164,2005,44127.0,283635.0,-0.559266,-0.395637,ZWE,040500
1083248,248,5165,2005,0.0,24590.0,-0.559266,-0.395637,ZWE,040610
1089774,248,5166,2005,2788.0,0.0,-0.559266,-0.395637,ZWE,040620
1096300,248,5167,2005,15913.0,25460.0,-0.559266,-0.395637,ZWE,040630
1102826,248,5168,2005,1538.0,0.0,-0.559266,-0.395637,ZWE,040640
1109352,248,5169,2005,16026.0,234763.0,-0.559266,-0.395637,ZWE,040690
1115878,248,5170,2005,3731539.0,32960.0,-0.559266,-0.395637,ZWE,040700
1122404,248,5171,2005,39852.0,0.0,-0.559266,-0.395637,ZWE,040811
1128930,248,5172,2005,,,-0.559266,-0.395637,ZWE,040819
1135456,248,5173,2005,,,-0.559266,-0.395637,ZWE,040891
1141982,248,5174,2005,52952.0,0.0,-0.559266,-0.395637,ZWE,040899
1148508,248,5175,2005,0.0,95340.0,-0.559266,-0.395637,ZWE,040900
1155034,248,5176,2005,0.0,1995.0,-0.559266,-0.395637,ZWE,041000
1161560,248,5177,2005,,,-0.559266,-0.395637,ZWE,050100
